# rank=2 tag=threads1 interval=0.5s n_samples=65
# PEAK_RSS_GB = 25.253
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144        109920      2          2048         18072
    0.50         45056        419968      2         18432         65808
    1.00         61380        475200      2         30660        109188
    1.50         69572        485892      2         36804        115944
    2.00         83908        502204      2         49092        128876
    2.50         85956        504256      2         51140        130928
    3.00         92100        509180      2         57284        135852
    3.50        112840       2165040     23         71880        407164
    4.00        334016       5784848     49        202944       1070556
    4.50        342208       5852864     49        209088       1110212
    5.08        346304       5870140     49        213184       1117536
    5.58        354496       5884832     49        219328       1123564
    6.08        374276       5907556     49        228868       1135176
    6.58        447668       7038908     64        275636       1294828
    7.08        820808       7534192     62        648776       1735572
    7.60        513144       7308976     66        337016       1380068
    8.10       5116676      15928808     74       4940548       9501260
    8.60       7729924      15928808     74       7553796       9501260
    9.10       8528644      15928808     74       8352516       9501260
    9.60       8528644      15928808     74       8352516       9501260
   10.10        591468       8024292     74        415340       1601672
   10.60        607008       7986528     74        426784       1563888
   11.10        659696       8039732     74        479472       1617236
   11.60       1372140       8886384     74       1191916       2375124
   12.10        880432       8372308     74        698160       1860976
   12.60        900912       8406892     74        718640       1917500
   13.11        885484       8360520     74        703212       1896512
   13.66        920832       8446428     74        738560       1983196
   14.16        978568       8498932     74        796296       2043292
   14.66       7960144      33906088     74       7777872      27451752
   15.17      13567964      33906088     74      13385692      27451752
   15.67      14639068      33906088     74      14456796      27451752
   16.17      15722104      34889128     74      15539832      28335128
   16.67      17755848      34889128     74      17573576      28335128
   17.17      19786012      34823592     74      19603740      28277764
   17.67      21533748      34889128     74      21351476      28335128
   18.17      21764552      34889128     74      21582280      28335128
   18.67      23490108      34889128     74      23307836      28335128
   19.17      25501080      34889128     74      25318808      28335128
   19.67      25816180      34758056     74      25633908      28220400
   20.17      25816180      34758056     74      25633908      28220400
   20.67      25816180      34758056     74      25633908      28220400
   21.17      25816180      34758056     74      25633908      28220400
   21.67      25816180      34758056     74      25633908      28220400
   22.17      25816180      34758056     74      25633908      28220400
   22.67      25816180      34758056     74      25633908      28220400
   23.17      25816180      34758056     74      25633908      28220400
   23.67      25816180      34758056     74      25633908      28220400
   24.17      25816180      34758056     74      25633908      28220400
   24.67      25816180      34758056     74      25633908      28220400
   25.17      25816180      34758056     74      25633908      28220400
   25.67      25816180      34758056     74      25633908      28220400
   26.17      25816180      34758056     74      25633908      28220400
   26.67      25816180      34758056     74      25633908      28220400
   27.17      25816180      34758056     74      25633908      28220400
   27.67      26084468      34758056     74      25902196      28220400
   28.17      26479732      34758056     74      26297460      28220400
   28.68      26479732      34758056     74      26297460      28220400
   29.18       2514788      10792484     74       2332516       4254804
   29.68       2700772      10979280     74       2518500       4441544
   30.18       2970556      11399240     74       2788284       4861488
   30.68       2970556      11399240     74       2788284       4861488
   31.18       1217784       9486404     74       1035512       2948628
   31.68       1031832       9300256     74        849560       2762500
   31.93        839788       9029628     71        657516       2492508
