# rank=2 tag=default interval=0.5s n_samples=66
# PEAK_RSS_GB = 25.375
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144        109920      2          2048         18072
    0.50         47104        736884      9         18432        382696
    1.00         59392        789556      9         26624        423540
    1.50         69632        801392      9         34816        431416
    2.00         79872        810944      9         43008        440968
    2.50         88064        821172      9         51200        447816
    3.00         90112        823524      9         53248        450168
    3.50         98304        839392      9         57344        455356
    4.00        291232       3538792     30        178592        931972
    4.50        331912       6023112     49        198792       1308824
    5.00        340368       6408940     56        207248       1666264
    5.50        348560       6426568     56        213392       1673300
    6.00        354704       6436500     56        217488       1676300
    6.50        360848       6452356     56        221584       1681440
    7.00        415144       7322816     67        243112       1771508
    7.70        423336       7330748     67        251304       1782688
    8.22        458080       7737328     70        284000       1873156
    8.72        500640       7770056     70        320416       1905876
    9.22       1904680      16487028     81       1722408      10059896
    9.72       6230072      16487028     81       6047800      10059896
   10.22       8536120      16487028     81       8353848      10059896
   10.72       8536120      16487028     81       8353848      10059896
   11.22       8536120      16487028     81       8353848      10059896
   11.72        608524       8544652     81        426252       2121820
   12.22        629004       8566068     81        446732       2143152
   12.72       1375352       9444592     81       1193080       2973676
   13.22        877548       8924580     81        695276       2453760
   13.72        908880       8932228     81        726608       2481808
   14.22        899524       8916392     81        717252       2473972
   14.72        934788       9004636     81        752516       2562216
   15.22        989580       9057164     81        807308       2621620
   15.72       8061128      34464296     81       7878856      28029744
   16.22      13631100      34464296     81      13448828      28045524
   16.72      14671484      34464296     81      14489212      28045524
   17.22      15437436      34464296     81      15255164      28045524
   17.72      17532724      35447336     81      17350452      28932256
   18.22      19589784      35381800     81      19407512      28874892
   18.73      21595064      36364840     81      21412792      29775460
   19.23      21685308      36364840     81      21503036      29775460
   19.73      23397732      36364840     81      23215460      29775460
   20.23      25456168      36364840     81      25273896      29775460
   20.73      25944036      36364840     81      25761764      29775460
   21.23      25944036      36364840     81      25761764      29775460
   21.73      25944036      36364840     81      25761764      29775460
   22.23      25944036      36364840     81      25761764      29775460
   22.73      25944036      36364840     81      25761764      29775460
   23.23      25944036      36364840     81      25761764      29775460
   23.73      25944036      36364840     81      25761764      29775460
   24.23      25944036      36364840     81      25761764      29775460
   24.73      25944036      36364840     81      25761764      29775460
   25.23      25944036      36364840     81      25761764      29775460
   25.73      25944036      36364840     81      25761764      29775460
   26.23      25944036      36364840     81      25761764      29775460
   26.73      25944036      36364840     81      25761764      29775460
   27.23      25944036      36364840     81      25761764      29775460
   27.73      25944036      36364840     81      25761764      29775460
   28.23      25944036      36364840     81      25761764      29775460
   28.73      26058724      36364840     81      25876452      29775460
   29.23      26607588      36364840     81      26425316      29775460
   29.73      26607588      36364840     81      26425316      29775460
   30.23       7436956      36364840     81       7254684      29775460
   30.73       3200476      12959316     81       3018204       6369856
   31.24       3086892      13006024     81       2904620       6416548
   31.74       3260248      13052680     81       3077976       6463204
   32.24       1147840      10906992     81        965568       4317356
   32.58        960100      10636412     78        775780       4047396
