# rank=3 tag=arena1 interval=0.5s n_samples=65
# PEAK_RSS_GB = 25.091
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144         44384      2          2048         17940
    0.50         45924        671068      9         19300        382284
    1.00         62300        719824      9         31580        423112
    1.50         74588        735864      9         39772        431292
    2.00         84828        747036      9         50012        442452
    2.50         90972        755948      9         54108        447996
    3.00         95068        759020      9         58204        451068
    3.50        105308        775644      9         64348        456588
    4.07        320064       2820948     24        188992       1180396
    4.57        328256       3325832     56        195136       1656664
    5.07        334400       3331868     56        201280       1662340
    5.57        342592       3355780     56        207424       1669928
    6.07        348736       3370748     56        211520       1675232
    6.57        402632       3467772     67        234696       1768940
    7.08        438212       3546432     69        264132       1847560
    7.59        471868       3569824     69        293692       1870952
    8.09        939216      11741576     81        756944      10042560
    8.59       5853116      11741576     81       5670844      10042560
    9.09       8499132      11741576     81       8316860      10042560
    9.59       8505276      11741576     81       8323004      10042560
   10.09       8505276      11741576     81       8323004      10042560
   10.60        577016       3798032     81        394744       2099016
   11.10        577016       3799536     81        394744       2100360
   11.60        989300       4598292     81        807028       2899004
   12.10        838116       4084308     81        655844       2384996
   12.60        795600       4043008     81        613328       2343616
   13.10        856764       4120552     81        674492       2420920
   13.60       1261264       4777100     81       1078992       3078236
   14.10        913076       4211680     81        728756       2512768
   14.60       4440588      29619348     81       4256268      27920136
   15.10      11182796      29619348     81      10998476      27920136
   15.60      13791696      29627284     81      13607376      27928072
   16.10      14991828      29627284     81      14807508      27928072
   16.60      16853892      30504372     81      16669572      28805160
   17.10      18885864      30461352     81      18701544      28762140
   17.60      20910976      30418332     81      20726656      28719120
   18.10      21379488      30504372     81      21195168      28805160
   18.60      22545464      30504372     81      22361144      28805160
   19.10      24547384      30504372     81      24363064      28805160
   19.61      25648068      29609644     81      25463748      27910432
   20.11      25648068      29609644     81      25463748      27910432
   20.61      25648068      29609644     81      25463748      27910432
   21.11      25648068      29609644     81      25463748      27910432
   21.61      25648068      29609644     81      25463748      27910432
   22.11      25648068      29609644     81      25463748      27910432
   22.61      25648068      29609644     81      25463748      27910432
   23.11      25648068      29609644     81      25463748      27910432
   23.61      25648068      29609644     81      25463748      27910432
   24.11      25648068      29609644     81      25463748      27910432
   24.61      25648068      29609644     81      25463748      27910432
   25.11      25648068      29609644     81      25463748      27910432
   25.61      25648068      29609644     81      25463748      27910432
   26.11      25648068      29609644     81      25463748      27910432
   26.61      25648068      29609644     81      25463748      27910432
   27.11      25648068      29609644     81      25463748      27910432
   27.61      25648068      29609644     81      25463748      27910432
   28.11      26309572      29609644     81      26125252      27910432
   28.61      26309572      29609644     81      26125252      27910432
   29.11      26309572      29609644     81      26125252      27910432
   29.61       2794208       6204120     81       2609888       4504828
   30.11       2726120       6250828     81       2541800       4551520
   30.61       2824984       6390796     81       2640664       4691488
   31.11       1051228       4337992     81        866908       2638660
   31.61        866524       4151796     81        682204       2452320
   31.88        663276       3879244     78        478956       2180388
