# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.55905759E+00  -7.99330345E+00   5.65754139E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.16098839E+00   1.26239131E+00   1.01402923E-01
#    Nb          CH(vbm)          CH(cbm)             diff
     25  -5.78671399E+00  -5.21674832E+00   5.69965671E-01
     26  -5.85719319E+00  -5.32573330E+00   5.31459894E-01
     27  -5.92645510E+00  -5.41481566E+00   5.11639442E-01
     28  -5.99625058E+00  -5.49803720E+00   4.98213376E-01
     29  -6.06196960E+00  -5.56192599E+00   5.00043602E-01
     30  -6.12971606E+00  -5.62534521E+00   5.04370856E-01
     31  -6.20544571E+00  -5.69942570E+00   5.06020002E-01
     32  -6.28181118E+00  -5.77402329E+00   5.07787889E-01
     33  -6.34663474E+00  -5.83378827E+00   5.12846478E-01
     34  -6.41013963E+00  -5.89043752E+00   5.19702108E-01
     35  -6.46513892E+00  -5.95559622E+00   5.09542701E-01
     36  -6.51847053E+00  -6.01638767E+00   5.02082854E-01
     37  -6.56924912E+00  -6.06829881E+00   5.00950313E-01
     38  -6.62064780E+00  -6.12187324E+00   4.98774553E-01
     39  -6.67210128E+00  -6.16976699E+00   5.02334286E-01
     40  -6.72409677E+00  -6.21876028E+00   5.05336497E-01
     41  -6.76317881E+00  -6.26445971E+00   4.98719103E-01
     42  -6.80213263E+00  -6.30936695E+00   4.92765680E-01
     43  -6.84446840E+00  -6.35075949E+00   4.93708910E-01
     44  -6.88516477E+00  -6.39068843E+00   4.94476337E-01
     45  -6.92169210E+00  -6.42917254E+00   4.92519563E-01
     46  -6.95808675E+00  -6.46826676E+00   4.89819989E-01
     47  -6.98514184E+00  -6.49958293E+00   4.85558909E-01
     48  -7.01139292E+00  -6.53099636E+00   4.80396561E-01
     49  -7.05521404E+00  -6.56594138E+00   4.89272660E-01
     50  -7.09696968E+00  -6.59983790E+00   4.97131782E-01
     51  -7.13042505E+00  -6.62571902E+00   5.04706025E-01
     52  -7.16275471E+00  -6.65306958E+00   5.09685129E-01
     53  -7.19342163E+00  -6.68218784E+00   5.11233790E-01
     54  -7.22460209E+00  -6.71059626E+00   5.14005826E-01
     55  -7.24621521E+00  -6.73771558E+00   5.08499631E-01
     56  -7.26780348E+00  -6.76566345E+00   5.02140022E-01
     57  -7.28810072E+00  -6.78726140E+00   5.00839318E-01
     58  -7.30822596E+00  -6.80869435E+00   4.99531613E-01
     59  -7.32806085E+00  -6.82950297E+00   4.98557878E-01
     60  -7.34791651E+00  -6.85027259E+00   4.97643923E-01
# k =  -0.000000  -0.000000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.46814141E+00  -8.09936378E+00   3.68777633E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.08496007E+00   1.22032906E+00   1.35368984E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.86752220E-01  -2.35036104E-01   5.17161158E-02
      2  -5.73083732E-01  -4.72012189E-01   1.01071543E-01
      3  -9.46453348E-01  -7.69942774E-01   1.76510574E-01
