# Generated by LORRAX 0.1.0 at 2026-05-11 06:12:58 UTC
  0.000000000  0.000000000  0.000000000      80
       1       1  -65.461080000  -68.302541080
       1       2  -65.461080000  -66.855972240
       1       3  -42.076878476  -64.743689620
       1       4  -42.076878476  -64.555909578
       1       5  -39.554728243  -55.582670007
       1       6  -39.554728243  -56.163578381
       1       7  -39.383435310  -86.743750246
       1       8  -39.383435310  -86.663546602
       1       9  -19.374135150  -24.335397333
       1      10  -19.374135150  -24.404510166
       1      11  -18.177279202   -6.258951814
       1      12  -18.177279202   -6.344323021
       1      13  -10.875836699   -7.307615544
       1      14  -10.875836699   -7.305148896
       1      15   -7.861773930  -14.180230992
       1      16   -7.861773930  -14.178607048
       1      17   -7.802674544  -13.740971292
       1      18   -7.802674544  -13.729661287
       1      19   -7.121961704  -13.882535122
       1      20   -7.121961704  -13.878343009
       1      21   -6.780841091  -12.866825450
       1      22   -6.780841091  -12.868353914
       1      23   -6.699897224  -13.246148671
       1      24   -6.699897224  -13.231434453
       1      25   -5.381421473   -1.738394884
       1      26   -5.381421473   -1.702825839
       1      27   -2.574766637    5.444299652
       1      28   -2.574766637    5.449446323
       1      29   -2.498945418    4.365530959
       1      30   -2.498945418    4.369085337
       1      31   -2.333878760    0.756147541
       1      32   -2.333878760    0.758382498
       1      33   -2.325689751    0.747636620
       1      34   -2.325689751    0.751898169
       1      35    1.102384887    2.729786813
       1      36    1.102384887    2.735052842
       1      37    3.746505276   -3.434960705
       1      38    3.746505276   -3.462803708
       1      39    3.953429837    9.778791397
       1      40    3.953429837    9.783061403
       1      41    4.786070156   23.265285502
       1      42    4.786070156   23.307290975
       1      43    5.517734412   14.773662089
       1      44    5.517734412   14.807674881
       1      45    5.594437696   14.357033423
       1      46    5.594437696   14.413596767
       1      47    7.492860389   21.486525962
       1      48    7.492860389   21.676240177
       1      49    7.510373621   21.617180863
       1      50    7.510373621   21.827685270
       1      51    7.663743489    9.785248722
       1      52    7.663743489    9.385193853
       1      53   10.772983484   17.488861142
       1      54   10.772983484   17.391513958
