 (0.9739377800520789,4.9048801560089594E-019)  
 (-8.0019380552996803E-006,9.4126937144678527E-007)  
 (6.9439338558672777E-007,-6.1047195343492691E-006)  
 (-8.5107678550551841E-006,7.5689172834243650E-006)  
 (2.5319355668377282E-006,7.8768290100685518E-006)  
 (-8.0019380552996803E-006,-9.4126937144678527E-007)  
 (0.4767946778456774,-5.2415343322271748E-019)  
 (-3.8353529350720632E-007,8.8671345306758891E-003)  
 (-0.3260156481070209,2.4507166097222424E-004)  
 (-1.1200550493559059E-003,-1.1003824883290840E-003)  
 (6.9439338558672777E-007,6.1047195343492691E-006)  
 (-3.8353529350720632E-007,-8.8671345306758891E-003)  
 (0.4768164192995822,-2.4516573518864146E-019)  
 (-1.1297757726612637E-003,-1.0819925796142821E-003)  
 (0.3260429962181374,-2.3359671818565066E-004)  
 (-8.5107678550551841E-006,-7.5689172834243650E-006)  
 (-0.3260156481070209,-2.4507166097222424E-004)  
 (-1.1297757726612637E-003,1.0819925796142821E-003)  
 (0.7022592594347046,3.1175742578510926E-019)  
 (-1.9858315410220940E-005,2.9426331724127956E-002)  
 (2.5319355668377282E-006,-7.8768290100685518E-006)  
 (-1.1200550493559059E-003,1.1003824883290840E-003)  
 (0.3260429962181374,2.3359671818565066E-004)  
 (-1.9858315410220940E-005,-2.9426331724127956E-002)  
 (0.7022601974021083,-3.8034802756098864E-020)  
 (-3.1393989052490890E-005,5.7819418400046212E-006)  
 (7.8740640870785771E-003,4.6505513676904746E-005)  
 (-4.4394853367550678E-005,7.8761987432882426E-003)  
 (1.3865986357478300E-003,-2.8600488285841797E-005)  
 (-2.6007738573612476E-005,-1.3904352903156478E-003)  
 (-2.1505140388908823E-003,2.9818316370892726E-004)  
 (1.7252929679045494E-004,1.2155879378441734E-004)  
 (1.2535058126152915E-004,-1.9644287490755796E-004)  
 (6.7108399943450409E-003,-1.3850414298963805E-004)  
 (1.3933148441541522E-004,6.6879631215269741E-003)  
 (-2.9310100369547306E-004,-2.1516712913576086E-003)  
 (1.2885034265407264E-004,-2.0038417387967478E-004)  
 (-2.2151304759170871E-004,-1.2967741147981233E-004)  
 (-1.4377748232044892E-004,-6.6804684282579475E-003)  
 (6.6636589489934917E-003,-1.4307752090095900E-004)  
 (4.6480118189627401E-003,1.5351239169606364E-005)  
 (-5.2420768719718203E-003,-5.6545446213453971E-005)  
 (-5.2669319161856456E-005,5.2661941991855735E-003)  
