# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.50762242E+01  -1.61041301E+01  -1.02790590E+00
# Error est. for CH(vbm) CH(cbm) diff =   4.15315302E-01   1.06354933E+00   6.48234029E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -5.75320378E-02  -4.93604531E-02   8.17158470E-03
      2  -1.15064076E-01  -9.87209056E-02   1.63431700E-02
      3  -2.25575339E-01  -2.13273609E-01   1.23017297E-02
      4  -3.36086603E-01  -3.27826314E-01   8.26028882E-03
      5  -5.41958000E-01  -3.43042363E-01   1.98915637E-01
      6  -7.47829397E-01  -3.58258411E-01   3.89570986E-01
      7  -7.77711740E-01  -4.00403992E-01   3.77307748E-01
      8  -8.07594083E-01  -4.42549583E-01   3.65044500E-01
      9  -8.65685536E-01  -5.11153151E-01   3.54532384E-01
     10  -9.23776988E-01  -5.79756720E-01   3.44020268E-01
     11  -1.01894972E+00  -6.62442232E-01   3.56507484E-01
     12  -1.11412245E+00  -7.45127744E-01   3.68994701E-01
     13  -1.43843738E+00  -7.77482646E-01   6.60954733E-01
     14  -1.76275231E+00  -8.09837548E-01   9.52914766E-01
     15  -1.78073347E+00  -1.38033475E+00   4.00398715E-01
     16  -1.79871462E+00  -1.95083196E+00  -1.52117340E-01
     17  -1.85330842E+00  -1.98470344E+00  -1.31395023E-01
     18  -1.90790222E+00  -2.01857492E+00  -1.10672699E-01
     19  -2.74846939E+00  -2.03664672E+00   7.11822668E-01
     20  -3.58903656E+00  -2.05471853E+00   1.53431803E+00
     21  -3.60591348E+00  -2.10221062E+00   1.50370285E+00
     22  -3.62279039E+00  -2.14970274E+00   1.47308765E+00
     23  -3.63862719E+00  -3.25410043E+00   3.84526756E-01
     24  -3.65446398E+00  -4.35849814E+00  -7.04034158E-01
     25  -7.48534496E+00  -4.39361818E+00   3.09172678E+00
     26  -1.13162259E+01  -4.42873822E+00   6.88748772E+00
     27  -1.13513460E+01  -8.05027049E+00   3.30107549E+00
     28  -1.13864660E+01  -1.16718028E+01  -2.85336747E-01
     29  -1.14091726E+01  -1.16968975E+01  -2.87724895E-01
     30  -1.14318791E+01  -1.17219922E+01  -2.90113038E-01
     31  -1.14739337E+01  -1.17434200E+01  -2.69486367E-01
     32  -1.15159882E+01  -1.17648479E+01  -2.48859694E-01
     33  -1.15409327E+01  -1.22193145E+01  -6.78381847E-01
     34  -1.15658772E+01  -1.26737812E+01  -1.10790401E+00
     35  -1.15988391E+01  -1.26876750E+01  -1.08883584E+00
     36  -1.16318011E+01  -1.27015687E+01  -1.06976768E+00
     37  -1.19256399E+01  -1.27067718E+01  -7.81131950E-01
     38  -1.22194787E+01  -1.27119749E+01  -4.92496225E-01
     39  -1.24128282E+01  -1.27233378E+01  -3.10509626E-01
     40  -1.26061777E+01  -1.27347007E+01  -1.28523028E-01
     41  -1.28519651E+01  -1.27448137E+01   1.07151345E-01
     42  -1.30977524E+01  -1.27549267E+01   3.42825717E-01
     43  -1.31110842E+01  -1.28080743E+01   3.03009909E-01
     44  -1.31244160E+01  -1.28612219E+01   2.63194102E-01
     45  -1.31379388E+01  -1.29717764E+01   1.66162327E-01
     46  -1.31514616E+01  -1.30823310E+01   6.91305534E-02
     47  -1.31601507E+01  -1.31296047E+01   3.05460348E-02
     48  -1.31688398E+01  -1.31768783E+01  -8.03845864E-03
     49  -1.31749026E+01  -1.34909695E+01  -3.16066916E-01
     50  -1.31809653E+01  -1.38050607E+01  -6.24095374E-01
     51  -1.33719454E+01  -1.38122014E+01  -4.40256012E-01
     52  -1.35629255E+01  -1.38193421E+01  -2.56416648E-01
     53  -1.38059161E+01  -1.38259443E+01  -2.00282152E-02
     54  -1.40489067E+01  -1.38325465E+01   2.16360217E-01
     55  -1.40691560E+01  -1.38566836E+01   2.12472431E-01
     56  -1.40894053E+01  -1.38808207E+01   2.08584634E-01
     57  -1.41093962E+01  -1.41080187E+01   1.37745666E-03
     58  -1.41293871E+01  -1.43352168E+01  -2.05829717E-01
     59  -1.41562996E+01  -1.43446698E+01  -1.88370113E-01
     60  -1.41832122E+01  -1.43541227E+01  -1.70910493E-01
     61  -1.42101826E+01  -1.46047869E+01  -3.94604245E-01
     62  -1.42371530E+01  -1.48554510E+01  -6.18298009E-01
     63  -1.42899834E+01  -1.48632867E+01  -5.73303276E-01
     64  -1.43428139E+01  -1.48711224E+01  -5.28308544E-01
     65  -1.44010626E+01  -1.48774063E+01  -4.76343725E-01
     66  -1.44593113E+01  -1.48836902E+01  -4.24378906E-01
     67  -1.44880469E+01  -1.48901432E+01  -4.02096258E-01
     68  -1.45167825E+01  -1.48965961E+01  -3.79813610E-01
     69  -1.45505364E+01  -1.49054900E+01  -3.54953587E-01
     70  -1.45842903E+01  -1.49143838E+01  -3.30093564E-01
     71  -1.45995265E+01  -1.49183962E+01  -3.18869714E-01
     72  -1.46147628E+01  -1.49224086E+01  -3.07645865E-01
     73  -1.46208178E+01  -1.49308112E+01  -3.09993371E-01
     74  -1.46268728E+01  -1.49392137E+01  -3.12340880E-01
     75  -1.46332726E+01  -1.49539126E+01  -3.20640031E-01
     76  -1.46396723E+01  -1.49686115E+01  -3.28939183E-01
     77  -1.46450137E+01  -1.49745286E+01  -3.29514904E-01
     78  -1.46503551E+01  -1.49804457E+01  -3.30090624E-01
     79  -1.46556320E+01  -1.50105132E+01  -3.54881245E-01
     80  -1.46609089E+01  -1.50405808E+01  -3.79671868E-01
