# Generated by LORRAX 0.1.0 at 2026-05-06 01:45:58 UTC
# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -4.472447+ -0.000000i  sigCOH=   -7.828369+  0.000000i  sigTOT=  -12.300816+ -0.000000i  VH=    3.590051+ -0.000522i
n=1   sigSX=   -4.472447+ -0.000000i  sigCOH=   -7.828369+  0.000000i  sigTOT=  -12.300816+ -0.000000i  VH=    3.590051+ -0.000522i
n=2   sigSX=   -4.363823+ -0.000000i  sigCOH=   -6.928050+  0.000000i  sigTOT=  -11.291873+ -0.000000i  VH=    5.806622+ -0.001026i
n=3   sigSX=   -4.363823+ -0.000000i  sigCOH=   -6.928050+  0.000000i  sigTOT=  -11.291873+ -0.000000i  VH=    5.806622+ -0.001026i
n=4   sigSX=   -4.360233+ -0.000000i  sigCOH=   -6.864590+  0.000000i  sigTOT=  -11.224823+ -0.000000i  VH=    5.809869+ -0.000997i
n=5   sigSX=   -4.360233+ -0.000000i  sigCOH=   -6.864590+  0.000000i  sigTOT=  -11.224823+ -0.000000i  VH=    5.809869+ -0.000997i
n=6   sigSX=   -4.360233+ -0.000000i  sigCOH=   -6.864590+  0.000000i  sigTOT=  -11.224823+ -0.000000i  VH=    5.809869+ -0.000997i
n=7   sigSX=   -4.360233+ -0.000000i  sigCOH=   -6.864590+  0.000000i  sigTOT=  -11.224823+ -0.000000i  VH=    5.809869+ -0.000997i
n=8   sigSX=   -2.124512              sigCOH=   -6.253095+  0.000000i  sigTOT=   -8.377606+  0.000000i  VH=    2.351494+  0.004027i
n=9   sigSX=   -2.124512              sigCOH=   -6.253095+  0.000000i  sigTOT=   -8.377606+  0.000000i  VH=    2.351494+  0.004027i
n=10  sigSX=   -2.121506              sigCOH=   -6.274464+  0.000000i  sigTOT=   -8.395971+  0.000000i  VH=    2.345676+  0.004044i
n=11  sigSX=   -2.121506              sigCOH=   -6.274464+  0.000000i  sigTOT=   -8.395971+  0.000000i  VH=    2.345676+  0.004044i
n=12  sigSX=   -2.121506              sigCOH=   -6.274464+  0.000000i  sigTOT=   -8.395971+  0.000000i  VH=    2.345676+  0.004044i
n=13  sigSX=   -2.121506              sigCOH=   -6.274464+  0.000000i  sigTOT=   -8.395971+  0.000000i  VH=    2.345676+  0.004044i
n=14  sigSX=   -2.388869+  0.000000i  sigCOH=   -6.817173+  0.000000i  sigTOT=   -9.206042+  0.000000i  VH=    5.236157+  0.002034i
n=15  sigSX=   -2.388869+  0.000000i  sigCOH=   -6.817173+  0.000000i  sigTOT=   -9.206042+  0.000000i  VH=    5.236157+  0.002034i

k-point 1:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -4.482054+ -0.000000i  sigCOH=   -7.809518+  0.000000i  sigTOT=  -12.291572+ -0.000000i  VH=    4.577871+  0.003930i
n=1   sigSX=   -4.482054+ -0.000000i  sigCOH=   -7.809518+  0.000000i  sigTOT=  -12.291572+ -0.000000i  VH=    4.577871+  0.003930i
n=2   sigSX=   -3.903894+ -0.000000i  sigCOH=   -7.327820+  0.000000i  sigTOT=  -11.231714+  0.000000i  VH=    2.912071+  0.009710i
n=3   sigSX=   -3.903894+ -0.000000i  sigCOH=   -7.327820+  0.000000i  sigTOT=  -11.231714+  0.000000i  VH=    2.912071+  0.009710i
n=4   sigSX=   -4.155521+ -0.000000i  sigCOH=   -7.063854+  0.000000i  sigTOT=  -11.219375+ -0.000000i  VH=    5.034286+ -0.002634i
n=5   sigSX=   -4.155521+ -0.000000i  sigCOH=   -7.063854+  0.000000i  sigTOT=  -11.219375+ -0.000000i  VH=    5.034286+ -0.002634i
n=6   sigSX=   -4.152395+ -0.000000i  sigCOH=   -6.958129+  0.000000i  sigTOT=  -11.110524+ -0.000000i  VH=    5.034763+ -0.003867i
n=7   sigSX=   -4.152395+ -0.000000i  sigCOH=   -6.958129+  0.000000i  sigTOT=  -11.110524+ -0.000000i  VH=    5.034763+ -0.003867i
n=8   sigSX=   -2.301255+ -0.000000i  sigCOH=   -6.465673+ -0.000000i  sigTOT=   -8.766928+ -0.000000i  VH=    2.874685+  0.006162i
n=9   sigSX=   -2.301255+ -0.000000i  sigCOH=   -6.465673+ -0.000000i  sigTOT=   -8.766928+ -0.000000i  VH=    2.874685+  0.006162i
n=10  sigSX=   -1.974279+  0.000000i  sigCOH=   -5.940135+  0.000000i  sigTOT=   -7.914414+  0.000000i  VH=    1.361168+ -0.004152i
n=11  sigSX=   -1.974279+  0.000000i  sigCOH=   -5.940135+  0.000000i  sigTOT=   -7.914414+  0.000000i  VH=    1.361168+ -0.004152i
n=12  sigSX=   -1.973042+  0.000000i  sigCOH=   -6.023060+  0.000000i  sigTOT=   -7.996102+  0.000000i  VH=    1.351239+ -0.000442i
n=13  sigSX=   -1.973042+  0.000000i  sigCOH=   -6.023060+  0.000000i  sigTOT=   -7.996102+  0.000000i  VH=    1.351239+ -0.000442i
n=14  sigSX=   -1.333726+  0.000000i  sigCOH=   -4.603131+ -0.000000i  sigTOT=   -5.936857              VH=   -3.112631+  0.003357i
n=15  sigSX=   -1.333726+  0.000000i  sigCOH=   -4.603131+ -0.000000i  sigTOT=   -5.936857              VH=   -3.112631+  0.003357i

k-point 2:
----------------------------------------------------------------------------------------------------
