JAX: 1 gpu devices
== kin_ion_io ==
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_gw_conduction_postfix/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'output_file' is no longer supported and will be ignored.  ``output_file`` (LORRAX-native eqp0) is now ``sigma_diag_file`` (defaults to ``sigma_diag.dat``); BGW-format ``eqp0.dat`` and ``eqp1.dat`` (with Z-linearization) are written automatically.  Remove 'output_file' from your input file.
  params = read_cohsex_input(args.input)
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_gw_conduction_postfix/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'self_consistent' is deprecated; it is honored via ``qp_solver = auto`` resolution.  Set 'qp_solver = self_consistent' instead.
  params = read_cohsex_input(args.input)
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_gw_conduction_postfix/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'sigma_at_dft_energies' is deprecated; it is honored via ``qp_solver = auto`` resolution.  Set 'qp_solver = one_shot_dft (the default)' instead.
  params = read_cohsex_input(args.input)
Loading WFN: WFN.h5
Bands: 200, FFT grid: (24, 24, 80), k-points: 36
sys_dim: 2
Devices: 1
Pseudopotentials: ['Mo', 'S']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 36 k-points...
  k=1/36...
  k=17/36...
  k=33/36...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/A_bse_figures_2026-07-20/03_lorrax_gw_postfix_2026-07-21/kin_ion.h5...
Wrote kin_ion.h5: shape (36, 200, 200), sys_dim=2
--- Timing (seconds) ---
Total recorded: 14.292 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       0.121       0.121    0.8
build_V_loc                                            1       1.620       1.620   11.3
k0                                                     1       2.486       2.486   17.4
k1                                                     1       1.425       1.425   10.0
k2                                                     1       2.130       2.130   14.9
k3                                                     1       1.647       1.647   11.5
k4                                                     1       0.077       0.077    0.5
k5                                                     1       0.084       0.084    0.6
k6                                                     1       0.057       0.057    0.4
k7                                                     1       1.799       1.799   12.6
k8                                                     1       0.050       0.050    0.4
k9                                                     1       0.050       0.050    0.4
k10                                                    1       0.048       0.048    0.3
k11                                                    1       0.036       0.036    0.3
k12                                                    1       0.057       0.057    0.4
k13                                                    1       0.050       0.050    0.3
k14                                                    1       1.512       1.512   10.6
k15                                                    1       0.080       0.080    0.6
k16                                                    1       0.048       0.048    0.3
k17                                                    1       0.036       0.036    0.3
k18                                                    1       0.055       0.055    0.4
k19                                                    1       0.046       0.046    0.3
k20                                                    1       0.049       0.049    0.3
k21                                                    1       0.047       0.047    0.3
k22                                                    1       0.040       0.040    0.3
k23                                                    1       0.105       0.105    0.7
k24                                                    1       0.057       0.057    0.4
k25                                                    1       0.030       0.030    0.2
k26                                                    1       0.028       0.028    0.2
k27                                                    1       0.029       0.029    0.2
k28                                                    1       0.029       0.029    0.2
k29                                                    1       0.032       0.032    0.2
k30                                                    1       0.034       0.034    0.2
k31                                                    1       0.037       0.037    0.3
k32                                                    1       0.037       0.037    0.3
k33                                                    1       0.033       0.033    0.2
k34                                                    1       0.072       0.072    0.5
k35                                                    1       0.089       0.089    0.6
write_h5                                               1       0.029       0.029    0.2
