# Sigma frequency debug decomposition (all energies in eV)
# k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    

k-point 0:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              8		             51		         12.086		          7.742		         39.793		         -3.235		         -6.559		         -5.634		         -2.467		            nan		            nan		          0.115		            nan
              8		             52		         13.349		          9.005		         30.682		         -2.291		         -5.488		         -3.794		         -2.160		            nan		            nan		         -0.078		            nan
              8		             53		         13.349		          9.005		         30.683		         -2.291		         -5.486		         -3.796		         -2.154		            nan		            nan		         -0.076		            nan
              8		             54		         14.919		         10.575		         29.341		         -1.989		         -5.066		         -3.144		         -2.125		            nan		            nan		         -0.090		            nan
              8		             55		         14.981		         10.637		         29.351		         -1.989		         -5.058		         -3.140		         -2.118		            nan		            nan		         -0.087		            nan
              8		             56		         16.072		         11.728		         31.449		         -2.044		         -4.856		         -3.227		         -1.980		            nan		            nan		          0.018		            nan
              8		             57		         16.076		         11.733		         31.376		         -2.038		         -4.849		         -3.222		         -1.973		            nan		            nan		          0.019		            nan
              8		             58		         17.294		         12.951		         25.605		         -1.603		         -4.234		         -2.488		         -1.643		            nan		            nan		         -0.065		            nan
              8		             59		         17.297		         12.953		         26.191		         -1.665		         -4.265		         -2.578		         -1.643		            nan		            nan		         -0.063		            nan
              8		             60		         17.617		         13.273		         35.968		         -2.350		         -4.950		         -3.599		         -2.077		            nan		            nan		         -0.097		            nan
              8		             61		         17.688		         13.345		         27.869		         -1.441		         -4.195		         -2.268		         -1.782		            nan		            nan		         -0.023		            nan
              8		             62		         17.716		         13.373		         32.328		         -1.925		         -4.588		         -2.981		         -1.927		            nan		            nan		         -0.057		            nan
              8		             63		         17.846		         13.502		         40.676		         -2.869		         -5.331		         -4.354		         -2.196		            nan		            nan		         -0.120		            nan
              8		             64		         18.435		         14.092		         32.351		         -1.931		         -4.366		         -2.923		         -1.804		            nan		            nan		         -0.110		            nan
              8		             65		         18.441		         14.097		         32.362		         -1.931		         -4.363		         -2.924		         -1.801		            nan		            nan		         -0.108		            nan
              8		             66		         19.226		         14.882		         36.620		         -1.910		         -4.412		         -2.901		         -1.770		            nan		            nan		          0.018		            nan
              8		             67		         19.242		         14.898		         36.691		         -1.916		         -4.412		         -2.909		         -1.768		            nan		            nan		          0.019		            nan
              8		             68		         19.800		         15.457		         39.584		         -2.118		         -4.621		         -3.263		         -1.871		            nan		            nan		         -0.050		            nan
              8		             69		         19.819		         15.476		         39.544		         -2.114		         -4.615		         -3.253		         -1.872		            nan		            nan		         -0.050		            nan
              8		             70		         22.068		         17.724		         34.756		         -1.815		         -3.560		         -2.741		         -1.283		            nan		            nan		         -0.075		            nan
              8		             71		         22.083		         17.739		         34.728		         -1.813		         -3.557		         -2.736		         -1.284		            nan		            nan		         -0.074		            nan
              8		             72		         23.609		         19.265		         45.476		         -2.261		         -4.423		         -3.208		         -1.632		            nan		            nan		         -0.015		            nan
              8		             73		         23.609		         19.265		         45.494		         -2.261		         -4.418		         -3.207		         -1.635		            nan		            nan		         -0.015		            nan
              8		             74		         24.463		         20.120		         50.179		         -2.463		         -4.110		         -3.575		         -1.637		            nan		            nan		         -0.226		            nan
              8		             75		         24.489		         20.146		         49.702		         -2.432		         -4.043		         -3.532		         -1.609		            nan		            nan		         -0.224		            nan
              8		             76		         24.533		         20.190		         49.448		         -2.676		         -4.244		         -3.738		         -1.568		            nan		            nan		         -0.148		            nan
              8		             77		         24.537		         20.193		         49.767		         -2.700		         -4.262		         -3.775		         -1.573		            nan		            nan		         -0.150		            nan
              8		             78		         24.554		         20.210		         34.842		         -1.599		         -3.116		         -2.219		         -1.230		            nan		            nan		         -0.099		            nan
              8		             79		         24.561		         20.218		         34.546		         -1.577		         -3.096		         -2.186		         -1.224		            nan		            nan		         -0.097		            nan
