# Generated by LORRAX 0.1.0 at 2026-05-14 20:58:01 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	              33	       -2.326587	       -2.326587	      +42.289590	     +406.759530	      -11.138799	       +0.000000	       -4.977880	       -8.701814	       +0.000000	       -1.411795	     +424.230628	     +424.230628
               0	              34	       +1.113320	       +1.113320	      +24.044532	     +427.869050	       -6.084998	       +0.000000	       -3.206207	       -6.995044	       +0.000000	       -1.411795	     +435.627333	     +435.627333
               0	              35	       +1.113320	       +1.113320	      +24.044532	     +427.869050	       -6.084998	       +0.000000	       -3.206207	       -6.995044	       +0.000000	       -1.411795	     +435.627333	     +435.627333
               0	              36	       +3.714014	       +3.714014	      +27.477083	     +326.385387	       -5.750955	       +0.000000	       -3.129982	       -6.592712	       +0.000000	       -1.411795	     +338.388821	     +338.388821
               0	              37	       +3.714014	       +3.714014	      +27.477083	     +326.385387	       -5.750955	       +0.000000	       -3.129982	       -6.592712	       +0.000000	       -1.411795	     +338.388821	     +338.388821
               0	              38	       +3.951991	       +3.951991	      +21.757483	     +161.518191	       -3.904950	       +0.000000	       -2.168504	       -4.956263	       +0.000000	       -1.411795	     +172.245957	     +172.245957
               0	              39	       +3.951991	       +3.951991	      +21.757483	     +161.518191	       -3.904950	       +0.000000	       -2.168504	       -4.956263	       +0.000000	       -1.411795	     +172.245957	     +172.245957
               0	              40	       +4.776397	       +4.776397	      +14.550336	      +61.733394	       -2.445366	       +0.000000	       -1.331178	       -4.089406	       +0.000000	       -1.411795	      +68.417781	      +68.417781
               0	              41	       +4.776397	       +4.776397	      +14.550336	      +61.733394	       -2.445366	       +0.000000	       -1.331178	       -4.089406	       +0.000000	       -1.411795	      +68.417781	      +68.417781
               0	              42	       +5.486224	       +5.486224	      +34.714249	     +361.764571	       -5.860781	       +0.000000	       -3.264973	       -6.488996	       +0.000000	       -1.411795	     +380.864070	     +380.864070
               0	              43	       +5.486224	       +5.486224	      +34.714249	     +361.764571	       -5.860781	       +0.000000	       -3.264973	       -6.488996	       +0.000000	       -1.411795	     +380.864070	     +380.864070
               0	              44	       +5.562327	       +5.562327	      +34.721519	     +360.150324	       -5.861193	       +0.000000	       -3.257361	       -6.485173	       +0.000000	       -1.411795	     +379.268117	     +379.268117
               0	              45	       +5.562327	       +5.562327	      +34.721519	     +360.150324	       -5.861193	       +0.000000	       -3.257361	       -6.485173	       +0.000000	       -1.411795	     +379.268117	     +379.268117
               0	              46	       +7.461580	       +7.461580	      +39.388634	     +335.709942	       -5.695126	       +0.000000	       -3.293270	       -6.508694	       +0.000000	       -1.411795	     +359.601486	     +359.601486
               0	              47	       +7.461580	       +7.461580	      +39.388634	     +335.709942	       -5.695126	       +0.000000	       -3.293270	       -6.508694	       +0.000000	       -1.411795	     +359.601486	     +359.601486
               0	              48	       +7.478940	       +7.478940	      +39.423059	     +336.797964	       -5.696724	       +0.000000	       -3.293916	       -6.470506	       +0.000000	       -1.411795	     +360.759876	     +360.759876
               0	              49	       +7.478940	       +7.478940	      +39.423059	     +336.797964	       -5.696724	       +0.000000	       -3.293916	       -6.470506	       +0.000000	       -1.411795	     +360.759876	     +360.759876
               0	              50	       +7.640758	       +7.640758	      +39.779355	     +283.535389	       -5.844969	       +0.000000	       -3.386799	       -6.454360	       +0.000000	       -1.411795	     +307.628617	     +307.628617
               0	              51	       +7.640758	       +7.640758	      +39.779355	     +283.535389	       -5.844969	       +0.000000	       -3.386799	       -6.454360	       +0.000000	       -1.411795	     +307.628617	     +307.628617
               0	              52	      +10.750584	      +10.750584	      +46.967980	     +318.980065	       -5.373293	       +0.000000	       -3.324628	       -6.234423	       +0.000000	       -1.411795	     +351.015702	     +351.015702
               0	              53	      +10.750584	      +10.750584	      +46.967980	     +318.980065	       -5.373293	       +0.000000	       -3.324628	       -6.234423	       +0.000000	       -1.411795	     +351.015702	     +351.015702
               0	              54	      +10.765263	      +10.765263	      +46.999011	     +319.011945	       -5.375347	       +0.000000	       -3.326927	       -6.232058	       +0.000000	       -1.411795	     +351.076624	     +351.076624
               0	              55	      +10.765263	      +10.765263	      +46.999011	     +319.011945	       -5.375347	       +0.000000	       -3.326927	       -6.232058	       +0.000000	       -1.411795	     +351.076624	     +351.076624
               0	              56	      +10.847685	      +10.847685	      +27.096364	     +359.629787	       -3.385035	       +0.000000	       -2.151712	       -5.332833	       +0.000000	       -1.411795	     +375.856571	     +375.856571
               0	              57	      +10.847685	      +10.847685	      +27.096364	     +359.629787	       -3.385035	       +0.000000	       -2.151712	       -5.332833	       +0.000000	       -1.411795	     +375.856571	     +375.856571
               0	              58	      +11.103919	      +11.103919	      +52.071325	     +327.065767	       -5.950739	       +0.000000	       -3.685182	       -6.498340	       +0.000000	       -1.411795	     +363.002831	     +363.002831
               0	              59	      +11.103919	      +11.103919	      +52.071325	     +327.065767	       -5.950739	       +0.000000	       -3.685182	       -6.498340	       +0.000000	       -1.411795	     +363.002831	     +363.002831
               0	              60	      +11.110759	      +11.110759	      +52.215015	     +326.792127	       -5.966500	       +0.000000	       -3.692584	       -6.502345	       +0.000000	       -1.411795	     +362.845713	     +362.845713
               0	              61	      +11.110759	      +11.110759	      +52.215015	     +326.792127	       -5.966500	       +0.000000	       -3.692584	       -6.502345	       +0.000000	       -1.411795	     +362.845713	     +362.845713
               0	              62	      +11.238346	      +11.238346	      +20.779968	     +237.806755	       -2.453453	       +0.000000	       -1.596343	       -3.828515	       +0.000000	       -1.411795	     +250.708413	     +250.708413
               0	              63	      +11.238346	      +11.238346	      +20.779968	     +237.806755	       -2.453453	       +0.000000	       -1.596343	       -3.828515	       +0.000000	       -1.411795	     +250.708413	     +250.708413
               0	              64	      +14.009905	      +14.009905	      +23.572159	     +172.056354	       -2.094683	       +0.000000	       -1.471863	       -3.736026	       +0.000000	       -1.411795	     +188.325941	     +188.325941
               0	              65	      +14.009905	      +14.009905	      +23.572159	     +172.056354	       -2.094683	       +0.000000	       -1.471863	       -3.736026	       +0.000000	       -1.411795	     +188.325941	     +188.325941
               0	              66	      +14.263648	      +14.263648	      +24.020481	     +180.661746	       -1.997784	       +0.000000	       -1.404466	       -3.641278	       +0.000000	       -1.411795	     +197.638700	     +197.638700
               0	              67	      +14.263648	      +14.263648	      +24.020481	     +180.661746	       -1.997784	       +0.000000	       -1.404466	       -3.641278	       +0.000000	       -1.411795	     +197.638700	     +197.638700
               0	              68	      +14.654708	      +14.654708	      +31.957909	     +204.386744	       -2.907990	       +0.000000	       -1.930280	       -4.249367	       +0.000000	       -1.411795	     +227.257016	     +227.257016
               0	              69	      +14.654708	      +14.654708	      +31.957909	     +204.386744	       -2.907990	       +0.000000	       -1.930280	       -4.249367	       +0.000000	       -1.411795	     +227.257016	     +227.257016
               0	              70	      +16.051969	      +16.051969	      +21.426708	     +160.762543	       -1.671895	       +0.000000	       -1.147774	       -3.067658	       +0.000000	       -1.411795	     +176.301925	     +176.301925
               0	              71	      +16.051969	      +16.051969	      +21.426708	     +160.762543	       -1.671895	       +0.000000	       -1.147774	       -3.067658	       +0.000000	       -1.411795	     +176.301925	     +176.301925
               0	              72	      +18.076102	      +18.076102	      +40.962799	     +292.077626	       -3.234808	       +0.000000	       -2.369768	       -4.123615	       +0.000000	       -1.411795	     +323.312234	     +323.312234
               0	              73	      +18.076102	      +18.076102	      +40.962800	     +292.077626	       -3.234808	       +0.000000	       -2.369768	       -4.123615	       +0.000000	       -1.411795	     +323.312235	     +323.312235
               0	              74	      +18.251525	      +18.251525	      +40.374282	     +284.533670	       -3.181834	       +0.000000	       -2.315660	       -3.796402	       +0.000000	       -1.411795	     +315.614057	     +315.614057
               0	              75	      +18.251525	      +18.251525	      +40.374282	     +284.533670	       -3.181834	       +0.000000	       -2.315660	       -3.796402	       +0.000000	       -1.411795	     +315.614056	     +315.614056
               0	              76	      +20.596318	      +20.596318	      +35.278392	     +229.915496	       -2.312401	       +0.000000	       -1.669034	       -3.373539	       +0.000000	       -1.411795	     +257.838915	     +257.838915
               0	              77	      +20.596318	      +20.596318	      +35.278392	     +229.915496	       -2.312401	       +0.000000	       -1.669034	       -3.373539	       +0.000000	       -1.411795	     +257.838915	     +257.838915
               0	              78	      +20.815168	      +20.815168	      +36.342655	     +155.227870	       -1.963187	       +0.000000	       -1.453576	       -3.244506	       +0.000000	       -1.411795	     +184.909255	     +184.909255
               0	              79	      +20.815168	      +20.815168	      +36.342655	     +155.227870	       -1.963187	       +0.000000	       -1.453576	       -3.244506	       +0.000000	       -1.411795	     +184.909255	     +184.909255

k-point 1:
               1	               0	      -65.392799	      -65.392799	      +29.311577	     +594.128214	      -40.201625	       -3.563713	      -15.438843	      -13.461541	       -0.740123	       -1.411795	     +554.337783	     +554.337783
               1	               1	      -65.392799	      -65.392799	      +29.311577	     +594.128214	      -40.201625	       -3.563713	      -15.438843	      -13.461541	       -0.740123	       -1.411795	     +554.337783	     +554.337783
               1	               2	      -42.080407	      -42.080407	      +50.926996	     +584.257692	      -33.861746	       -3.563713	      -12.390307	      -12.115086	       -0.740123	       -1.411795	     +576.817548	     +576.817548
               1	               3	      -42.080407	      -42.080407	      +50.926996	     +584.257692	      -33.861746	       -3.563713	      -12.390307	      -12.115086	       -0.740123	       -1.411795	     +576.817549	     +576.817549
               1	               4	      -39.576634	      -39.576634	      +47.748863	     +578.689489	      -33.494230	       -3.563713	      -12.187097	      -12.016632	       -0.740123	       -1.411795	     +568.740393	     +568.740393
               1	               5	      -39.576634	      -39.576634	      +47.748863	     +578.689489	      -33.494230	       -3.563713	      -12.187097	      -12.016632	       -0.740123	       -1.411795	     +568.740393	     +568.740393
               1	               6	      -39.426548	      -39.426548	      +48.742352	     +585.153158	      -33.420594	       -3.563713	      -12.186916	      -12.028791	       -0.740123	       -1.411795	     +576.259209	     +576.259209
               1	               7	      -39.426548	      -39.426548	      +48.742353	     +585.153158	      -33.420594	       -3.563713	      -12.186916	      -12.028791	       -0.740123	       -1.411795	     +576.259209	     +576.259209
               1	               8	      -18.084493	      -18.084493	      +13.069808	     +388.342869	      -22.318226	       -3.563713	       -7.091995	       -9.591363	       -0.740123	       -1.411795	     +362.411093	     +362.411093
               1	               9	      -18.084493	      -18.084493	      +13.069808	     +388.342869	      -22.318226	       -3.563713	       -7.091995	       -9.591363	       -0.740123	       -1.411795	     +362.411093	     +362.411093
               1	              10	      -17.638783	      -17.638783	      +13.836883	     +372.575749	      -22.256793	       -3.563713	       -7.031291	       -9.651996	       -0.740123	       -1.411795	     +347.472552	     +347.472552
               1	              11	      -17.638783	      -17.638783	      +13.836883	     +372.575749	      -22.256793	       -3.563713	       -7.031291	       -9.651996	       -0.740123	       -1.411795	     +347.472552	     +347.472552
               1	              12	      -10.524665	      -10.524665	      +22.254093	     +420.811880	      -18.390371	       -3.563713	       -6.526659	       -8.564782	       -0.740123	       -1.411795	     +409.584161	     +409.584161
               1	              13	      -10.524665	      -10.524665	      +22.254093	     +420.811880	      -18.390371	       -3.563713	       -6.526659	       -8.564782	       -0.740123	       -1.411795	     +409.584162	     +409.584162
               1	              14	       -9.566583	       -9.566583	      +23.065894	     +377.931155	      -17.900406	       -3.563713	       -6.411496	       -8.612003	       -0.740123	       -1.411795	     +368.073144	     +368.073144
               1	              15	       -9.566583	       -9.566583	      +23.065895	     +377.931155	      -17.900406	       -3.563713	       -6.411496	       -8.612003	       -0.740123	       -1.411795	     +368.073144	     +368.073144
               1	              16	       -9.176330	       -9.176330	      +21.632779	     +378.596839	      -17.595736	       -3.563713	       -6.256251	       -8.480138	       -0.740123	       -1.411795	     +367.897493	     +367.897493
