# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 608

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
   40.72          0.00 B       74        2.42 GiB
   40.97          0.00 B       76        3.49 GiB
   41.22          0.00 B       76        3.49 GiB
   41.48          0.00 B       76        3.49 GiB
   41.73          0.00 B       76        3.49 GiB
   41.98          0.00 B       76        3.49 GiB
   42.23          0.00 B       76        3.49 GiB
   42.48          0.00 B       76        3.49 GiB
   42.73          0.00 B       77        3.49 GiB
   42.98          0.00 B       77        3.49 GiB
   43.23          0.00 B       74        4.34 GiB
   43.48          0.00 B       77        5.19 GiB
   43.73          0.00 B       77        5.19 GiB
   43.98          0.00 B       73        3.27 GiB
   44.23          0.00 B       73        3.27 GiB
   44.48          0.00 B       73        3.27 GiB
   44.73          0.00 B       73        3.27 GiB
   44.99          0.00 B       73        3.27 GiB
   45.24          0.00 B       73        3.27 GiB
   45.49          0.00 B       73        3.27 GiB
   45.74          0.00 B       73        3.27 GiB
   45.99          0.00 B       73        3.27 GiB
   46.24          0.00 B       73        3.27 GiB
   46.49          0.00 B       73        3.27 GiB
   46.74          0.00 B       73        3.27 GiB
   46.99          0.00 B       73        3.27 GiB
   47.24          0.00 B       70        2.20 GiB
   47.49          0.00 B       70        2.20 GiB
   47.74          0.00 B       70        2.20 GiB
   47.99          0.00 B       70        2.20 GiB
   48.24          0.00 B       70        2.20 GiB
   48.50          0.00 B       70        2.20 GiB
   48.75          0.00 B       70        2.20 GiB
   49.00          0.00 B       70        2.20 GiB
   49.25          0.00 B       70        2.20 GiB
   49.50          0.00 B       70        2.20 GiB
   49.75          0.00 B       70        2.20 GiB
   50.00          0.00 B       70        2.20 GiB
   50.25          0.00 B       70        2.20 GiB
   50.50          0.00 B       70        2.20 GiB
   50.75          0.00 B       70        2.20 GiB
   51.00          0.00 B       70        2.20 GiB
   51.25          0.00 B       67        1.14 GiB
   51.50          0.00 B       67        1.14 GiB
   51.76          0.00 B       67        1.14 GiB
   52.01          0.00 B       67        1.14 GiB
   52.26          0.00 B       67        1.14 GiB
   52.51          0.00 B       67        1.14 GiB
   52.76          0.00 B       67        1.14 GiB
   53.01          0.00 B       67        1.14 GiB
   53.26          0.00 B       67        1.14 GiB
   53.51          0.00 B       67        1.14 GiB
   53.76          0.00 B       67        1.14 GiB
   54.01          0.00 B       67        1.14 GiB
   54.26          0.00 B       65        1.14 GiB
   54.51          0.00 B       53      117.34 MiB
   54.76          0.00 B       52      115.76 MiB
   55.02          0.00 B       53      114.19 MiB
   55.27          0.00 B       56      229.50 MiB
   55.52          0.00 B       60        2.07 GiB
   55.80          0.00 B       59      288.60 MiB
   56.05          0.00 B       63      288.61 MiB
   56.30          0.00 B       67      293.67 MiB
   56.55          0.00 B       64      297.64 MiB
   56.80          0.00 B       63      297.23 MiB
   57.05          0.00 B       64      290.19 MiB
   57.31          0.00 B       67      291.77 MiB
   57.56          0.00 B       67      291.77 MiB
   57.81          0.00 B       67      291.77 MiB
   58.06          0.00 B       67      291.77 MiB
   58.31          0.00 B       67      291.77 MiB
   58.57          0.00 B       67      291.77 MiB
   58.82          0.00 B       68      291.77 MiB
   59.07          0.00 B       68      291.77 MiB
   59.32          0.00 B       68      291.77 MiB
   59.57          0.00 B       67        2.42 GiB
   59.82          0.00 B       70        1.35 GiB
   60.07          0.00 B       71        1.35 GiB
   60.32          0.00 B       71        1.35 GiB
   60.57          0.00 B       73        2.42 GiB
   60.82          0.00 B       74        2.42 GiB
   61.07          0.00 B       74        2.42 GiB
   61.32          0.00 B       76        3.49 GiB
   61.57          0.00 B       76        3.49 GiB
   61.82          0.00 B       76        3.49 GiB
   62.08          0.00 B       76        3.49 GiB
   62.33          0.00 B       76        3.49 GiB
   62.58          0.00 B       76        3.49 GiB
   62.83          0.00 B       76        3.49 GiB
   63.08          0.00 B       77        3.49 GiB
   63.33          0.00 B       77        3.49 GiB
   63.58          0.00 B       74        4.34 GiB
   63.83          0.00 B       77        5.19 GiB
   64.08          0.00 B       77        5.19 GiB
   64.34          0.00 B       77        5.19 GiB
   64.59          0.00 B       77        5.19 GiB
   64.84          0.00 B       73        3.27 GiB
   65.09          0.00 B       73        3.27 GiB
   65.34          0.00 B       73        3.27 GiB
   65.59          0.00 B       73        3.27 GiB
   65.84          0.00 B       73        3.27 GiB
   66.09          0.00 B       73        3.27 GiB
   66.34          0.00 B       73        3.27 GiB
   66.59          0.00 B       73        3.27 GiB
   66.84          0.00 B       73        3.27 GiB
   67.09          0.00 B       73        3.27 GiB
   67.34          0.00 B       73        3.27 GiB
   67.60          0.00 B       73        3.27 GiB
   67.85          0.00 B       73        3.27 GiB
   68.10          0.00 B       70        2.20 GiB
   68.35          0.00 B       70        2.20 GiB
   68.60          0.00 B       70        2.20 GiB
   68.85          0.00 B       70        2.20 GiB
   69.10          0.00 B       70        2.20 GiB
   69.35          0.00 B       70        2.20 GiB
   69.60          0.00 B       70        2.20 GiB
   69.85          0.00 B       70        2.20 GiB
   70.10          0.00 B       70        2.20 GiB
   70.35          0.00 B       70        2.20 GiB
   70.61          0.00 B       70        2.20 GiB
   70.86          0.00 B       70        2.20 GiB
   71.11          0.00 B       70        2.20 GiB
   71.36          0.00 B       70        2.20 GiB
   71.61          0.00 B       67        1.14 GiB
   71.86          0.00 B       67        1.14 GiB
   72.11          0.00 B       67        1.14 GiB
   72.36          0.00 B       67        1.14 GiB
   72.61          0.00 B       67        1.14 GiB
   72.86          0.00 B       67        1.14 GiB
   73.11          0.00 B       67        1.14 GiB
   73.36          0.00 B       67        1.14 GiB
   73.61          0.00 B       67        1.14 GiB
   73.86          0.00 B       67        1.14 GiB
   74.12          0.00 B       67        1.14 GiB
   74.37          0.00 B       67        1.14 GiB
   74.62          0.00 B       67        1.14 GiB
   74.87          0.00 B       53      117.34 MiB
   75.12          0.00 B       53      117.34 MiB
   75.37          0.00 B       52      114.19 MiB
   75.62          0.00 B       54      143.02 MiB
   75.87          0.00 B       60        2.07 GiB
   76.12          0.00 B       60        2.07 GiB
   76.37          0.00 B       63      288.61 MiB
   76.62          0.00 B       65      293.40 MiB
   76.87          0.00 B       67      293.67 MiB
   77.12          0.00 B       64      297.64 MiB
   77.37          0.00 B       62      290.19 MiB
   77.63          0.00 B       65      290.19 MiB
   77.88          0.00 B       67      291.77 MiB
   78.13          0.00 B       67      291.77 MiB
   78.38          0.00 B       67      291.77 MiB
   78.63          0.00 B       67      291.77 MiB
   78.88          0.00 B       67      291.77 MiB
   79.13          0.00 B       67      291.77 MiB
   79.38          0.00 B       68      291.77 MiB
   79.63          0.00 B       68      291.77 MiB
   79.88          0.00 B       65        1.35 GiB
   80.13          0.00 B       70        1.35 GiB
   80.38          0.00 B       71        1.35 GiB
   80.63          0.00 B       71        1.35 GiB
   80.88          0.00 B       68        2.42 GiB
   81.14          0.00 B       74        2.42 GiB
   81.39          0.00 B       74        2.42 GiB
   81.64          0.00 B       74        2.42 GiB
   81.89          0.00 B       76        3.49 GiB
   82.14          0.00 B       76        3.49 GiB
   82.39          0.00 B       76        3.49 GiB
   82.64          0.00 B       76        3.49 GiB
   82.89          0.00 B       76        3.49 GiB
   83.14          0.00 B       76        3.49 GiB
   83.39          0.00 B       77        3.49 GiB
   83.64          0.00 B       77        3.49 GiB
   83.90          0.00 B       77        3.49 GiB
   84.15          0.00 B       73        4.12 GiB
   84.40          0.00 B       73        3.27 GiB
   84.65          0.00 B       73        3.27 GiB
   84.90          0.00 B       73        3.27 GiB
   85.15          0.00 B       73        3.27 GiB
   85.40          0.00 B       73        3.27 GiB
   85.65          0.00 B       73        3.27 GiB
   85.90          0.00 B       73        3.27 GiB
   86.15          0.00 B       73        3.27 GiB
   86.40          0.00 B       73        3.27 GiB
   86.65          0.00 B       73        3.27 GiB
   86.90          0.00 B       73        3.27 GiB
   87.15          0.00 B       73        3.27 GiB
   87.40          0.00 B       73        3.27 GiB
   87.66          0.00 B       73        3.27 GiB
   87.91          0.00 B       73        3.27 GiB
   88.16          0.00 B       73        3.27 GiB
   88.41          0.00 B       73        3.27 GiB
   88.66          0.00 B       70        2.20 GiB
   88.91          0.00 B       70        2.20 GiB
   89.16          0.00 B       70        2.20 GiB
   89.41          0.00 B       70        2.20 GiB
   89.66          0.00 B       70        2.20 GiB
   89.91          0.00 B       70        2.20 GiB
   90.16          0.00 B       70        2.20 GiB
   90.41          0.00 B       70        2.20 GiB
   90.66          0.00 B       70        2.20 GiB
   90.92          0.00 B       70        2.20 GiB
   91.17          0.00 B       70        2.20 GiB
   91.42          0.00 B       70        2.20 GiB
   91.67          0.00 B       70        2.20 GiB
   91.92          0.00 B       70        2.20 GiB
   92.17          0.00 B       70        2.20 GiB
   92.42          0.00 B       67        1.14 GiB
   92.67          0.00 B       67        1.14 GiB
   92.92          0.00 B       67        1.14 GiB
   93.17          0.00 B       67        1.14 GiB
   93.42          0.00 B       67        1.14 GiB
   93.67          0.00 B       67        1.14 GiB
   93.92          0.00 B       67        1.14 GiB
   94.18          0.00 B       67        1.14 GiB
   94.43          0.00 B       67        1.14 GiB
   94.68          0.00 B       67        1.14 GiB
   94.93          0.00 B       67        1.14 GiB
   95.18          0.00 B       67        1.14 GiB
   95.43          0.00 B       67        1.14 GiB
   95.68          0.00 B       53      117.34 MiB
   95.93          0.00 B       53      117.34 MiB
   96.18          0.00 B       55      117.35 MiB
   96.43          0.00 B       55      117.35 MiB
   96.68          0.00 B       55      117.35 MiB
   96.93          0.00 B       55      117.35 MiB
   97.18          0.00 B       54      117.35 MiB
   97.43          0.00 B       68      118.42 MiB
   97.69          0.00 B       73      120.53 MiB
   97.94          0.00 B       68      118.48 MiB
   98.19          0.00 B       68      118.49 MiB
   98.44          0.00 B       68      118.49 MiB
   98.69          0.00 B       80      175.89 MiB
   98.94          0.00 B       82      182.60 MiB
   99.19          0.00 B       84      176.27 MiB
   99.44          0.00 B       84      176.27 MiB
   99.69          0.00 B       84      176.27 MiB
   99.94          0.00 B       84      176.27 MiB
  100.19          0.00 B       84      176.27 MiB
  100.44          0.00 B       84      176.27 MiB
  100.69          0.00 B       84      176.27 MiB
  100.95          0.00 B       84      176.27 MiB
  101.20          0.00 B       84      176.27 MiB
  101.45          0.00 B       84      176.27 MiB
  101.70          0.00 B       84      176.27 MiB
  101.95          0.00 B       84      176.27 MiB
  102.20          0.00 B       84      176.27 MiB
  102.45          0.00 B       86        4.13 GiB
  102.70          0.00 B       86        4.13 GiB
  102.95          0.00 B       83      175.89 MiB
  103.20          0.00 B       78      119.55 MiB
  103.45          0.00 B       78      119.55 MiB
  103.71          0.00 B       83      179.12 MiB
  103.96          0.00 B       84      179.88 MiB
  104.21          0.00 B       86      180.26 MiB
  104.46          0.00 B       84      179.12 MiB
  104.71          0.00 B       84      179.12 MiB
  104.96          0.00 B       84      179.12 MiB
  105.21          0.00 B       84      179.12 MiB
  105.46          0.00 B       84      179.12 MiB
  105.71          0.00 B       84      179.12 MiB
  105.96          0.00 B       84      179.12 MiB
  106.21          0.00 B       84      179.12 MiB
  106.46          0.00 B       84      179.12 MiB
  106.72          0.00 B       84      179.12 MiB
  106.97          0.00 B       84      179.12 MiB
  107.22          0.00 B       84      179.12 MiB
  107.47          0.00 B       84      179.12 MiB
  107.72          0.00 B       84      179.12 MiB
  107.97          0.00 B       86        4.23 GiB
  108.22          0.00 B       82      178.74 MiB
  108.47          0.00 B       79      178.65 MiB
  108.72          0.00 B       84      179.12 MiB
  108.97          0.00 B       84      179.12 MiB
  109.22          0.00 B       84      179.12 MiB
  109.47          0.00 B       84      179.12 MiB
  109.73          0.00 B       84      179.12 MiB
  109.98          0.00 B       84      179.12 MiB
  110.23          0.00 B       84      179.12 MiB
  110.48          0.00 B       84      179.12 MiB
  110.73          0.00 B       84      179.12 MiB
  110.98          0.00 B       84      179.12 MiB
  111.23          0.00 B       84      179.12 MiB
  111.48          0.00 B       84      179.12 MiB
  111.73          0.00 B       84      179.12 MiB
  111.98          0.00 B       82      178.74 MiB
  112.23          0.00 B       80      178.74 MiB
  112.48          0.00 B       84      179.12 MiB
  112.74          0.00 B       84      179.12 MiB
  112.99          0.00 B       84      179.12 MiB
  113.24          0.00 B       84      179.12 MiB
  113.49          0.00 B       84      179.12 MiB
  113.74          0.00 B       84      179.12 MiB
  113.99          0.00 B       84      179.12 MiB
  114.24          0.00 B       84      179.12 MiB
  114.49          0.00 B       84      179.12 MiB
  114.74          0.00 B       84      179.12 MiB
  114.99          0.00 B       84      179.12 MiB
  115.24          0.00 B       84      179.12 MiB
  115.50          0.00 B       84      179.12 MiB
  115.75          0.00 B       84      179.12 MiB
  116.00          0.00 B       80      178.74 MiB
  116.25          0.00 B       78      119.55 MiB
  116.50          0.00 B       78      119.55 MiB
  116.75          0.00 B       83      179.12 MiB
  117.00          0.00 B       84      179.12 MiB
  117.25          0.00 B       84      179.12 MiB
  117.50          0.00 B       84      179.12 MiB
  117.75          0.00 B       84      179.12 MiB
  118.00          0.00 B       84      179.12 MiB
  118.26          0.00 B       84      179.12 MiB
  118.51          0.00 B       84      179.12 MiB
  118.76          0.00 B       84      179.12 MiB
  119.01          0.00 B       84      179.12 MiB
  119.26          0.00 B       84      179.12 MiB
  119.51          0.00 B       84      179.12 MiB
  119.76          0.00 B       85        4.23 GiB
  120.01          0.00 B       85        4.23 GiB
  120.26          0.00 B       85        4.23 GiB
  120.51          0.00 B       85        4.23 GiB
  120.76          0.00 B       85        4.23 GiB
  121.01          0.00 B       85        4.23 GiB
  121.27          0.00 B       85        4.23 GiB
  121.52          0.00 B       85        4.23 GiB
  121.77          0.00 B       85        4.23 GiB
  122.02          0.00 B       85        4.23 GiB
  122.27          0.00 B       85        4.23 GiB
  122.52          0.00 B       85        4.23 GiB
  122.77          0.00 B       87        8.28 GiB
  123.02          0.00 B       81      178.65 MiB
  123.27          0.00 B       78      119.55 MiB
  123.52          0.00 B       84      179.12 MiB
  123.77          0.00 B       84      179.12 MiB
  124.03          0.00 B       84      179.12 MiB
  124.28          0.00 B       84      179.12 MiB
  124.53          0.00 B       84      179.12 MiB
  124.78          0.00 B       84      179.12 MiB
  125.03          0.00 B       84      179.12 MiB
  125.28          0.00 B       84      179.12 MiB
  125.53          0.00 B       84      179.12 MiB
  125.78          0.00 B       84      179.12 MiB
  126.03          0.00 B       84      179.12 MiB
  126.28          0.00 B       85        4.23 GiB
  126.54          0.00 B       85        4.23 GiB
  126.79          0.00 B       85        4.23 GiB
  127.04          0.00 B       85        4.23 GiB
  127.29          0.00 B       85        4.23 GiB
  127.54          0.00 B       85        4.23 GiB
  127.79          0.00 B       85        4.23 GiB
  128.04          0.00 B       85        4.23 GiB
  128.29          0.00 B       85        4.23 GiB
  128.54          0.00 B       85        4.23 GiB
  128.79          0.00 B       85        4.23 GiB
  129.04          0.00 B       79      178.65 MiB
  129.30          0.00 B       78      119.55 MiB
  129.55          0.00 B       84      179.12 MiB
  129.80          0.00 B       84      179.12 MiB
  130.05          0.00 B       84      179.12 MiB
  130.30          0.00 B       84      179.12 MiB
  130.55          0.00 B       84      179.12 MiB
  130.80          0.00 B       84      179.12 MiB
  131.05          0.00 B       84      179.12 MiB
  131.30          0.00 B       84      179.12 MiB
  131.55          0.00 B       84      179.12 MiB
  131.81          0.00 B       84      179.12 MiB
  132.06          0.00 B       84      179.12 MiB
  132.31          0.00 B       85        4.23 GiB
  132.56          0.00 B       85        4.23 GiB
  132.81          0.00 B       85        4.23 GiB
  133.06          0.00 B       85        4.23 GiB
  133.31          0.00 B       85        4.23 GiB
  133.56          0.00 B       85        4.23 GiB
  133.81          0.00 B       85        4.23 GiB
  134.06          0.00 B       85        4.23 GiB
  134.32          0.00 B       85        4.23 GiB
  134.57          0.00 B       85        4.23 GiB
  134.82          0.00 B       85        4.23 GiB
  135.07          0.00 B       81      178.65 MiB
  135.32          0.00 B       76      119.48 MiB
  135.57          0.00 B       76      119.48 MiB
  135.82          0.00 B       76      119.48 MiB
  136.07          0.00 B       78      119.48 MiB
  136.32          0.00 B       79      175.82 MiB
  136.57          0.00 B       79      182.07 MiB
  136.82          0.00 B       81      175.76 MiB
  137.07          0.00 B       84      175.80 MiB
  137.33          0.00 B       82      232.02 MiB
  137.58          0.00 B       85      260.15 MiB
  137.83          0.00 B       88      346.64 MiB
  138.08          0.00 B       92      346.65 MiB
  138.33          0.00 B       91      346.65 MiB
  138.58          0.00 B       90      346.65 MiB
  138.83          0.00 B       89      289.67 MiB
  139.08          0.00 B       94      326.94 MiB
  139.34          0.00 B       99      345.93 MiB
  139.59          0.00 B       91      289.67 MiB
  139.89          0.00 B       87      345.91 MiB
  140.14          0.00 B       87      345.91 MiB
  140.39          0.00 B       87      345.91 MiB
  140.64          0.00 B       88      345.91 MiB
  140.90          0.00 B       87      345.91 MiB
  141.15          0.00 B       91      348.99 MiB
  141.40          0.00 B       93      348.99 MiB
  141.65          0.00 B       94      348.99 MiB
  141.90          0.00 B       97      348.99 MiB
  142.15          0.00 B       97      348.99 MiB
  142.41          0.00 B       96      348.99 MiB
  142.66          0.00 B       98      360.99 MiB
  142.91          0.00 B      102      372.99 MiB
  143.16          0.00 B      107      414.99 MiB
  143.41          0.00 B      107      416.99 MiB
  143.66          0.00 B      108      416.99 MiB
  143.91          0.00 B      109      418.99 MiB
  144.16          0.00 B      115      418.99 MiB
  144.41          0.00 B      116      410.99 MiB
  144.66          0.00 B      118      420.99 MiB
  144.92          0.00 B      127      424.99 MiB
  145.17          0.00 B       87      345.91 MiB
  145.42          0.00 B       92      346.79 MiB
  145.67          0.00 B       97      346.80 MiB
  145.92          0.00 B       96      346.80 MiB
  146.17          0.00 B       97      346.80 MiB
  146.42          0.00 B       98      347.68 MiB
  146.67          0.00 B       99      348.56 MiB
  146.92          0.00 B      104      355.59 MiB
  147.17          0.00 B      100      349.44 MiB
  147.42          0.00 B      105      353.83 MiB
  147.68          0.00 B      107      381.78 MiB
  147.93          0.00 B      108      410.61 MiB
  148.18          0.00 B      107      469.71 MiB
  148.43          0.00 B      108      470.58 MiB
  148.68          0.00 B      110      530.56 MiB
  148.93          0.00 B      109      471.46 MiB
  149.19          0.00 B      111      471.46 MiB
  149.44          0.00 B      111      471.46 MiB
  149.69          0.00 B      116      360.90 MiB
  149.94          0.00 B      115      360.02 MiB
