# Generated by LORRAX 0.1.0 at 2026-05-06 04:50:24 UTC
# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -4.198242              sigCOH=  -10.018734              sigTOT=  -14.216976              VH=    3.734484
n=1   sigSX=   -4.198242              sigCOH=  -10.018734              sigTOT=  -14.216976              VH=    3.734484
n=2   sigSX=   -3.984176              sigCOH=  -10.691525              sigTOT=  -14.675701+ -0.000000i  VH=    5.893798
n=3   sigSX=   -3.984176              sigCOH=  -10.691525              sigTOT=  -14.675701+ -0.000000i  VH=    5.893798
n=4   sigSX=   -3.980963+  0.000000i  sigCOH=  -10.688047              sigTOT=  -14.669010+  0.000000i  VH=    5.885496
n=5   sigSX=   -3.980963+  0.000000i  sigCOH=  -10.688047              sigTOT=  -14.669010+  0.000000i  VH=    5.885496
n=6   sigSX=   -3.980963+  0.000000i  sigCOH=  -10.688047              sigTOT=  -14.669010+  0.000000i  VH=    5.885496
n=7   sigSX=   -3.980963+  0.000000i  sigCOH=  -10.688047              sigTOT=  -14.669010+  0.000000i  VH=    5.885496
n=8   sigSX=   -1.957366              sigCOH=   -9.700583              sigTOT=  -11.657949              VH=    2.476093
n=9   sigSX=   -1.957366              sigCOH=   -9.700583              sigTOT=  -11.657949              VH=    2.476093
n=10  sigSX=   -1.954460              sigCOH=   -9.695124              sigTOT=  -11.649584              VH=    2.460719
n=11  sigSX=   -1.954460              sigCOH=   -9.695124              sigTOT=  -11.649584              VH=    2.460719
n=12  sigSX=   -1.954460              sigCOH=   -9.695124              sigTOT=  -11.649584              VH=    2.460719
n=13  sigSX=   -1.954460              sigCOH=   -9.695124              sigTOT=  -11.649584              VH=    2.460719
n=14  sigSX=   -2.143595              sigCOH=  -10.637007              sigTOT=  -12.780601              VH=    5.400869
n=15  sigSX=   -2.143595              sigCOH=  -10.637007              sigTOT=  -12.780601              VH=    5.400869

k-point 1:
----------------------------------------------------------------------------------------------------
