# Generated by LORRAX 0.1.0 at 2026-05-06 04:49:34 UTC
# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=6   sigSX=   -3.773944+ -0.000000i  sigCOH=  -10.313168+  0.000000i  sigTOT=  -14.087112+ -0.000000i  VH=    5.633363
n=7   sigSX=   -3.773944+ -0.000000i  sigCOH=  -10.313168+  0.000000i  sigTOT=  -14.087112+ -0.000000i  VH=    5.633363
n=8   sigSX=   -1.983127+ -0.000000i  sigCOH=   -9.308995              sigTOT=  -11.292122+ -0.000000i  VH=    4.229575
n=9   sigSX=   -1.983127+ -0.000000i  sigCOH=   -9.308995              sigTOT=  -11.292122+ -0.000000i  VH=    4.229575
n=10  sigSX=   -1.710537              sigCOH=   -8.824915              sigTOT=  -10.535452              VH=    2.510857
n=11  sigSX=   -1.710537              sigCOH=   -8.824915              sigTOT=  -10.535452              VH=    2.510857
n=12  sigSX=   -1.708829              sigCOH=   -8.819077              sigTOT=  -10.527907              VH=    2.500771
n=13  sigSX=   -1.708829              sigCOH=   -8.819077              sigTOT=  -10.527907              VH=    2.500771
n=14  sigSX=   -0.895781              sigCOH=   -6.324147              sigTOT=   -7.219928              VH=    0.590344
n=15  sigSX=   -0.895781              sigCOH=   -6.324147              sigTOT=   -7.219928              VH=    0.590344

k-point 5:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -3.958100              sigCOH=  -10.138376              sigTOT=  -14.096476              VH=    5.301071
n=1   sigSX=   -3.958100              sigCOH=  -10.138376              sigTOT=  -14.096476              VH=    5.301071
n=2   sigSX=   -3.958100              sigCOH=  -10.138376              sigTOT=  -14.096476              VH=    5.301071
n=3   sigSX=   -3.958100              sigCOH=  -10.138376              sigTOT=  -14.096476              VH=    5.301071
n=4   sigSX=   -3.513188              sigCOH=   -9.785644              sigTOT=  -13.298832              VH=    4.599583
n=5   sigSX=   -3.513188              sigCOH=   -9.785644              sigTOT=  -13.298832              VH=    4.599583
n=6   sigSX=   -3.513188              sigCOH=   -9.785644              sigTOT=  -13.298832              VH=    4.599583
n=7   sigSX=   -3.513188              sigCOH=   -9.785644              sigTOT=  -13.298832              VH=    4.599583
n=8   sigSX=   -1.503527              sigCOH=   -7.899951              sigTOT=   -9.403479              VH=    1.952681
n=9   sigSX=   -1.503527              sigCOH=   -7.899951              sigTOT=   -9.403479              VH=    1.952681
n=10  sigSX=   -1.503527              sigCOH=   -7.899951              sigTOT=   -9.403479              VH=    1.952681
n=11  sigSX=   -1.503527              sigCOH=   -7.899951              sigTOT=   -9.403479              VH=    1.952681
n=12  sigSX=   -1.812598              sigCOH=  -10.104591              sigTOT=  -11.917189              VH=    4.548720
n=13  sigSX=   -1.812598              sigCOH=  -10.104591              sigTOT=  -11.917189              VH=    4.548720
n=14  sigSX=   -1.812598              sigCOH=  -10.104591              sigTOT=  -11.917189              VH=    4.548720
n=15  sigSX=   -1.812598              sigCOH=  -10.104591              sigTOT=  -11.917189              VH=    4.548720

k-point 6:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -3.958100              sigCOH=  -10.138376              sigTOT=  -14.096476              VH=    5.301071
n=1   sigSX=   -3.958100              sigCOH=  -10.138376              sigTOT=  -14.096476              VH=    5.301071
n=2   sigSX=   -3.958100              sigCOH=  -10.138376              sigTOT=  -14.096476              VH=    5.301071
n=3   sigSX=   -3.958100              sigCOH=  -10.138376              sigTOT=  -14.096476              VH=    5.301071
n=4   sigSX=   -3.513188+ -0.000000i  sigCOH=   -9.785644              sigTOT=  -13.298832+ -0.000000i  VH=    4.599583
n=5   sigSX=   -3.513188+ -0.000000i  sigCOH=   -9.785644              sigTOT=  -13.298832+ -0.000000i  VH=    4.599583
n=6   sigSX=   -3.513188+ -0.000000i  sigCOH=   -9.785644              sigTOT=  -13.298832+ -0.000000i  VH=    4.599583
n=7   sigSX=   -3.513188+ -0.000000i  sigCOH=   -9.785644              sigTOT=  -13.298832+ -0.000000i  VH=    4.599583
n=8   sigSX=   -1.503527              sigCOH=   -7.899951              sigTOT=   -9.403479              VH=    1.952681
n=9   sigSX=   -1.503527              sigCOH=   -7.899951              sigTOT=   -9.403479              VH=    1.952681
n=10  sigSX=   -1.503527              sigCOH=   -7.899951              sigTOT=   -9.403479              VH=    1.952681
n=11  sigSX=   -1.503527              sigCOH=   -7.899951              sigTOT=   -9.403479              VH=    1.952681
n=12  sigSX=   -1.812598              sigCOH=  -10.104591              sigTOT=  -11.917189              VH=    4.548720
n=13  sigSX=   -1.812598              sigCOH=  -10.104591              sigTOT=  -11.917189              VH=    4.548720
n=14  sigSX=   -1.812598              sigCOH=  -10.104591              sigTOT=  -11.917189              VH=    4.548720
n=15  sigSX=   -1.812598              sigCOH=  -10.104591              sigTOT=  -11.917189              VH=    4.548720

k-point 7:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -4.119767+ -0.000000i  sigCOH=  -10.148496              sigTOT=  -14.268263+ -0.000000i  VH=    5.273802
n=1   sigSX=   -4.119767+ -0.000000i  sigCOH=  -10.148496              sigTOT=  -14.268263+ -0.000000i  VH=    5.273802
n=2   sigSX=   -3.439715              sigCOH=   -9.328683              sigTOT=  -12.768398              VH=    4.063728
n=3   sigSX=   -3.439715              sigCOH=   -9.328683              sigTOT=  -12.768398              VH=    4.063728
n=4   sigSX=   -3.776831+ -0.000000i  sigCOH=  -10.315910+  0.000000i  sigTOT=  -14.092741+ -0.000000i  VH=    5.639866
n=5   sigSX=   -3.776831+ -0.000000i  sigCOH=  -10.315910+  0.000000i  sigTOT=  -14.092741+ -0.000000i  VH=    5.639866
n=6   sigSX=   -3.773905+ -0.000000i  sigCOH=  -10.313173+ -0.000000i  sigTOT=  -14.087078+ -0.000000i  VH=    5.633363
n=7   sigSX=   -3.773905+ -0.000000i  sigCOH=  -10.313173+ -0.000000i  sigTOT=  -14.087078+ -0.000000i  VH=    5.633363
n=8   sigSX=   -1.983127              sigCOH=   -9.308995              sigTOT=  -11.292121              VH=    4.229575
n=9   sigSX=   -1.983127              sigCOH=   -9.308995              sigTOT=  -11.292121              VH=    4.229575
n=10  sigSX=   -1.710539              sigCOH=   -8.824915              sigTOT=  -10.535455              VH=    2.510857
n=11  sigSX=   -1.710539              sigCOH=   -8.824915              sigTOT=  -10.535455              VH=    2.510857
n=12  sigSX=   -1.708827              sigCOH=   -8.819077              sigTOT=  -10.527904              VH=    2.500771
n=13  sigSX=   -1.708827              sigCOH=   -8.819077              sigTOT=  -10.527904              VH=    2.500771
n=14  sigSX=   -0.895781              sigCOH=   -6.324147              sigTOT=   -7.219928              VH=    0.590344
n=15  sigSX=   -0.895781              sigCOH=   -6.324147              sigTOT=   -7.219928              VH=    0.590344
