[lxrun] JID 52966174 · 1 nodes · 1:11:01 left · 1/1 free · incoming: lx-B
  1  nid001081  free   —              —      —  ← starting lx-B  python3 -u -m gw.kin_ion
srun: Step created for StepId=52966174.44
JAX: 1 gpu devices
== kin_ion_io ==
Loading WFN: WFN.h5
Bands: 56, FFT grid: (24, 24, 24), k-points: 64
sys_dim: 3
Devices: 1
Pseudopotentials: ['Si']
Coulomb truncation: 3D bulk
Building V_loc...
Building unified V_NL setup...
E0514 15:34:52.801209 2156415 hlo_lexer.cc:443] Failed to parse int literal: 3108256298220942765969

Processing 64 k-points...
  k=1/64...
  k=17/64...
  k=33/64...
  k=49/64...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si/08_4x4x4_sym_vs_nosym_2026-05-14/run_sym/kin_ion.h5...
Wrote kin_ion.h5: shape (64, 56, 56), sys_dim=3
--- Timing (seconds) ---
Total recorded: 12.196 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       0.257       0.257    2.1
build_V_loc                                            1       0.943       0.943    7.7
k0                                                     1       1.804       1.804   14.8
k1                                                     1       1.150       1.150    9.4
k2                                                     1       1.194       1.194    9.8
k3                                                     1       0.055       0.055    0.5
k4                                                     1       0.025       0.025    0.2
k5                                                     1       1.138       1.138    9.3
k6                                                     1       1.357       1.357   11.1
k7                                                     1       1.190       1.190    9.8
k8                                                     1       0.013       0.013    0.1
k9                                                     1       0.011       0.011    0.1
k10                                                    1       1.178       1.178    9.7
k11                                                    1       0.048       0.048    0.4
k12                                                    1       0.010       0.010    0.1
k13                                                    1       0.011       0.011    0.1
k14                                                    1       0.010       0.010    0.1
k15                                                    1       0.011       0.011    0.1
k16                                                    1       0.010       0.010    0.1
k17                                                    1       0.010       0.010    0.1
k18                                                    1       0.010       0.010    0.1
k19                                                    1       0.010       0.010    0.1
k20                                                    1       0.010       0.010    0.1
k21                                                    1       0.010       0.010    0.1
k22                                                    1       0.010       0.010    0.1
k23                                                    1       0.010       0.010    0.1
k24                                                    1       0.010       0.010    0.1
k25                                                    1       0.010       0.010    0.1
k26                                                    1       0.010       0.010    0.1
k27                                                    1       1.222       1.222   10.0
k28                                                    1       0.012       0.012    0.1
k29                                                    1       0.011       0.011    0.1
k30                                                    1       0.010       0.010    0.1
k31                                                    1       0.010       0.010    0.1
k32                                                    1       0.010       0.010    0.1
k33                                                    1       0.010       0.010    0.1
k34                                                    1       0.010       0.010    0.1
k35                                                    1       0.010       0.010    0.1
k36                                                    1       0.009       0.009    0.1
k37                                                    1       0.010       0.010    0.1
k38                                                    1       0.009       0.009    0.1
k39                                                    1       0.010       0.010    0.1
k40                                                    1       0.010       0.010    0.1
k41                                                    1       0.010       0.010    0.1
k42                                                    1       0.010       0.010    0.1
k43                                                    1       0.010       0.010    0.1
k44                                                    1       0.009       0.009    0.1
k45                                                    1       0.010       0.010    0.1
k46                                                    1       0.010       0.010    0.1
k47                                                    1       0.010       0.010    0.1
k48                                                    1       0.018       0.018    0.1
k49                                                    1       0.054       0.054    0.4
k50                                                    1       0.043       0.043    0.4
k51                                                    1       0.017       0.017    0.1
k52                                                    1       0.010       0.010    0.1
k53                                                    1       0.010       0.010    0.1
k54                                                    1       0.009       0.009    0.1
k55                                                    1       0.010       0.010    0.1
k56                                                    1       0.009       0.009    0.1
k57                                                    1       0.010       0.010    0.1
k58                                                    1       0.010       0.010    0.1
k59                                                    1       0.010       0.010    0.1
k60                                                    1       0.009       0.009    0.1
k61                                                    1       0.010       0.010    0.1
k62                                                    1       0.010       0.010    0.1
k63                                                    1       0.010       0.010    0.1
write_h5                                               1       0.007       0.007    0.1
