  0.000000000  0.000000000  0.000000000      16
       1       1   -5.697005295   -8.735991066
       1       2   -5.697005295   -8.735991066
       1       3    6.246361473    3.746196065
       1       4    6.246361473    3.746196065
       1       5    6.294141835    3.795277175
       1       6    6.294141835    3.795277175
       1       7    6.294141835    3.795277175
       1       8    6.294141835    3.795277175
       1       9    8.792480496    7.815690589
       1      10    8.792480496    7.815690589
       1      11    8.827245701    7.850632758
       1      12    8.827245701    7.850632758
       1      13    8.827245701    7.850632758
       1      14    8.827245701    7.850632758
       1      15    9.625622065    8.978668099
       1      16    9.625622065    8.978668099
 -0.000000000 -0.000000000  0.500000000      16
       1       1   -3.363046818   -6.241607519
       1       2   -3.363046818   -6.241607519
       1       3   -0.707274858   -3.253651752
       1       4   -0.707274858   -3.253651752
       1       5    5.056658076    2.612742905
       1       6    5.056658076    2.612742905
       1       7    5.088288518    2.645825060
       1       8    5.088288518    2.645825060
       1       9    7.800189171    6.818300396
       1      10    7.800189171    6.818300396
       1      11    9.587046911    8.626007200
       1      12    9.587046911    8.626007200
       1      13    9.601404866    8.639754551
       1      14    9.601404866    8.639754551
       1      15   13.996111838   13.045050626
       1      16   13.996111838   13.045050626
  0.000000000  0.500000000  0.500000000      16
       1       1   -1.549907257   -4.267109698
       1       2   -1.549907257   -4.267109698
       1       3   -1.549907257   -4.267109698
       1       4   -1.549907257   -4.267109698
       1       5    3.412332482    0.998084389
       1       6    3.412332482    0.998084389
       1       7    3.412332482    0.998084389
       1       8    3.412332482    0.998084389
       1       9    6.968806361    5.888900351
       1      10    6.968806361    5.888900351
       1      11    6.968806361    5.888900351
       1      12    6.968806361    5.888900351
       1      13   16.360897211   15.760121436
       1      14   16.360897211   15.760121436
       1      15   16.360897211   15.760121436
       1      16   16.360897211   15.760121436
  0.500000000  0.500000000  0.500000000      16
       1       1   -3.363046818   -6.241607470
       1       2   -3.363046818   -6.241607470
       1       3   -0.707274858   -3.253651785
       1       4   -0.707274858   -3.253651785
       1       5    5.056658076    2.612742966
       1       6    5.056658076    2.612742966
       1       7    5.088288518    2.645825122
       1       8    5.088288518    2.645825122
       1       9    7.800189171    6.818300353
       1      10    7.800189171    6.818300353
       1      11    9.587046911    8.626007171
       1      12    9.587046911    8.626007171
       1      13    9.601404866    8.639754523
       1      14    9.601404866    8.639754523
       1      15   13.996111838   13.045050632
       1      16   13.996111838   13.045050632
