# neig  =       100
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  -2.90504528E+54  6.74013098E-01  -3.71300051E-01  -7.32222213E-01
  -2.72276955E+54  3.88163969E-01  -3.12843016E-01  5.38788657E-01
  -2.62169374E+54  5.41429652E-01  -2.17292953E-01  7.03003147E-01
  -2.55185787E+54  6.79118020E-02  -2.15322262E-01  -1.46792798E-01
  -2.46001032E+54  7.56374413E-01  -6.09171462E-01  -6.20712931E-01
  -2.33540051E+54  2.26692392E-01  2.67002011E-01  3.94211008E-01
  -2.27405517E+54  1.24683659E+00  2.55746682E-01  1.08693617E+00
  -2.20816728E+54  8.55477111E-01  1.19289926E-02  9.24843127E-01
  -2.00654707E+54  1.01223740E+00  5.82213277E-01  -8.20527329E-01
  -1.92366765E+54  6.46573351E-02  1.48458894E-01  -2.06439560E-01
  -1.81326912E+54  9.60903499E-01  -8.52553103E-01  -4.83794073E-01
  -1.72583408E+54  1.10436286E+00  -9.11131423E-01  -5.23643379E-01
  -1.65757630E+54  2.39408207E+00  -7.25950487E-01  1.36641061E+00
  -1.58057116E+54  1.85546498E+00  1.26562208E+00  -5.03652386E-01
  -1.53623102E+54  1.50220702E+00  -1.80792168E-02  1.22551221E+00
  -1.45726611E+54  5.58106094E-01  -7.05086934E-01  2.46897773E-01
  -1.37886217E+54  1.98666707E-01  1.80066431E-01  4.07728816E-01
  -1.30635575E+54  2.45877087E-01  -3.49934418E-02  -4.94623641E-01
  -1.23939968E+54  5.17550164E-02  -2.13520354E-01  7.85116223E-02
  -1.19355178E+54  3.32411128E-01  -4.85453473E-01  3.11040276E-01
