# neig  =       100
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  -6.28841535E+64  5.53081113E-01  1.01327086E-01  7.36759075E-01
  -6.07868641E+60  2.02692945E+00  -2.37440338E-01  -1.40376335E+00
  -1.08980058E+60  1.00370038E+00  1.00174103E+00  -1.46728621E-02
  -6.51763139E+58  2.30613589E+00  -8.37696050E-01  1.26664960E+00
  -7.56398939E+56  4.48967135E+00  1.41219738E-01  2.11417320E+00
  -1.33362015E+56  4.54673757E-02  -4.82159592E-02  -2.07707961E-01
  -6.26906076E+55  1.58352133E-01  -1.47154468E-01  -3.69726515E-01
  -5.17493634E+55  1.76923508E+00  7.17538231E-01  -1.11998838E+00
  -4.90464123E+55  1.13396443E+00  8.61380403E-01  6.26089636E-01
  -3.86552518E+55  1.17888855E+00  7.53701604E-01  7.81551308E-01
  -3.14636912E+55  1.09248541E+00  -7.69846169E-02  1.04238130E+00
  -2.66947980E+55  1.75485479E-01  2.62895017E-01  3.26146729E-01
  -2.40495711E+55  1.51170310E-01  1.87537154E-01  3.40587912E-01
  -2.33312992E+55  5.71420245E-01  5.64999555E-01  -5.02190948E-01
  -2.10712842E+55  7.13181009E-01  8.23563217E-01  -1.86881344E-01
  -2.07042025E+55  4.38333154E-01  2.52286872E-01  6.12114767E-01
  -1.99733711E+55  4.34406317E-02  -9.39214955E-02  -1.86062851E-01
  -1.93500518E+55  7.96914295E-01  -1.37791720E-01  -8.82002119E-01
  -1.88578868E+55  2.02692224E-02  -5.45594851E-03  1.42265439E-01
  -1.85205297E+55  3.70864071E-01  3.79574164E-02  -6.07802028E-01
  -1.78563292E+55  1.89638137E+00  -1.22531590E+00  6.28476189E-01
  -1.73218080E+55  5.43816745E-01  3.15435715E-01  6.66571118E-01
  -1.65717315E+55  5.07050808E-01  -4.27003851E-01  5.69840784E-01
  -1.60287442E+55  1.25437174E+00  8.36152838E-01  -7.45130973E-01
  -1.50793836E+55  1.27342035E+00  -3.59920252E-01  -1.06952221E+00
  -1.45815402E+55  1.68819413E+00  -1.29880574E+00  -3.60248400E-02
  -1.40831038E+55  1.64229137E+00  9.12162262E-01  9.00139642E-01
  -1.36281663E+55  2.34929112E-01  -2.61142795E-01  4.08330201E-01
  -1.35248466E+55  1.28042154E+00  2.07078622E-01  -1.11244775E+00
  -1.32746708E+55  1.24767861E+00  -6.86499690E-01  8.81133808E-01
  -1.28287929E+55  4.44424832E-02  -2.05793429E-01  -4.57334422E-02
  -1.23950520E+55  2.40239117E+00  -1.54787248E+00  8.05105518E-02
  -1.19743454E+55  2.56068617E-01  -1.73141871E-01  -4.75489757E-01
  -1.18911472E+55  8.38787919E-01  7.58389296E-01  -5.13452621E-01
  -1.14128324E+55  1.70988728E-01  4.10432302E-01  5.03393845E-02
  -1.11794713E+55  1.06545527E-02  7.13898932E-02  -7.45522360E-02
  -1.08065746E+55  4.26175255E-01  3.97830369E-01  -5.17596611E-01
  -1.07128619E+55  8.99113740E-01  -8.29900871E-01  4.58670125E-01
  -1.00038045E+55  5.49571555E-01  -4.79388874E-01  5.65471363E-01
  -9.82447802E+54  1.27809152E-01  -1.67770902E-01  -3.15693010E-01
  -9.58883863E+54  3.50187041E-01  1.83751395E-01  5.62514414E-01
  -9.23250164E+54  1.15520453E+00  1.04343646E+00  2.57769046E-01
  -9.15875565E+54  3.18172810E-01  -5.05184873E-01  2.50920415E-01
  -8.91975895E+54  4.99735526E-01  7.06759761E-01  1.50388527E-02
  -8.61771732E+54  1.20082507E+00  4.00361970E-01  1.02006635E+00
  -8.44089102E+54  6.23521081E-01  -6.89100253E-01  -3.85567014E-01
  -8.16282361E+54  1.04836871E-01  -1.75148933E-03  -3.23780486E-01
  -8.11323070E+54  2.10166581E-01  3.71900243E-01  -2.68061169E-01
  -7.95397094E+54  4.70832989E-01  6.31501446E-01  2.68400658E-01
  -7.78481458E+54  7.94699681E-02  -1.28053052E-01  -2.51142159E-01
  -7.60393890E+54  1.19643073E-01  -7.23047653E-02  -3.38253002E-01
  -7.47318049E+54  2.16305276E+00  -9.96533565E-01  -1.08165319E+00
  -7.22864767E+54  1.25136182E+00  -9.90193108E-01  5.20460788E-01
