# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.79975208E+00  -9.23393155E+00   5.65820523E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.16097979E+00   1.26227453E+00   1.01294741E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.32073409E-01  -1.77659702E-01   5.44137070E-02
      2  -4.64144753E-01  -3.55320492E-01   1.08824260E-01
      3  -1.11851865E+00  -5.57725535E-01   5.60793120E-01
      4  -1.77289056E+00  -7.60128629E-01   1.01276193E+00
      5  -2.41744880E+00  -1.00966095E+00   1.40778785E+00
      6  -3.06200903E+00  -1.25919663E+00   1.80281240E+00
      7  -3.76762000E+00  -1.48683592E+00   2.28078408E+00
      8  -4.47322744E+00  -1.71446705E+00   2.75876039E+00
      9  -4.57675524E+00  -2.22266583E+00   2.35408941E+00
     10  -4.68029223E+00  -2.73086159E+00   1.94943064E+00
     11  -4.81036016E+00  -3.25662075E+00   1.55373941E+00
     12  -4.94043155E+00  -3.78238458E+00   1.15804697E+00
     13  -5.16119956E+00  -4.30324172E+00   8.57957836E-01
     14  -5.38196243E+00  -4.82409645E+00   5.57865977E-01
     15  -5.57003406E+00  -5.03205618E+00   5.37977878E-01
     16  -5.75810600E+00  -5.24001716E+00   5.18088836E-01
     17  -5.94187756E+00  -5.37066859E+00   5.71208968E-01
     18  -6.12564863E+00  -5.50132474E+00   6.24323893E-01
     19  -6.26612656E+00  -5.64933980E+00   6.16786754E-01
     20  -6.40659735E+00  -5.79734730E+00   6.09250051E-01
     21  -6.51152129E+00  -5.91810127E+00   5.93420027E-01
     22  -6.61644098E+00  -6.03885312E+00   5.77587859E-01
     23  -6.76178782E+00  -6.16520039E+00   5.96587423E-01
     24  -6.90713861E+00  -6.29155154E+00   6.15587067E-01
     25  -6.97903644E+00  -6.37198846E+00   6.07047982E-01
     26  -7.05093841E+00  -6.45242890E+00   5.98509511E-01
     27  -7.12165104E+00  -6.55172680E+00   5.69924242E-01
     28  -7.19236925E+00  -6.65102133E+00   5.41347916E-01
     29  -7.26100761E+00  -6.72103031E+00   5.39977291E-01
     30  -7.32964769E+00  -6.79103918E+00   5.38608513E-01
     31  -7.41515434E+00  -6.85293808E+00   5.62216261E-01
     32  -7.50065675E+00  -6.91483675E+00   5.85819999E-01
     33  -7.56767363E+00  -6.97618542E+00   5.91488217E-01
     34  -7.63468562E+00  -7.03752999E+00   5.97155631E-01
     35  -7.69392708E+00  -7.08346093E+00   6.10466147E-01
     36  -7.75316571E+00  -7.12938871E+00   6.23776999E-01
     37  -7.80641802E+00  -7.17964326E+00   6.26774755E-01
     38  -7.85967160E+00  -7.22989862E+00   6.29772979E-01
     39  -7.91578308E+00  -7.28171859E+00   6.34064489E-01
     40  -7.97189396E+00  -7.33353825E+00   6.38355708E-01
     41  -8.01407082E+00  -7.38229329E+00   6.31777529E-01
     42  -8.05625324E+00  -7.43105277E+00   6.25200472E-01
     43  -8.09911905E+00  -7.47665505E+00   6.22463997E-01
     44  -8.14198481E+00  -7.52226129E+00   6.19723519E-01
     45  -8.18129226E+00  -7.55809014E+00   6.23202116E-01
     46  -8.22060227E+00  -7.59391856E+00   6.26683707E-01
     47  -8.24842118E+00  -7.62359277E+00   6.24828413E-01
     48  -8.27623900E+00  -7.65326641E+00   6.22972584E-01
     49  -8.32326289E+00  -7.68352682E+00   6.39736066E-01
     50  -8.37028438E+00  -7.71378562E+00   6.56498763E-01
     51  -8.40726537E+00  -7.74386963E+00   6.63395745E-01
     52  -8.44424931E+00  -7.77395233E+00   6.70296982E-01
     53  -8.47701124E+00  -7.80267771E+00   6.74333526E-01
     54  -8.50977453E+00  -7.83140429E+00   6.78370235E-01
     55  -8.53243135E+00  -7.85882479E+00   6.73606564E-01
     56  -8.55509099E+00  -7.88625089E+00   6.68840097E-01
     57  -8.57760330E+00  -7.90745746E+00   6.70145846E-01
     58  -8.60011616E+00  -7.92866470E+00   6.71451459E-01
     59  -8.61944424E+00  -7.95016060E+00   6.69283649E-01
     60  -8.63877228E+00  -7.97165702E+00   6.67115264E-01
# k =  -0.000000  -0.000000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.69844491E+00  -9.34765544E+00   3.50789465E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.10981186E+00   1.25661390E+00   1.46802036E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.61839699E-01  -2.16142679E-01   4.56970204E-02
      2  -5.24850413E-01  -4.33990423E-01   9.08599903E-02
      3  -9.50633447E-01  -7.31502624E-01   2.19130823E-01
      4  -1.38178520E+00  -1.03022786E+00   3.51557347E-01
      5  -2.12265103E+00  -1.23191312E+00   8.90737905E-01
      6  -2.85215849E+00  -1.43279598E+00   1.41936251E+00
      7  -3.66481564E+00  -1.57517276E+00   2.08964287E+00
      8  -4.49953928E+00  -1.70931855E+00   2.79022073E+00
      9  -4.62512840E+00  -2.69459162E+00   1.93053678E+00
     10  -4.74965391E+00  -3.68316392E+00   1.06649000E+00
     11  -4.91123604E+00  -3.92843812E+00   9.82797915E-01
     12  -5.09516165E+00  -4.10704055E+00   9.88121095E-01
     13  -5.33953300E+00  -4.42674356E+00   9.12789441E-01
     14  -5.56222341E+00  -4.77315043E+00   7.89072980E-01
     15  -5.72729845E+00  -5.02243922E+00   7.04859239E-01
     16  -5.91681863E+00  -5.33744593E+00   5.79372699E-01
     17  -6.07770422E+00  -5.48280042E+00   5.94903804E-01
     18  -6.23796202E+00  -5.62492110E+00   6.13040924E-01
     19  -6.37758726E+00  -5.73162451E+00   6.45962750E-01
     20  -6.51813648E+00  -5.83621748E+00   6.81919005E-01
     21  -6.61987094E+00  -5.97276440E+00   6.47106543E-01
     22  -6.72462112E+00  -6.10798981E+00   6.16631309E-01
     23  -6.84093560E+00  -6.22940172E+00   6.11533881E-01
     24  -6.95695214E+00  -6.34976516E+00   6.07186981E-01
     25  -7.02753475E+00  -6.45762640E+00   5.69908348E-01
     26  -7.09801223E+00  -6.56661131E+00   5.31400924E-01
     27  -7.16727221E+00  -6.65569358E+00   5.11578626E-01
     28  -7.23706596E+00  -6.73891505E+00   4.98150912E-01
     29  -7.30278416E+00  -6.80280273E+00   4.99981429E-01
     30  -7.37052935E+00  -6.86622004E+00   5.04309317E-01
     31  -7.44625664E+00  -6.94029671E+00   5.05959929E-01
     32  -7.52262054E+00  -7.01489186E+00   5.07728684E-01
     33  -7.58744373E+00  -7.07465216E+00   5.12791566E-01
     34  -7.65094823E+00  -7.13129674E+00   5.19651490E-01
     35  -7.70594596E+00  -7.19645540E+00   5.09490559E-01
     36  -7.75927599E+00  -7.25724681E+00   5.02029187E-01
     37  -7.81005449E+00  -7.30915648E+00   5.00898012E-01
     38  -7.86145311E+00  -7.36272730E+00   4.98725814E-01
     39  -7.91290656E+00  -7.41061547E+00   5.02291092E-01
     40  -7.96490200E+00  -7.45960496E+00   5.05297043E-01
     41  -8.00398062E+00  -7.50530319E+00   4.98677430E-01
     42  -8.04293106E+00  -7.55020912E+00   4.92721945E-01
     43  -8.08526380E+00  -7.59159931E+00   4.93664496E-01
     44  -8.12595722E+00  -7.63152570E+00   4.94431517E-01
     45  -8.16248306E+00  -7.67000267E+00   4.92480393E-01
     46  -8.19887621E+00  -7.70908974E+00   4.89786468E-01
     47  -8.22593099E+00  -7.74040586E+00   4.85525138E-01
     48  -8.25218177E+00  -7.77181923E+00   4.80362540E-01
     49  -8.29597121E+00  -7.80676425E+00   4.89206961E-01
     50  -8.33769517E+00  -7.84066077E+00   4.97034406E-01
     51  -8.37114927E+00  -7.86654144E+00   5.04607828E-01
     52  -8.40347654E+00  -7.89389182E+00   5.09584719E-01
     53  -8.43414080E+00  -7.92300995E+00   5.11130854E-01
     54  -8.46532062E+00  -7.95141778E+00   5.13902838E-01
     55  -8.48693366E+00  -7.97852392E+00   5.08409739E-01
     56  -8.50852184E+00  -8.00645883E+00   5.02063007E-01
