# Breit Σ_xc comparison (eV).  std = sigSX + sigCOH (charge Σ_xc)
# screened = Σ^B from screened W^{ij}; unscr = Σ^B from bare V^{ij}
#  k    n     sigSX      sigCOH        std    SigB_scr   SigB_unscr   std+Bscr  std+Bunscr
   0   66   -19.45230     0.00000   -19.45230   -0.012668   -0.012668   -19.46497   -19.46497
   0   67   -12.57484     0.00000   -12.57484   -0.001189   -0.001189   -12.57603   -12.57603
   0   68   -21.15696     0.00000   -21.15696   -0.013847   -0.013847   -21.17081   -21.17081
   0   69   -16.27088     0.00000   -16.27088   -0.006973   -0.006973   -16.27785   -16.27785
   0   70   -12.35391     0.00000   -12.35391   -0.016522   -0.016522   -12.37043   -12.37043
   0   71   -12.17590     0.00000   -12.17590   -0.016881   -0.016881   -12.19278   -12.19278
   0   72   -12.30935     0.00000   -12.30935   -0.014292   -0.014292   -12.32364   -12.32364
   0   73    -7.94347     0.00000    -7.94347   -0.014768   -0.014768    -7.95824    -7.95824
   0   74    -8.46524     0.00000    -8.46524   -0.015515   -0.015515    -8.48075    -8.48075
   0   75    -7.70234     0.00000    -7.70234   -0.014239   -0.014239    -7.71658    -7.71658
   0   76    -8.50966     0.00000    -8.50966   -0.014847   -0.014847    -8.52451    -8.52451
   0   77   -11.88073     0.00000   -11.88073   -0.013933   -0.013933   -11.89466   -11.89466
   1    0   -50.78069     0.00000   -50.78069   -0.035175   -0.035175   -50.81586   -50.81586
   1    1   -50.78498     0.00000   -50.78498   -0.035167   -0.035167   -50.82014   -50.82014
   1    2   -46.37743     0.00000   -46.37743   -0.034057   -0.034057   -46.41149   -46.41149
   1    3   -46.37939     0.00000   -46.37939   -0.034060   -0.034060   -46.41345   -46.41345
   1    4   -43.51003     0.00000   -43.51003   -0.037907   -0.037907   -43.54793   -43.54793
   1    5   -43.48609     0.00000   -43.48609   -0.038047   -0.038047   -43.52414   -43.52414
   1    6   -43.12511     0.00000   -43.12511   -0.037719   -0.037719   -43.16283   -43.16283
   1    7   -43.11995     0.00000   -43.11995   -0.037591   -0.037591   -43.15754   -43.15754
   1    8   -43.61314     0.00000   -43.61314   -0.037496   -0.037496   -43.65064   -43.65064
   1    9   -43.56651     0.00000   -43.56651   -0.037630   -0.037630   -43.60414   -43.60414
   1   10   -37.90746     0.00000   -37.90746   -0.031653   -0.031653   -37.93911   -37.93911
   1   11   -37.86257     0.00000   -37.86257   -0.031607   -0.031607   -37.89417   -37.89417
   1   12   -37.48108     0.00000   -37.48108   -0.030839   -0.030839   -37.51192   -37.51192
   1   13   -37.47099     0.00000   -37.47099   -0.030833   -0.030833   -37.50183   -37.50183
   1   14   -37.52037     0.00000   -37.52037   -0.030613   -0.030613   -37.55098   -37.55098
   1   15   -37.52513     0.00000   -37.52513   -0.030526   -0.030526   -37.55566   -37.55566
   1   16   -18.03877     0.00000   -18.03877   -0.001573   -0.001573   -18.04034   -18.04034
   1   17   -18.04543     0.00000   -18.04543   -0.001492   -0.001492   -18.04692   -18.04692
   1   18   -17.99805     0.00000   -17.99805   -0.001506   -0.001506   -17.99955   -17.99955
   1   19   -17.88005     0.00000   -17.88005   -0.001536   -0.001536   -17.88158   -17.88158
   1   20   -18.06185     0.00000   -18.06185   -0.001567   -0.001567   -18.06342   -18.06342
   1   21   -17.96195     0.00000   -17.96195   -0.001623   -0.001623   -17.96358   -17.96358
   1   22   -18.10079     0.00000   -18.10079   -0.001598   -0.001598   -18.10239   -18.10239
   1   23   -17.99718     0.00000   -17.99718   -0.001657   -0.001657   -17.99884   -17.99884
   1   24   -18.07940     0.00000   -18.07940   -0.001566   -0.001566   -18.08096   -18.08096
   1   25   -18.11619     0.00000   -18.11619   -0.001680   -0.001680   -18.11787   -18.11787
   1   26   -18.01167     0.00000   -18.01167   -0.001698   -0.001698   -18.01337   -18.01337
   1   27   -18.01884     0.00000   -18.01884   -0.001721   -0.001721   -18.02056   -18.02056
   1   28   -14.20716     0.00000   -14.20716   -0.002733   -0.002733   -14.20990   -14.20990
   1   29   -13.48293     0.00000   -13.48293   -0.002097   -0.002097   -13.48503   -13.48503
   1   30   -14.09388     0.00000   -14.09388   -0.002734   -0.002734   -14.09662   -14.09662
   1   31   -13.19631     0.00000   -13.19631   -0.001975   -0.001975   -13.19829   -13.19829
   1   32   -14.12591     0.00000   -14.12591   -0.002721   -0.002721   -14.12863   -14.12863
   1   33   -13.90829     0.00000   -13.90829   -0.002557   -0.002557   -13.91085   -13.91085
   1   34   -13.62656     0.00000   -13.62656   -0.002266   -0.002266   -13.62883   -13.62883
   1   35   -13.30773     0.00000   -13.30773   -0.001745   -0.001745   -13.30947   -13.30947
   1   36   -13.64854     0.00000   -13.64854   -0.002243   -0.002243   -13.65079   -13.65079
   1   37   -13.58884     0.00000   -13.58884   -0.002416   -0.002416   -13.59126   -13.59126
   1   38   -13.39300     0.00000   -13.39300   -0.002137   -0.002137   -13.39513   -13.39513
   1   39   -13.70711     0.00000   -13.70711   -0.002688   -0.002688   -13.70980   -13.70980
   1   40   -13.89152     0.00000   -13.89152   -0.003385   -0.003385   -13.89490   -13.89490
   1   41   -15.14513     0.00000   -15.14513   -0.006412   -0.006412   -15.15154   -15.15154
   1   42   -13.37481     0.00000   -13.37481   -0.002613   -0.002613   -13.37742   -13.37742
   1   43   -15.49913     0.00000   -15.49913   -0.007707   -0.007707   -15.50684   -15.50684
   1   44   -14.01128     0.00000   -14.01128   -0.003018   -0.003018   -14.01430   -14.01430
   1   45   -14.64944     0.00000   -14.64944   -0.005275   -0.005275   -14.65471   -14.65471
   1   46   -14.09305     0.00000   -14.09305   -0.004593   -0.004593   -14.09764   -14.09764
   1   47   -13.65519     0.00000   -13.65519   -0.003576   -0.003576   -13.65877   -13.65877
   1   48   -13.73343     0.00000   -13.73343   -0.004087   -0.004087   -13.73751   -13.73751
   1   49   -13.49243     0.00000   -13.49243   -0.002806   -0.002806   -13.49524   -13.49524
   1   50   -13.57018     0.00000   -13.57018   -0.003824   -0.003824   -13.57401   -13.57401
   1   51   -13.32109     0.00000   -13.32109   -0.003056   -0.003056   -13.32414   -13.32414
   1   52   -12.99435     0.00000   -12.99435   -0.002287   -0.002287   -12.99664   -12.99664
   1   53   -12.89218     0.00000   -12.89218   -0.002163   -0.002163   -12.89434   -12.89434
   1   54   -14.38921     0.00000   -14.38921   -0.004019   -0.004019   -14.39323   -14.39323
   1   55   -13.73900     0.00000   -13.73900   -0.003154   -0.003154   -13.74216   -13.74216
   1   56   -16.07708     0.00000   -16.07708   -0.006026   -0.006026   -16.08311   -16.08311
   1   57   -15.68815     0.00000   -15.68815   -0.005803   -0.005803   -15.69395   -15.69395
   1   58   -12.81795     0.00000   -12.81795   -0.001569   -0.001569   -12.81952   -12.81952
   1   59   -13.85088     0.00000   -13.85088   -0.003723   -0.003723   -13.85461   -13.85461
   1   60   -15.07134     0.00000   -15.07134   -0.005202   -0.005202   -15.07655   -15.07655
   1   61   -12.71422     0.00000   -12.71422   -0.001885   -0.001885   -12.71611   -12.71611
   1   62   -21.12946     0.00000   -21.12946   -0.014722   -0.014722   -21.14419   -21.14419
   1   63   -16.55514     0.00000   -16.55514   -0.007693   -0.007693   -16.56283   -16.56283
   1   64   -20.46743     0.00000   -20.46743   -0.013610   -0.013610   -20.48104   -20.48104
