# neig  =        50
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  2.94106933E+00  5.40131146E-02  2.18470076E-01  -7.92713106E-02
  2.94107169E+00  5.38299474E-02  8.14389246E-02  -2.17250199E-01
  2.94135601E+00  2.59857895E-02  5.96048981E-02  1.49776652E-01
  2.94135812E+00  2.51524811E-02  1.58039209E-01  -1.32698678E-02
  2.94155302E+00  1.04443542E-01  6.45426424E-02  3.16666684E-01
  2.94155556E+00  1.12405579E-01  2.62152241E-01  -2.09001871E-01
  2.94360736E+00  5.75203105E+00  9.85984643E-01  2.18629031E+00
  2.94361307E+00  5.85765514E+00  2.03129687E+00  -1.31586024E+00
  2.94384695E+00  4.53257745E+00  1.98091376E+00  7.80101356E-01
  2.94386396E+00  4.32117078E+00  5.64265311E-01  -2.00069374E+00
  2.94424902E+00  2.37949671E+01  -2.11412069E+00  4.39607334E+00
  2.94425691E+00  2.39844101E+01  3.91412944E+00  2.94346747E+00
  2.94921539E+00  1.52478140E+00  -1.22591248E+00  1.48054041E-01
  2.94921786E+00  1.50742681E+00  1.21278312E+00  1.91269203E-01
  2.94921997E+00  1.52055222E+00  9.95329894E-01  -7.27922127E-01
  2.95071059E+00  2.44256321E+00  4.95542835E-01  -1.48222823E+00
  2.95071238E+00  2.37905594E+00  1.37827161E+00  6.92404013E-01
  2.95071347E+00  2.43381057E+00  -2.11893621E-01  -1.54561045E+00
  2.97470332E+00  2.90998473E+00  1.18582677E+00  1.22629507E+00
  2.97470486E+00  2.91234694E+00  -1.67866664E+00  -3.07286920E-01
  2.97584623E+00  7.46184354E-01  -3.89864235E-01  -7.70837358E-01
  2.97585525E+00  9.27488354E-01  -4.12724534E-01  -8.70141835E-01
  2.97727814E+00  1.25394579E+00  3.50951604E-01  1.06338082E+00
  2.97727969E+00  1.30271505E+00  1.70109488E-01  -1.12861765E+00
  2.97989169E+00  1.10054302E+01  -6.82458697E-01  3.24648738E+00
  2.97989638E+00  1.09805764E+01  -3.11471809E+00  1.13097640E+00
  2.98144306E+00  6.18606591E+00  8.19749389E-01  2.34820716E+00
  2.98144619E+00  6.27369036E+00  -1.45379602E+00  2.03964886E+00
  2.98416298E+00  4.20692021E+00  -5.79217039E-01  1.96759443E+00
  2.98416427E+00  4.20482347E+00  -2.03573470E+00  2.46186311E-01
  2.98720980E+00  2.80229613E-01  1.27725885E-01  -5.13727274E-01
  2.98722257E+00  2.22445185E-01  3.04885671E-01  -3.59847069E-01
  2.98722456E+00  2.24559817E-01  -1.89580019E-01  -4.34303158E-01
  2.99491233E+00  1.46967112E+00  -9.78503000E-01  7.15683586E-01
  2.99491651E+00  1.46841143E+00  1.20973348E+00  -7.04012567E-02
  2.99491906E+00  1.46729347E+00  3.10915886E-01  1.17073685E+00
  2.99492111E+00  1.46593614E+00  -6.68058340E-01  1.00976938E+00
  3.20254167E+00  1.00607218E+01  -5.22321642E-01  -3.12856227E+00
  3.20254432E+00  1.00280263E+01  3.15408859E+00  2.82403015E-01
  3.20611188E+00  6.78611737E+00  8.20275734E-01  2.47250179E+00
  3.20750951E+00  6.69403282E-01  4.94943305E-01  -6.51486306E-01
  3.20868994E+00  1.31418063E+01  -3.32125762E+00  1.45294672E+00
  3.20908963E+00  1.04893659E+00  -9.46957676E-01  3.90138116E-01
  3.21032755E+00  3.42954387E-01  -2.27087381E-01  5.39801545E-01
  3.21062313E+00  2.85603597E+00  7.88549195E-01  -1.49473280E+00
  3.21119447E+00  1.31889679E-01  3.25572308E-01  1.60911004E-01
  3.22994929E+00  4.00166335E-01  4.41253479E-01  -4.53278835E-01
  3.23058189E+00  1.18522790E+00  2.90075078E-02  -1.08829521E+00
  3.23270592E+00  4.79629791E+00  2.05514910E+00  7.56743085E-01
  3.23392685E+00  3.00665883E+00  1.28745618E+00  -1.16151428E+00
