# neig  =       200
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  -1.11254458E+48  6.17569899E-01  -6.91237531E-01  3.73845657E-01
  -7.75187806E+38  8.60620584E-01  1.79581489E-01  -9.10148929E-01
  -4.83676361E+38  1.86632263E-02  -1.12463469E-01  7.75576842E-02
  -1.89599284E+38  2.70746198E-01  -4.82115872E-01  1.95730642E-01
  -9.77775121E+37  5.64353885E-01  6.98521829E-01  -2.76443736E-01
  -4.60610758E+37  3.90104644E-02  -1.42489359E-02  -1.96996021E-01
  -2.77162826E+37  3.71537775E+00  -5.98693830E-01  1.83219635E+00
  -2.00801951E+37  9.68724943E-01  8.86945389E-01  -4.26676482E-01
  -1.24027627E+37  1.53079242E+00  -8.04271539E-01  9.40180679E-01
  -1.00920965E+37  9.88848932E-01  -6.47972168E-01  -7.54308293E-01
  -9.35815687E+36  1.78084907E-01  3.96796808E-01  -1.43656537E-01
  -6.85566069E+36  4.40209148E-01  -2.02182709E-01  6.31926657E-01
  -6.24902927E+36  2.51870580E-02  1.51417642E-01  4.75368892E-02
  -6.03096404E+36  5.13469882E-01  6.25086579E-01  3.50337909E-01
  -5.33391527E+36  1.25468089E+00  -8.61722224E-01  7.15622597E-01
  -5.00821530E+36  4.03320915E-01  -5.35273553E-01  -3.41764741E-01
  -4.73181387E+36  1.57978460E-01  3.08082622E-01  -2.51124587E-01
  -4.36617654E+36  3.39077435E-01  2.57577685E-01  5.22236701E-01
  -4.01461906E+36  5.60463287E-01  7.47187504E-01  4.66274589E-02
  -3.49811874E+36  3.19163242E-01  2.71945748E-01  4.95185574E-01
  -3.12426185E+36  1.58456028E-01  -3.41282650E-02  3.96599659E-01
  -2.98799853E+36  9.30782114E-01  9.16378758E-01  3.01715239E-01
  -2.72200135E+36  5.87918812E-01  2.01011312E-01  -7.39941392E-01
  -2.66029938E+36  1.20052094E+00  -5.25535771E-01  -9.61422433E-01
  -2.41730331E+36  2.22119990E+00  -1.33224294E+00  6.68078335E-01
  -2.20645344E+36  6.40088749E-01  -7.83737867E-01  1.60759773E-01
  -2.06389217E+36  3.24145359E-01  -3.35770321E-01  -4.59786527E-01
  -1.91243965E+36  3.22698424E+00  -8.10589454E-01  1.60309980E+00
  -1.81156481E+36  1.26658874E+00  1.00387959E+00  5.08738157E-01
  -1.43680753E+36  1.11660252E-01  2.60838387E-01  2.08862605E-01
  -1.12617165E+36  1.74011295E+00  4.79903602E-01  -1.22874142E+00
  -8.77186253E+35  1.54131308E-01  -7.17069855E-03  -3.92530112E-01
  -8.13598059E+35  2.70479335E+00  1.13331488E+00  -1.19180147E+00
  -7.83577979E+35  2.01707080E+00  1.00366959E+00  -1.00484733E+00
  -5.37890691E+35  1.34800908E-01  -3.66052059E-01  -2.84041829E-02
  -4.51726577E+35  1.96347271E-01  -4.33991074E-01  -8.94372354E-02
  -3.86664717E+35  2.37224934E-01  2.07821978E-02  -4.86613845E-01
