# neig  =        20
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  2.94107104E+00  6.45378177E+00  -2.45584414E+00  -6.50085616E-01
  2.94135776E+00  5.49177247E+00  -1.86059292E+00  1.42476892E+00
  2.94155589E+00  5.28400292E+01  -2.89113819E+00  6.66943395E+00
  2.94361208E+00  3.03251130E+00  1.68152735E+00  4.52743932E-01
  2.94386299E+00  1.93655705E+01  -8.91816402E-01  4.30931944E+00
  2.94425575E+00  7.47479542E+00  2.36928350E+00  1.36429143E+00
  2.94921862E+00  1.39936530E+01  3.17049747E+00  -1.98534602E+00
  2.95071238E+00  2.11296917E+01  2.45281884E+00  3.88759199E+00
  2.97470393E+00  1.80808175E+01  -4.24702340E+00  -2.08829594E-01
  2.97585499E+00  4.66952928E+00  1.54211788E+00  1.51373767E+00
  2.97727951E+00  1.56227157E+01  4.18580585E-01  3.93033154E+00
  2.97989509E+00  3.29925812E+01  -1.42331052E+00  -5.56477927E+00
  2.98144519E+00  3.28948759E+00  3.30508850E-01  -1.78332596E+00
  2.98416297E+00  9.38752464E+00  -2.55687533E+00  -1.68816858E+00
  2.98722311E+00  4.79696647E-01  4.15329754E-01  -5.54254311E-01
  2.99491635E+00  1.96502245E+01  -2.98179415E+00  3.28011099E+00
  3.20254141E+00  1.31464691E+00  -4.71968517E-01  1.04493666E+00
  3.20611752E+00  1.48861762E+01  -3.79464462E+00  -6.97745222E-01
  3.20752416E+00  6.60731427E+01  -6.31123839E-01  -8.10400058E+00
  3.20907776E+00  5.36021872E+00  -5.91457034E-01  -2.23839168E+00
