# neig  =       200
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  2.93320423E+00  5.27889951E-03  -4.62270592E-02  -5.60531757E-02
  2.93402244E+00  1.35816348E-01  -2.73065411E-01  2.47490665E-01
  2.93432987E+00  4.06116851E+00  1.39731290E+00  1.45213125E+00
  2.93589355E+00  4.59351825E+00  1.19390864E+00  -1.77991584E+00
  2.93653444E+00  8.68923993E+00  -2.40803612E+00  1.70017705E+00
  2.93756517E+00  1.14544534E+01  1.42549249E-01  -3.38143950E+00
  2.93983784E+00  1.20707920E+00  1.08607152E+00  -1.65915225E-01
  2.94116853E+00  3.22861607E-01  5.61431573E-01  -8.74996917E-02
  2.95873133E+00  1.56407756E-01  3.67892917E-01  1.45129452E-01
  2.95932098E+00  2.31273853E+00  1.50895375E+00  -1.89201256E-01
  2.95978764E+00  3.80694442E+00  1.84920596E+00  -6.22399976E-01
  2.96172802E+00  4.59306368E-01  2.45198393E-01  -6.31810190E-01
  2.96294685E+00  1.00342006E+00  5.93772373E-02  9.99947200E-01
  2.96396115E+00  1.74519495E-01  -4.17330664E-01  1.88311221E-02
  2.96463365E+00  7.93184788E-01  5.73824775E-01  6.81109327E-01
  2.96500334E+00  5.81706365E-01  -7.25168704E-01  2.36297938E-01
  2.96685655E+00  2.02904448E+00  4.64752526E-01  1.34649529E+00
  2.96781392E+00  4.41540828E+00  6.25799484E-02  2.10035521E+00
  2.96875712E+00  1.57772409E+01  -3.69666944E+00  1.45322949E+00
  2.96957684E+00  9.96725770E+00  -2.82574445E-01  -3.14442513E+00
  2.97051382E+00  1.75435267E+00  1.26112064E+00  -4.04879488E-01
  2.97458065E+00  1.06043089E+00  6.73844134E-01  7.78694402E-01
  2.97580522E+00  1.40898062E+00  4.97371792E-01  -1.07777638E+00
  2.98103171E+00  1.09206445E+00  5.13596988E-01  -9.10100315E-01
  2.98384343E+00  1.24068556E+00  7.32468886E-01  8.39151290E-01
  2.98494202E+00  1.49448280E+00  -1.19818515E-01  1.21660442E+00
  2.98918848E+00  9.99852097E-01  9.79258926E-01  -2.02247505E-01
  3.00603380E+00  1.07716864E-01  -2.48333007E-01  2.14587002E-01
  3.01007227E+00  9.41237347E-02  1.10860572E-01  -2.86065846E-01
  3.01147470E+00  2.97001892E+00  1.49541148E+00  8.56599919E-01
  3.01228981E+00  2.29499276E+01  -1.79102766E+00  -4.44321364E+00
  3.01302519E+00  1.97846473E+01  -1.84871478E+00  4.04560268E+00
  3.01392197E+00  1.47749466E+00  -4.86628073E-01  1.11386165E+00
  3.01510543E+00  4.14920449E+00  -6.70538075E-01  -1.92343006E+00
  3.02586563E+00  1.24916131E-01  -2.44504400E-01  -2.55213106E-01
  3.02747825E+00  6.28687099E-01  -8.71331728E-02  7.88095749E-01
  3.20010991E+00  4.32338520E-01  -4.35100149E-01  -4.92977059E-01
  3.20101818E+00  4.37682578E-01  -1.57656006E-01  6.42516274E-01
