# neig  =        50
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  2.94107104E+00  2.13804519E+00  1.46217808E+00  -8.96924364E-03
  2.94135775E+00  6.94224207E+00  -2.56968740E+00  -5.82193049E-01
  2.94155589E+00  3.31152929E+01  -2.35043688E+00  5.25268878E+00
  2.94361207E+00  1.92989253E+01  4.15117987E+00  -1.43757816E+00
  2.94386299E+00  8.72332975E+00  -1.16242056E+00  -2.71516264E+00
  2.94425575E+00  7.89126753E+00  -6.99784137E-02  2.80826825E+00
  2.94921862E+00  1.11388998E+00  -2.11671850E-01  1.03396567E+00
  2.95071238E+00  5.50995943E+01  2.78160035E+00  -6.88202687E+00
  2.97470393E+00  2.25525090E+01  4.78545688E-01  -4.72477545E+00
  2.97585498E+00  1.95745458E+00  -1.38057881E+00  2.26840730E-01
  2.97727951E+00  4.30056848E+01  2.07096929E+00  -6.22228021E+00
  2.97989509E+00  1.72975148E+01  -2.83730397E+00  -3.04092436E+00
  2.98144519E+00  4.41941393E-01  -1.21940333E-01  6.53507420E-01
  2.98416297E+00  4.81909976E+00  4.27571887E-02  -2.19482837E+00
  2.98722310E+00  1.63540701E+00  5.31905618E-01  -1.16296321E+00
  2.99491635E+00  6.85983401E+00  -2.50417283E+00  -7.67432385E-01
  3.20254140E+00  1.36447152E+01  -3.69387096E+00  -5.70402525E-03
  3.20611076E+00  1.30856641E+01  -2.95255779E+00  -2.08999200E+00
  3.20750890E+00  6.28256747E+00  -2.49343628E+00  -2.55622719E-01
  3.20869748E+00  7.04122036E+01  7.75523766E+00  -3.20444886E+00
  3.20910171E+00  5.82254201E+00  -1.27015256E+00  -2.05164677E+00
  3.21033511E+00  9.40943898E+00  2.93977755E+00  -8.75869230E-01
  3.21066375E+00  3.80593214E+02  1.43201365E+01  -1.32486567E+01
  3.21119268E+00  1.81890860E+02  -1.29582958E+01  3.73810525E+00
  3.22994915E+00  3.47997631E+01  5.10541504E+00  2.95541881E+00
  3.23058204E+00  2.73641546E+02  -8.76311661E+00  1.40303005E+01
  3.23270608E+00  2.28646019E+01  3.66008405E+00  -3.07707436E+00
  3.23392703E+00  4.61340714E-01  2.95511768E-01  -6.11566439E-01
  3.26509979E+00  1.22425609E+00  8.85687272E-01  6.63184848E-01
  3.26715181E+00  1.91427370E+00  4.41237388E-01  -1.31132882E+00
  3.26908026E+00  2.54067330E+00  -1.40238224E+00  -7.57626127E-01
  3.27078265E+00  1.65716286E+00  -9.35932421E-01  -8.83851436E-01
  3.27568573E+00  1.69183484E-01  -3.88083234E-01  1.36289718E-01
  3.27673440E+00  2.51930426E-01  4.86784584E-01  -1.22356832E-01
  3.27738465E+00  2.25801414E-02  1.48359782E-01  -2.38645468E-02
  3.27994771E+00  2.14413408E-02  6.69147902E-02  -1.30244968E-01
  3.28400523E+00  4.28046939E-03  4.26611153E-03  -6.52860604E-02
  3.28736082E+00  2.76949080E-02  -8.64962051E-02  -1.42173537E-01
  3.28798271E+00  4.56645004E-01  -4.83845222E-01  -4.71740188E-01
  3.28818038E+00  1.78972373E-01  -7.73843823E-02  4.15913489E-01
  3.31553134E+00  1.87828475E+00  1.32962317E+00  -3.32245346E-01
  3.31644914E+00  2.31902809E-01  -4.13038818E-01  -2.47591889E-01
  3.31750152E+00  6.32900697E-01  7.08756247E-01  -3.61338178E-01
  3.31824769E+00  9.69917000E-01  5.67521076E-01  -8.04883114E-01
  3.31908927E+00  1.04064341E-01  2.38551048E-02  -3.21706815E-01
  3.31999025E+00  6.33993969E-01  -7.06435591E-01  -3.67345513E-01
  3.32079911E+00  5.28173565E-01  -9.13485984E-02  7.20991677E-01
  3.32113762E+00  3.65605347E+00  1.83931205E+00  -5.22479317E-01
  3.37223429E+00  1.52100346E-03  3.57244017E-02  -1.56451457E-02
  3.37230651E+00  3.41218893E-03  -4.71111144E-02  3.45359499E-02
