# neig  =       200
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  3.39437932E+00  7.18158408E+00  2.63223426E+00  5.02918336E-01
  3.39606651E+00  1.61439806E-03  -3.99229621E-02  -4.53377919E-03
  3.39641868E+00  9.68616701E-04  1.69128273E-02  2.61260976E-02
  3.39762250E+00  3.64245494E-03  -5.89784035E-02  -1.28063601E-02
  3.39779613E+00  1.97852331E-01  -4.28894313E-01  -1.17906742E-01
  3.39810550E+00  6.61711415E-02  9.85471735E-02  -2.37612281E-01
  3.41715448E+00  2.48116848E-01  2.63101348E-01  4.22959251E-01
  3.41720062E+00  3.88334514E-02  1.52704997E-01  -1.24557759E-01
  3.41747233E+00  1.81805482E+00  -1.29705505E+00  -3.68378904E-01
  3.41753893E+00  3.36102123E-01  -9.99508170E-02  5.71062131E-01
  3.41778077E+00  3.15374596E-01  4.99407040E-01  2.56840814E-01
  3.41832116E+00  2.53881921E-01  2.81196023E-01  4.18103716E-01
  3.41857076E+00  3.16930135E-01  5.62008154E-01  -3.28172173E-02
  3.41860336E+00  1.88299870E+00  1.05077685E+00  8.82534261E-01
  3.41871216E+00  2.68783843E-01  4.65883189E-01  -2.27457023E-01
  3.41913075E+00  1.17439269E-02  -3.89194243E-02  -1.01139534E-01
  3.41963064E+00  1.45089783E+01  3.69054568E-01  -3.79114455E+00
  3.41969149E+00  1.68841244E+01  3.33195227E+00  2.40462439E+00
  3.42058310E+00  3.60142053E-01  4.32467237E-02  -5.98558079E-01
  3.42078373E+00  1.05000849E+01  -5.26959057E-01  -3.19724867E+00
  3.42087887E+00  5.32790016E-01  6.14623809E-01  3.93735430E-01
  3.42113333E+00  6.80674694E-01  5.15774791E-01  6.43934049E-01
  3.42145832E+00  2.04041754E-02  -1.32713717E-01  5.28322315E-02
  3.42205727E+00  1.33922920E-02  -1.17425204E-02  -1.15127778E-01
  3.42252117E+00  4.71942004E+01  -6.21489934E+00  -2.92732415E+00
  3.42276525E+00  8.12169065E-01  4.26301038E-01  7.94000309E-01
  3.42379420E+00  7.31910480E-01  -5.91524524E-01  -6.18068943E-01
  3.42387256E+00  6.48562515E+01  -6.36201919E+00  4.93770831E+00
  3.42411836E+00  3.35711723E+01  -1.38769997E+00  5.62542986E+00
  3.42478566E+00  3.32572711E-02  -1.27736307E-01  -1.30156471E-01
  3.42523804E+00  2.14942613E-03  -3.60818530E-02  2.91123000E-02
  3.42672929E+00  6.33741965E-02  -1.17354391E-01  -2.22715386E-01
  3.42703642E+00  9.65571604E-01  5.62878274E-01  -8.05443761E-01
  3.42745414E+00  1.32098574E+01  2.73345720E+00  2.39542672E+00
  3.43780092E+00  2.98598723E+00  -6.04601374E-01  1.61877868E+00
  3.43855929E+00  1.81919679E-02  -1.30775447E-01  3.30113675E-02
  3.43957037E+00  3.46862281E+00  -1.78372875E+00  -5.35662740E-01
  3.44058703E+00  1.28715673E+01  2.84878752E+00  -2.18082024E+00
  3.44559420E+00  2.33711317E-01  -3.58531425E-01  3.24293902E-01
  3.44579340E+00  1.67307684E-02  -1.24015463E-01  3.67550453E-02
  3.44636336E+00  4.74414199E-02  1.50242611E-01  1.57697742E-01
  3.44660185E+00  1.21378155E+00  1.74183650E-01  1.08786102E+00
  3.44746879E+00  3.03032400E-01  -5.50136650E-01  1.95465142E-02
  3.44792095E+00  3.41594917E+00  9.95853093E-01  1.55699255E+00
  3.44815072E+00  4.54749031E+00  1.79336694E+00  -1.15383072E+00
  3.44863383E+00  1.10070580E+01  -3.31767698E+00  8.79727331E-03
  3.44875915E+00  3.87459534E+00  1.57291012E+00  -1.18344796E+00
  3.44952436E+00  9.17195149E+00  2.12590250E+00  2.15696316E+00
  3.45016506E+00  2.35779823E+00  1.50965815E+00  -2.80589539E-01
  3.45038121E+00  4.00858591E-01  4.62737777E-01  4.32125376E-01
  3.45082440E+00  1.65585783E+00  -6.04770386E-01  1.13583036E+00
  3.45120654E+00  3.08581033E-01  5.48084216E-01  9.04694664E-02
  3.45151176E+00  3.82175184E+00  1.21693914E+00  1.52997091E+00
  3.45176470E+00  2.69878212E+00  -1.48373812E+00  -7.05197352E-01
  3.45234974E+00  7.19811776E+00  -2.59611621E+00  6.76977372E-01
  3.45258968E+00  5.76676102E-01  3.16474542E-01  -6.90304256E-01
  3.45333431E+00  6.40022908E+00  -2.49702440E+00  4.06322825E-01
  3.45368752E+00  1.32165184E+01  3.55795785E+00  -7.46628661E-01
  3.45479590E+00  1.94523043E-01  3.22609011E-01  -3.00743194E-01
  3.45577366E+00  1.08183359E+01  -9.75419118E-02  3.28767722E+00
  3.45617149E+00  2.22525990E+00  -1.33612367E+00  6.63350155E-01
  3.45636994E+00  6.27849724E+00  -2.47896900E+00  3.64979371E-01
  3.45678309E+00  3.67515530E+00  -1.91706787E+00  2.46391595E-03
  3.45697036E+00  3.80116563E+01  4.01882827E+00  4.67554015E+00
  3.45726288E+00  4.36552646E+01  4.06804110E+00  5.20637169E+00
  3.45793393E+00  1.51198719E+00  -3.28532137E-01  1.18492777E+00
  3.45869832E+00  1.09200455E+01  -3.16159946E+00  -9.61423088E-01
  3.45925777E+00  2.59542178E+01  4.73731040E+00  -1.87406190E+00
  3.45940676E+00  1.10336185E+01  6.85232777E-02  -3.32098224E+00
  3.46025067E+00  8.21340060E+00  -2.60697938E+00  1.19040292E+00
  3.46136757E+00  1.00630406E+00  -2.49015804E-01  9.71748520E-01
  3.46168883E+00  4.68043232E+00  -1.84117029E+00  -1.13601245E+00
  3.46221023E+00  2.37156705E+00  -3.55111630E-01  -1.49848683E+00
  3.46232992E+00  4.88457745E+00  6.90393040E-01  2.09950825E+00
  3.46265333E+00  5.37369410E+00  -2.31324061E+00  -1.50372743E-01
  3.46314761E+00  1.08001651E+01  1.62028946E+00  2.85916547E+00
  3.46388021E+00  4.81774029E+00  2.13154145E+00  -5.23709205E-01
  3.46422007E+00  8.20119458E-01  -6.16786316E-01  -6.63094336E-01
  3.46456212E+00  9.57243369E+00  2.94618228E+00  -9.44692374E-01
  3.46524077E+00  1.31967132E+01  2.26126833E+00  -2.84312833E+00
  3.46583499E+00  5.98936095E+00  -1.88921414E+00  1.55570913E+00
  3.46642645E+00  1.67988446E-01  4.09816733E-01  -6.22027673E-03
  3.46709592E+00  1.69711874E+00  7.64518038E-01  -1.05481321E+00
  3.46804822E+00  2.78383515E+00  -5.25560705E-01  1.58354700E+00
  3.46855551E+00  1.26030556E+00  -1.09796491E+00  -2.34048300E-01
  3.46890149E+00  4.03644450E-01  -5.69783186E-01  -2.81054392E-01
  3.46930788E+00  8.12559417E-01  3.94868575E-01  8.10332170E-01
  3.46998262E+00  3.87400329E+00  -1.93641733E+00  -3.52549580E-01
  3.47028380E+00  1.67225232E+01  -3.20950954E+00  2.53408204E+00
  3.47136661E+00  1.62267622E+00  -1.26473827E+00  -1.52030685E-01
  3.47178328E+00  1.61030288E-01  3.51283842E-01  -1.93984409E-01
  3.47198248E+00  7.25180040E-01  -1.01413090E-01  -8.45514887E-01
  3.47260183E+00  5.65085688E-01  7.13556888E-01  -2.36478869E-01
  3.47281040E+00  1.31690788E+01  -3.14304654E+00  -1.81392867E+00
  3.47584458E+00  6.14804925E-02  2.29857084E-01  -9.29850185E-02
  3.47614335E+00  8.20572663E-02  -2.83089512E-01  -4.37903437E-02
  3.47741741E+00  2.18004474E+01  -4.55826932E-01  4.64679128E+00
  3.47799925E+00  1.90010188E+01  6.51109155E-01  4.31011319E+00
  3.90781164E+00  4.78868610E-01  5.35418499E-01  4.38401234E-01
  3.90787729E+00  5.26180821E-02  -1.90188794E-01  -1.28243146E-01
  3.90807113E+00  1.43316471E-01  2.87893244E-01  -2.45833177E-01
  3.90841261E+00  4.02668051E-01  5.95062985E-01  -2.20381703E-01
  3.90860988E+00  3.85344771E-02  -8.90394994E-02  -1.74946977E-01
  3.90881475E+00  5.21257795E-02  -1.45103572E-01  -1.76268922E-01
  3.90957522E+00  5.89959879E-02  2.15875987E-01  1.11326304E-01
  3.90963028E+00  1.06702398E+00  -1.01676773E+00  1.82228874E-01
  3.90968958E+00  2.48803524E-02  -2.59375675E-03  -1.57713743E-01
  3.91007335E+00  2.92706942E-01  -1.50350888E-01  5.19712952E-01
  3.91019037E+00  1.23494601E+00  2.98007488E-01  -1.07057814E+00
  3.91044061E+00  2.95412060E-01  -5.10819083E-01  -1.85676936E-01
  3.91088473E+00  1.38599396E+00  4.23976852E-01  1.09828848E+00
  3.91106503E+00  8.16327644E-01  -4.91537566E-01  7.58101883E-01
  3.91146371E+00  6.08499524E+00  2.08549919E+00  -1.31745526E+00
  3.91242228E+00  7.34371854E+00  -1.37920741E+00  2.33270347E+00
  3.91284891E+00  2.28301357E+00  9.59504112E-01  -1.16720411E+00
  3.91308590E+00  1.60672785E+00  -1.15383394E+00  5.24780993E-01
  3.91368821E+00  2.34758419E+00  -1.95093335E-01  -1.51971142E+00
  3.91412341E+00  7.93808167E+00  -4.79811577E-02  -2.81705156E+00
