# neig  =        50
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  2.94106933E+00  6.12982685E-02  2.32497790E-01  -8.51060870E-02
  2.94107169E+00  6.10812143E-02  8.61156414E-02  -2.31657745E-01
  2.94135601E+00  3.04049089E-02  6.64775642E-02  1.61200628E-01
  2.94135812E+00  2.95129935E-02  1.71009958E-01  -1.63886528E-02
  2.94155302E+00  1.26864902E-01  7.77806623E-02  3.47584624E-01
  2.94155556E+00  1.36026718E-01  2.83672175E-01  -2.35704933E-01
  2.94360736E+00  7.03951435E+00  1.09023856E+00  2.41886218E+00
  2.94361307E+00  7.17113817E+00  2.24776727E+00  -1.45556878E+00
  2.94384695E+00  5.61933460E+00  2.20778911E+00  8.63134891E-01
  2.94386396E+00  5.35852388E+00  6.21517111E-01  -2.22985209E+00
  2.94424902E+00  2.91461500E+01  -2.34725608E+00  4.86174237E+00
  2.94425691E+00  2.93869682E+01  4.32729155E+00  3.26519771E+00
  2.94921539E+00  1.82395828E+00  -1.34160212E+00  1.55119421E-01
  2.94921786E+00  1.80297868E+00  1.32525018E+00  2.16080132E-01
  2.94921997E+00  1.81880575E+00  1.09263739E+00  -7.90537332E-01
  2.95071059E+00  2.97420318E+00  5.55907294E-01  -1.63253492E+00
  2.95071238E+00  2.89656315E+00  1.51636006E+00  7.72797070E-01
  2.95071347E+00  2.96254167E+00  -2.24201556E-01  -1.70653899E+00
  2.97470332E+00  3.43057255E+00  1.28091048E+00  1.33784935E+00
  2.97470486E+00  3.43339998E+00  -1.82097867E+00  -3.42690340E-01
  2.97584623E+00  8.89216641E-01  -4.10835003E-01  -8.48782211E-01
  2.97585525E+00  1.10081688E+00  -4.33595471E-01  -9.55411873E-01
  2.97727814E+00  1.52567579E+00  3.48940404E-01  1.18486978E+00
  2.97727969E+00  1.58145292E+00  2.27732418E-01  -1.23676630E+00
  2.97989169E+00  1.32642881E+01  -7.51325055E-01  3.56367770E+00
  2.97989638E+00  1.32310561E+01  -3.41951032E+00  1.24016341E+00
  2.98144306E+00  7.46327608E+00  8.94364604E-01  2.58135392E+00
  2.98144619E+00  7.56887172E+00  -1.60250583E+00  2.23625732E+00
  2.98416298E+00  5.20342365E+00  -6.58024458E-01  2.18413083E+00
  2.98416427E+00  5.20087058E+00  -2.26573320E+00  2.59467983E-01
  2.98720980E+00  3.33378638E-01  1.54345387E-01  -5.56377695E-01
  2.98722257E+00  2.61893270E-01  3.42225073E-01  -3.80493455E-01
  2.98722456E+00  2.64168212E-01  -1.91703685E-01  -4.76883539E-01
  2.99491233E+00  1.74503728E+00  -1.07010276E+00  7.74543322E-01
  2.99491651E+00  1.74355296E+00  1.31857146E+00  -7.01588146E-02
  2.99491906E+00  1.74223148E+00  3.32443961E-01  1.27738502E+00
  2.99492111E+00  1.74062505E+00  -7.33439691E-01  1.09667282E+00
  3.20254167E+00  1.10604486E+01  -5.69097268E-01  -3.27667162E+00
  3.20254432E+00  1.10208637E+01  3.30835397E+00  2.75059427E-01
  3.20611188E+00  7.55381321E+00  8.67277728E-01  2.60799589E+00
  3.20750951E+00  6.91933751E-01  5.07480810E-01  -6.59087990E-01
  3.20868994E+00  1.45938561E+01  -3.51231629E+00  1.50249471E+00
  3.20908963E+00  1.16092667E+00  -1.00214587E+00  3.95765483E-01
  3.21032755E+00  4.06748913E-01  -2.38968624E-01  5.91306105E-01
  3.21062313E+00  3.16782686E+00  8.16118620E-01  -1.58170075E+00
  3.21119447E+00  1.53638156E-01  3.38116863E-01  1.98280465E-01
  3.22994929E+00  4.80176264E-01  4.70375859E-01  -5.08844588E-01
  3.23058189E+00  1.32394192E+00  2.73418523E-02  -1.15030185E+00
  3.23270592E+00  5.38149195E+00  2.16901781E+00  8.22711184E-01
  3.23392685E+00  3.43451173E+00  1.38468203E+00  -1.23173350E+00
