# neig  =       100
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  -2.95318289E+94  1.42735626E-01  -3.66855344E-01  -9.02927602E-02
  -2.81265218E+94  5.42143616E+00  2.32551058E+00  1.15916798E-01
  -2.63221869E+94  9.92571587E-01  9.73253342E-01  2.12954266E-01
  -2.54268748E+94  7.82509279E-01  5.43858408E-01  6.97658449E-01
  -2.39061272E+94  1.55367860E-01  3.76999436E-01  -1.15062095E-01
  -2.28325866E+94  5.68590191E-01  3.55939302E-01  6.64753642E-01
  -2.21148760E+94  5.06546826E+00  1.45948219E+00  -1.71329507E+00
  -1.95987998E+94  2.85165873E-01  -5.33934910E-01  -8.90980686E-03
  -1.92473027E+94  2.55183491E-01  -3.27687687E-01  -3.84453210E-01
  -1.85745318E+94  1.54158232E-01  3.91965913E-01  2.28244496E-02
  -1.70062485E+94  2.11945157E+00  -1.20506140E+00  8.16871214E-01
  -1.55900596E+94  7.71616725E-01  3.51417578E-01  8.05060502E-01
  -1.49030580E+94  2.91532309E+00  -5.77085628E-01  1.60695217E+00
  -1.34349246E+94  1.59224253E+00  -1.92448814E-01  1.24707898E+00
  -1.31882469E+94  1.23487826E+00  -1.10058573E+00  1.53588119E-01
  -1.22787938E+94  3.03100742E-01  1.63732836E-01  5.25635140E-01
  -1.12293500E+94  9.03537367E-01  1.32916067E-01  -9.41207037E-01
  -1.04519473E+94  1.81589090E+00  -1.23646275E-01  -1.34186530E+00
  -9.93125064E+93  5.28178786E-01  5.13961154E-01  -5.13831411E-01
  -9.46148848E+93  4.90102789E-01  -6.96451911E-01  7.11162755E-02
