# neig  =       100
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  -1.05910532E+105  6.65088631E-01  -5.65026621E-01  -5.88076142E-01
  -3.52764259E+103  4.29361991E+00  1.16940896E+00  1.71058546E+00
  -2.66087895E+102  7.42599687E-02  1.83556580E-01  -2.01412390E-01
  -5.00634401E+101  1.43338630E+00  1.13158548E+00  -3.91025048E-01
  -1.84955723E+101  1.17752050E+00  -2.33031388E-01  -1.05981927E+00
  -7.44955403E+99  9.31156799E-01  -4.20880297E-01  8.68341278E-01
  -2.37860850E+98  2.48746989E+00  -7.33752610E-01  1.39609348E+00
  -5.03090783E+97  2.92020356E+00  -1.60339217E+00  -5.91047478E-01
  -1.59299246E+96  1.89256755E+00  1.34412976E+00  2.93057576E-01
  -1.12468821E+96  1.16395117E-02  -3.95498368E-02  1.00375904E-01
  -8.30357166E+95  8.37290051E-02  2.83674622E-01  5.70763851E-02
  -7.55573433E+95  1.89724454E-01  3.50351867E-01  2.58801126E-01
  -7.29100987E+95  1.91684399E-01  4.32048347E-01  -7.08422573E-02
  -6.95969028E+95  9.22996647E-02  -5.32882041E-03  -3.03761861E-01
  -6.72456998E+95  1.16262380E-01  3.17808097E-01  1.23532964E-01
  -6.17251374E+95  2.31714367E-01  2.10641560E-01  -4.32833109E-01
  -6.05219771E+95  5.63774482E-01  -7.12555717E-01  -2.36725223E-01
  -5.92670495E+95  1.55561603E-01  3.71517771E-01  1.32424126E-01
  -5.60260307E+95  2.06974020E-02  -1.36220577E-01  4.62747916E-02
  -5.43973136E+95  3.01364914E-01  5.39861396E-01  9.95720163E-02
  -5.29229123E+95  2.15414393E-01  7.79986511E-02  4.57526615E-01
  -5.03603812E+95  5.97027727E-02  2.09423752E-01  -1.25874798E-01
  -4.88305095E+95  1.21045020E-01  -2.41450680E-02  3.47076412E-01
  -4.60025006E+95  8.97541935E-02  2.95969323E-01  -4.64365505E-02
  -4.37393864E+95  1.60631304E-01  2.23918288E-01  3.32403225E-01
  -4.27473689E+95  7.56016306E-01  -4.73505425E-01  7.29252301E-01
  -4.05928452E+95  1.98408639E-01  -2.80469605E-01  3.46042539E-01
  -3.99010877E+95  6.41138752E-02  -2.43352466E-01  6.99532163E-02
  -3.79259296E+95  1.00543173E-02  -1.00116579E-02  -9.97701557E-02
  -3.63213838E+95  1.86338378E-01  -4.18833714E-01  1.04483004E-01
  -3.56413009E+95  5.71037602E-01  2.09358112E-01  7.26090065E-01
  -3.27052433E+95  8.53790230E-02  -3.72036483E-02  -2.89818756E-01
  -3.16725232E+95  1.90180760E-01  -4.31139100E-01  6.55731416E-02
  -3.06826529E+95  2.85278411E-01  -9.56944537E-02  5.25472152E-01
  -2.89766342E+95  2.19035405E-01  -4.51980377E-01  -1.21446050E-01
  -2.81662572E+95  3.18836052E-02  -1.73891279E-01  4.05638801E-02
  -2.77900971E+95  4.23793549E-01  4.88694862E-01  -4.30082411E-01
  -2.63335524E+95  1.20769534E-01  -1.98825106E-01  -2.85023001E-01
  -2.51845210E+95  2.96999744E-01  5.25661492E-01  -1.43804520E-01
  -2.37251068E+95  3.27637903E-01  -5.44358018E-01  -1.76952680E-01
  -2.27187543E+95  2.22437289E-01  3.57943314E-01  3.07105639E-01
  -2.21220043E+95  2.04324746E-01  -6.00794944E-02  -4.48012500E-01
  -2.10585903E+95  1.66334947E-02  1.28950336E-01  2.30335919E-03
  -2.02718754E+95  5.96193818E-02  1.60754406E-01  -1.83786297E-01
  -1.93547906E+95  9.91006844E-01  -4.26606808E-01  8.99451764E-01
  -1.89822964E+95  3.65761191E-01  2.73478613E-01  -5.39416944E-01
  -1.78971555E+95  3.42188600E-01  -6.55044317E-02  5.81289747E-01
  -1.69395093E+95  4.79319909E-01  6.91943890E-01  2.30989667E-02
  -1.60205138E+95  5.39721607E-02  -6.16654099E-02  -2.23985575E-01
  -1.54877071E+95  5.10628828E-01  2.04824954E-01  -6.84598836E-01
  -1.41387057E+95  7.78133796E-02  -2.13108201E-01  -1.79995206E-01
  -1.40132911E+95  5.52437326E-01  4.49569450E-01  5.91882282E-01
  -1.35221783E+95  4.34048466E-01  3.57498706E-01  -5.53392393E-01
  -1.27861196E+95  2.16837985E-01  5.86951982E-02  4.61944649E-01
  -1.23437119E+95  5.73314165E-02  -1.99040416E-01  1.33095189E-01
  -1.19076635E+95  2.69137756E-01  4.95027825E-01  -1.55194099E-01
  -1.13922609E+95  8.47645896E-01  -4.27534604E-02  9.19683662E-01
  -1.05518357E+95  2.98450420E-01  3.85036742E-01  3.87552741E-01
  -1.00135636E+95  2.92263913E-01  -4.56697900E-01  -2.89293866E-01
  -9.73694051E+94  1.65203832E-01  -3.39880045E-01  2.22902192E-01
  -9.53792412E+94  1.22633418E+00  -4.64532790E-02  -1.10642500E+00
  -8.76612226E+94  5.00367114E-01  6.95473968E-01  1.29162970E-01
  -8.56964510E+94  9.18706239E-01  -8.75849860E-01  3.89349794E-01
  -8.22057036E+94  2.50999138E-01  3.97826167E-01  3.04521722E-01
  -7.74076876E+94  2.83689181E-02  -1.13741092E-01  1.24225127E-01
  -7.03919189E+94  4.63399433E-01  -2.78204566E-01  6.21290312E-01
  -6.59572716E+94  9.83208922E-01  -9.38491206E-01  3.20067459E-01
  -6.41780929E+94  2.68604116E+00  1.02257091E+00  1.28077707E+00
  -5.92283457E+94  1.05550527E+00  -7.32387806E-02  1.02476405E+00
  -5.51066445E+94  3.68591601E-01  1.68543171E-01  5.83253633E-01
  -5.32850014E+94  1.74079995E-01  -3.70604421E-01  1.91656876E-01
  -5.08976651E+94  2.63227744E-01  3.55110271E-01  3.70303172E-01
  -4.91513313E+94  4.26816917E-01  -6.28966691E-01  1.76685649E-01
  -4.67597040E+94  1.88869037E+00  -7.91353603E-01  1.12358793E+00
  -4.44523460E+94  1.20153427E+00  -7.59222232E-01  -7.90642699E-01
  -4.03576684E+94  1.16715143E+00  9.92870617E-01  -4.25863081E-01
  -3.83721225E+94  1.45500687E+00  5.55708896E-01  -1.07060473E+00
  -3.51780348E+94  1.30749655E+00  -8.27056622E-01  7.89603629E-01
  -3.29213432E+94  9.50098901E-01  -4.30102038E-01  -8.74706315E-01
  -3.12266577E+94  5.06700788E-01  -2.25771278E-01  -6.75076379E-01
  -2.95318289E+94  2.20686798E+00  -1.48551536E+00  1.05879982E-02
  -2.81265218E+94  2.31365267E-01  -2.93567832E-01  3.81029126E-01
  -2.63221869E+94  1.08983421E+00  4.20609472E-01  9.55469454E-01
  -2.54268748E+94  8.67998562E-01  -9.16134088E-01  1.69401576E-01
  -2.39061272E+94  9.79123930E-02  3.06193655E-01  6.44813042E-02
  -2.28325866E+94  1.86498608E-01  3.05738523E-01  3.04996006E-01
  -2.21148760E+94  1.18207466E+00  6.42520102E-01  8.77064753E-01
  -1.95987998E+94  8.70872215E-01  -1.05372273E-02  9.33145852E-01
  -1.92473027E+94  6.19233347E+00  -2.39717024E+00  -6.67763651E-01
  -1.85745318E+94  2.16526847E-02  3.19887190E-02  -1.43629407E-01
  -1.70062485E+94  5.26671758E-01  -7.23055851E-01  -6.21449440E-02
  -1.55900596E+94  3.03318629E+00  1.65866764E+00  -5.31044219E-01
  -1.49030580E+94  3.24350682E-01  5.51861006E-01  -1.40712870E-01
  -1.34349246E+94  6.58302458E-01  7.48109936E-01  3.14060476E-01
  -1.31882469E+94  1.57358977E+00  -3.41463492E-02  -1.25396324E+00
  -1.22787938E+94  7.93551069E-01  8.86733263E-01  8.51773993E-02
  -1.12293500E+94  3.52759445E+00  -1.74065279E+00  7.05494373E-01
  -1.04519473E+94  8.51588610E-01  -2.87062434E-01  8.77031224E-01
  -9.93125064E+93  1.58966995E-01  4.76451418E-02  -3.95849637E-01
  -9.46148848E+93  4.03784968E+00  1.69363107E+00  1.08141735E+00
