# neig  =        20
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  -3.59573329E+74  3.00592393E-01  4.69523327E-01  2.83090512E-01
  -8.90294551E+70  2.09518903E+00  -9.81666880E-01  -1.06372890E+00
  -3.19191692E+67  2.86319061E+00  1.50851053E+00  -7.66541975E-01
  -9.66937539E+64  6.48937768E-03  -7.98809795E-02  -1.04118581E-02
  -7.34048655E+64  8.65341373E-03  -5.17685812E-02  -7.72879534E-02
  -5.83660117E+64  4.26915109E-02  1.57821061E-01  -1.33356753E-01
  -4.11396912E+64  3.89214732E-02  1.73952665E-01  -9.30695632E-02
  -3.58440299E+64  2.96181594E-02  2.16863556E-02  -1.70727448E-01
  -3.03627429E+64  1.29533311E-01  3.00109960E-01  1.98663845E-01
  -2.88107283E+64  7.51593145E-02  -1.73850483E-01  2.11979537E-01
  -2.35605612E+64  7.53494352E-02  -2.43256468E-01  -1.27183829E-01
  -1.98770341E+64  8.25518759E-02  2.87305288E-01  -2.74722139E-03
  -1.63688904E+64  1.37622887E-01  1.28931864E-01  3.47849768E-01
  -1.47973096E+64  2.80186752E-02  3.95188451E-03  -1.67341142E-01
  -1.39879557E+64  1.03046498E-01  -2.21022870E-01  2.32799032E-01
  -1.20221771E+64  6.81287045E-02  -1.06800824E-01  -2.38164415E-01
  -9.19882049E+63  1.42637977E+00  1.86735476E-02  1.19416543E+00
  -7.92776939E+63  6.56480441E-02  -5.15375835E-02  2.50981915E-01
  -6.69676298E+63  2.90196091E-01  -5.37987854E-01  -2.76615298E-02
  -6.11052408E+63  7.64708501E-02  1.18694669E-01  -2.49764741E-01
