# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 646

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.29          0.00 B        0          0.00 B
    2.54          0.00 B        0          0.00 B
    2.80          0.00 B        0          0.00 B
    3.05          0.00 B        0          0.00 B
    3.30          0.00 B        1          8.00 B
    3.55          0.00 B        3        192.00 B
    3.80          0.00 B        3        192.00 B
    4.05          0.00 B        3        192.00 B
    4.30          0.00 B        3         48.00 B
    4.55          0.00 B        2         24.00 B
    5.46          0.00 B        0          0.00 B
    5.71          0.00 B        2         24.00 B
    5.96          0.00 B        4       56.25 MiB
    6.21          0.00 B       10       56.25 MiB
    6.46          0.00 B       15       61.31 MiB
    6.71          0.00 B       17       61.58 MiB
    6.96          0.00 B       14       65.55 MiB
    7.21          0.00 B       14       75.36 MiB
    7.46          0.00 B       12       79.40 MiB
    7.71          0.00 B       14       90.65 MiB
    7.96          0.00 B       16       96.27 MiB
    8.22          0.00 B       18       56.52 MiB
    8.47          0.00 B       23       56.52 MiB
    8.72          0.00 B       27       56.52 MiB
    8.97          0.00 B       27       56.52 MiB
    9.22          0.00 B       23       56.52 MiB
    9.47          0.00 B       24       56.52 MiB
    9.72          0.00 B       42       56.52 MiB
    9.97          0.00 B       45       56.52 MiB
   10.22          0.00 B       48       84.65 MiB
   10.47          0.00 B       54        1.92 GiB
   10.72          0.00 B       56        1.92 GiB
   10.97          0.00 B       51      225.27 MiB
   11.22          0.00 B       51      225.27 MiB
   11.47          0.00 B       51      225.27 MiB
   11.72          0.00 B       51      225.27 MiB
   11.97          0.00 B       51      225.27 MiB
   12.22          0.00 B       51      225.27 MiB
   12.48          0.00 B       54      225.28 MiB
   12.73          0.00 B       57      230.07 MiB
   12.98          0.00 B       58      230.34 MiB
   13.23          0.00 B       56      233.90 MiB
   13.48          0.00 B       53      226.86 MiB
   13.73          0.00 B       56      226.86 MiB
   13.98          0.00 B       58      228.44 MiB
   14.23          0.00 B       58      228.44 MiB
   14.48          0.00 B       58      228.44 MiB
   14.73          0.00 B       58      228.44 MiB
   14.98          0.00 B       58      228.44 MiB
   15.23          0.00 B       59      228.44 MiB
   15.48          0.00 B       59      228.44 MiB
   15.74          0.00 B       59      228.44 MiB
   15.99          0.00 B       57        1.26 GiB
   16.24          0.00 B       62        1.26 GiB
   16.49          0.00 B       63        1.26 GiB
   16.74          0.00 B       63        1.26 GiB
   16.99          0.00 B       66        2.30 GiB
   17.24          0.00 B       66        2.30 GiB
   17.49          0.00 B       63        3.35 GiB
   17.74          0.00 B       68        3.35 GiB
   17.99          0.00 B       68        3.35 GiB
   18.24          0.00 B       68        3.35 GiB
   18.49          0.00 B       68        3.35 GiB
   18.74          0.00 B       68        3.35 GiB
   19.00          0.00 B       68        3.35 GiB
   19.25          0.00 B       69        3.35 GiB
   19.50          0.00 B       69        3.35 GiB
   19.75          0.00 B       69        5.01 GiB
   20.00          0.00 B       69        5.01 GiB
   20.25          0.00 B       65        3.14 GiB
   20.50          0.00 B       65        3.14 GiB
   20.75          0.00 B       65        3.14 GiB
   21.00          0.00 B       65        3.14 GiB
   21.25          0.00 B       65        3.14 GiB
   21.50          0.00 B       65        3.14 GiB
   21.75          0.00 B       65        3.14 GiB
   22.00          0.00 B       65        3.14 GiB
   22.25          0.00 B       65        3.14 GiB
   22.50          0.00 B       65        3.14 GiB
   22.76          0.00 B       65        3.14 GiB
   23.01          0.00 B       65        3.14 GiB
   23.26          0.00 B       65        3.14 GiB
   23.51          0.00 B       65        3.14 GiB
   23.76          0.00 B       65        3.14 GiB
   24.01          0.00 B       65        3.14 GiB
   24.26          0.00 B       65        3.14 GiB
   24.51          0.00 B       65        3.14 GiB
   24.76          0.00 B       62        2.10 GiB
   25.01          0.00 B       62        2.10 GiB
   25.26          0.00 B       62        2.10 GiB
   25.51          0.00 B       62        2.10 GiB
   25.76          0.00 B       62        2.10 GiB
   26.01          0.00 B       62        2.10 GiB
   26.27          0.00 B       62        2.10 GiB
   26.52          0.00 B       62        2.10 GiB
   26.77          0.00 B       62        2.10 GiB
   27.02          0.00 B       62        2.10 GiB
