# idx_k idx_b kx ky kz s energy
   2    1  0.00000000  0.02500000  0.00000000  0.19058720 -5.36618215
   2    2  0.00000000  0.02500000  0.00000000  0.19058720 -3.18452804
   2    3  0.00000000  0.02500000  0.00000000  0.19058720 -3.18452795
   2    4  0.00000000  0.02500000  0.00000000  0.19058720 -2.98312913
   2    5  0.00000000  0.02500000  0.00000000  0.19058720 -2.98312908
   2    6  0.00000000  0.02500000  0.00000000  0.19058720 -2.96786919
   2    7  0.00000000  0.02500000  0.00000000  0.19058720 -2.96786914
   2    8  0.00000000  0.02500000  0.00000000  0.19058720 -1.25014445
   2    9  0.00000000  0.02500000  0.00000000  0.19058720 -1.25014444
   2   10  0.00000000  0.02500000  0.00000000  0.19058720 -1.12279208
   2   11  0.00000000  0.02500000  0.00000000  0.19058720 -1.12279208
   2   12  0.00000000  0.02500000  0.00000000  0.19058720 -0.47476466
   2   13  0.00000000  0.02500000  0.00000000  0.19058720 -0.47476464
   2   14  0.00000000  0.02500000  0.00000000  0.19058720 -0.22318235
   2   15  0.00000000  0.02500000  0.00000000  0.19058720 -0.22318231
   2   16  0.00000000  0.02500000  0.00000000  0.19058720 -0.21918124
   2   17  0.00000000  0.02500000  0.00000000  0.19058720 -0.21918105
   2   18  0.00000000  0.02500000  0.00000000  0.19058720 -0.21079633
   2   19  0.00000000  0.02500000  0.00000000  0.19058720 -0.21079630
   2   20  0.00000000  0.02500000  0.00000000  0.19058720 -0.14164191
   2   21  0.00000000  0.02500000  0.00000000  0.19058720 -0.14164180
   2   22  0.00000000  0.02500000  0.00000000  0.19058720 -0.13436020
   2   23  0.00000000  0.02500000  0.00000000  0.19058720 -0.13436016
   2   24  0.00000000  0.02500000  0.00000000  0.19058720 -0.03207136
   2   25  0.00000000  0.02500000  0.00000000  0.19058720 -0.03207068
   2   26  0.00000000  0.02500000  0.00000000  0.19058720  0.24978395
   2   27  0.00000000  0.02500000  0.00000000  0.19058720  0.24978403
   2   28  0.00000000  0.02500000  0.00000000  0.19058720  0.25530585
   2   29  0.00000000  0.02500000  0.00000000  0.19058720  0.25530629
   2   30  0.00000000  0.02500000  0.00000000  0.19058720  0.25778333
   2   31  0.00000000  0.02500000  0.00000000  0.19058720  0.25778414
   2   32  0.00000000  0.02500000  0.00000000  0.19058720  0.25927084
   2   33  0.00000000  0.02500000  0.00000000  0.19058720  0.25927297
   2   34  0.00000000  0.02500000  0.00000000  0.19058720  0.49413083
   2   35  0.00000000  0.02500000  0.00000000  0.19058720  0.49413091
   2   36  0.00000000  0.02500000  0.00000000  0.19058720  0.69129888
   2   37  0.00000000  0.02500000  0.00000000  0.19058720  0.69129893
   2   38  0.00000000  0.02500000  0.00000000  0.19058720  0.70461999
   2   39  0.00000000  0.02500000  0.00000000  0.19058720  0.70462002
   2   40  0.00000000  0.02500000  0.00000000  0.19058720  0.73406792
   2   41  0.00000000  0.02500000  0.00000000  0.19058720  0.73406792
   2   42  0.00000000  0.02500000  0.00000000  0.19058720  0.77876427
   2   43  0.00000000  0.02500000  0.00000000  0.19058720  0.77876495
   3    0  0.00000000  0.03750000  0.00000000  0.28588080 -5.36617134
   3    1  0.00000000  0.03750000  0.00000000  0.28588080 -5.36617134
   3    2  0.00000000  0.03750000  0.00000000  0.28588080 -3.18461395
   3    3  0.00000000  0.03750000  0.00000000  0.28588080 -3.18461381
   3    4  0.00000000  0.03750000  0.00000000  0.28588080 -2.98317142
   3    5  0.00000000  0.03750000  0.00000000  0.28588080 -2.98317135
   3    6  0.00000000  0.03750000  0.00000000  0.28588080 -2.96808363
   3    7  0.00000000  0.03750000  0.00000000  0.28588080 -2.96808356
   3    8  0.00000000  0.03750000  0.00000000  0.28588080 -1.24879883
   3    9  0.00000000  0.03750000  0.00000000  0.28588080 -1.24879882
   3   10  0.00000000  0.03750000  0.00000000  0.28588080 -1.12207221
   3   11  0.00000000  0.03750000  0.00000000  0.28588080 -1.12207221
   3   12  0.00000000  0.03750000  0.00000000  0.28588080 -0.47389261
   3   13  0.00000000  0.03750000  0.00000000  0.28588080 -0.47389258
   3   14  0.00000000  0.03750000  0.00000000  0.28588080 -0.22505623
   3   15  0.00000000  0.03750000  0.00000000  0.28588080 -0.22505612
   3   16  0.00000000  0.03750000  0.00000000  0.28588080 -0.21905906
   3   17  0.00000000  0.03750000  0.00000000  0.28588080 -0.21905872
   3   18  0.00000000  0.03750000  0.00000000  0.28588080 -0.21410371
   3   19  0.00000000  0.03750000  0.00000000  0.28588080 -0.21410368
   3   20  0.00000000  0.03750000  0.00000000  0.28588080 -0.14246248
   3   21  0.00000000  0.03750000  0.00000000  0.28588080 -0.14246242
   3   22  0.00000000  0.03750000  0.00000000  0.28588080 -0.13220165
   3   23  0.00000000  0.03750000  0.00000000  0.28588080 -0.13220162
   3   24  0.00000000  0.03750000  0.00000000  0.28588080 -0.03204317
   3   25  0.00000000  0.03750000  0.00000000  0.28588080 -0.03204220
   3   26  0.00000000  0.03750000  0.00000000  0.28588080  0.24868925
   3   27  0.00000000  0.03750000  0.00000000  0.28588080  0.24868943
   3   28  0.00000000  0.03750000  0.00000000  0.28588080  0.25471296
   3   29  0.00000000  0.03750000  0.00000000  0.28588080  0.25471475
   3   30  0.00000000  0.03750000  0.00000000  0.28588080  0.25700857
   3   31  0.00000000  0.03750000  0.00000000  0.28588080  0.25700904
   3   32  0.00000000  0.03750000  0.00000000  0.28588080  0.25891167
   3   33  0.00000000  0.03750000  0.00000000  0.28588080  0.25891419
   3   34  0.00000000  0.03750000  0.00000000  0.28588080  0.49862695
   3   35  0.00000000  0.03750000  0.00000000  0.28588080  0.49862707
   3   36  0.00000000  0.03750000  0.00000000  0.28588080  0.69190246
   3   37  0.00000000  0.03750000  0.00000000  0.28588080  0.69190254
   3   38  0.00000000  0.03750000  0.00000000  0.28588080  0.70449154
   3   39  0.00000000  0.03750000  0.00000000  0.28588080  0.70449158
   3   40  0.00000000  0.03750000  0.00000000  0.28588080  0.73450034
   3   41  0.00000000  0.03750000  0.00000000  0.28588080  0.73450035
   3   42  0.00000000  0.03750000  0.00000000  0.28588080  0.76672138
   3   43  0.00000000  0.03750000  0.00000000  0.28588080  0.76672229
   4    0  0.00000000  0.05000000  0.00000000  0.38117440 -5.36615582
   4    1  0.00000000  0.05000000  0.00000000  0.38117440 -5.36615582
   4    2  0.00000000  0.05000000  0.00000000  0.38117440 -3.18473318
   4    3  0.00000000  0.05000000  0.00000000  0.38117440 -3.18473300
   4    4  0.00000000  0.05000000  0.00000000  0.38117440 -2.98323066
   4    5  0.00000000  0.05000000  0.00000000  0.38117440 -2.98323056
   4    6  0.00000000  0.05000000  0.00000000  0.38117440 -2.96837915
   4    7  0.00000000  0.05000000  0.00000000  0.38117440 -2.96837906
   4    8  0.00000000  0.05000000  0.00000000  0.38117440 -1.24693158
   4    9  0.00000000  0.05000000  0.00000000  0.38117440 -1.24693156
   4   10  0.00000000  0.05000000  0.00000000  0.38117440 -1.12107978
   4   11  0.00000000  0.05000000  0.00000000  0.38117440 -1.12107977
   4   12  0.00000000  0.05000000  0.00000000  0.38117440 -0.47266271
   4   13  0.00000000  0.05000000  0.00000000  0.38117440 -0.47266267
   4   14  0.00000000  0.05000000  0.00000000  0.38117440 -0.22797527
   4   15  0.00000000  0.05000000  0.00000000  0.38117440 -0.22797510
   4   16  0.00000000  0.05000000  0.00000000  0.38117440 -0.21901993
   4   17  0.00000000  0.05000000  0.00000000  0.38117440 -0.21901958
   4   18  0.00000000  0.05000000  0.00000000  0.38117440 -0.21772618
   4   19  0.00000000  0.05000000  0.00000000  0.38117440 -0.21772601
   4   20  0.00000000  0.05000000  0.00000000  0.38117440 -0.14421301
   4   21  0.00000000  0.05000000  0.00000000  0.38117440 -0.14421301
   4   22  0.00000000  0.05000000  0.00000000  0.38117440 -0.12923721
   4   23  0.00000000  0.05000000  0.00000000  0.38117440 -0.12923713
   4   24  0.00000000  0.05000000  0.00000000  0.38117440 -0.03206774
   4   25  0.00000000  0.05000000  0.00000000  0.38117440 -0.03206654
   4   26  0.00000000  0.05000000  0.00000000  0.38117440  0.24680431
   4   27  0.00000000  0.05000000  0.00000000  0.38117440  0.24680451
   4   28  0.00000000  0.05000000  0.00000000  0.38117440  0.25179503
   4   29  0.00000000  0.05000000  0.00000000  0.38117440  0.25179742
   4   30  0.00000000  0.05000000  0.00000000  0.38117440  0.25735517
   4   31  0.00000000  0.05000000  0.00000000  0.38117440  0.25735911
   4   32  0.00000000  0.05000000  0.00000000  0.38117440  0.25967808
   4   33  0.00000000  0.05000000  0.00000000  0.38117440  0.25967810
   4   34  0.00000000  0.05000000  0.00000000  0.38117440  0.50474788
   4   35  0.00000000  0.05000000  0.00000000  0.38117440  0.50474803
   4   36  0.00000000  0.05000000  0.00000000  0.38117440  0.69269134
   4   37  0.00000000  0.05000000  0.00000000  0.38117440  0.69269145
   4   38  0.00000000  0.05000000  0.00000000  0.38117440  0.70444126
   4   39  0.00000000  0.05000000  0.00000000  0.38117440  0.70444131
   4   40  0.00000000  0.05000000  0.00000000  0.38117440  0.73506649
   4   41  0.00000000  0.05000000  0.00000000  0.38117440  0.73506650
   4   42  0.00000000  0.05000000  0.00000000  0.38117440  0.75733431
   4   43  0.00000000  0.05000000  0.00000000  0.38117440  0.75733532
   5    0  0.00000000  0.06250000  0.00000000  0.47646800 -5.36613523
   5    1  0.00000000  0.06250000  0.00000000  0.47646800 -5.36613523
   5    2  0.00000000  0.06250000  0.00000000  0.47646800 -3.18488477
   5    3  0.00000000  0.06250000  0.00000000  0.47646800 -3.18488454
   5    4  0.00000000  0.06250000  0.00000000  0.47646800 -2.98330695
   5    5  0.00000000  0.06250000  0.00000000  0.47646800 -2.98330683
   5    6  0.00000000  0.06250000  0.00000000  0.47646800 -2.96875121
   5    7  0.00000000  0.06250000  0.00000000  0.47646800 -2.96875109
   5    8  0.00000000  0.06250000  0.00000000  0.47646800 -1.24455860
   5    9  0.00000000  0.06250000  0.00000000  0.47646800 -1.24455858
   5   10  0.00000000  0.06250000  0.00000000  0.47646800 -1.11982947
   5   11  0.00000000  0.06250000  0.00000000  0.47646800 -1.11982947
   5   12  0.00000000  0.06250000  0.00000000  0.47646800 -0.47106754
   5   13  0.00000000  0.06250000  0.00000000  0.47646800 -0.47106748
   5   14  0.00000000  0.06250000  0.00000000  0.47646800 -0.23182403
   5   15  0.00000000  0.06250000  0.00000000  0.47646800 -0.23182380
   5   16  0.00000000  0.06250000  0.00000000  0.47646800 -0.22307225
   5   17  0.00000000  0.06250000  0.00000000  0.47646800 -0.22307219
   5   18  0.00000000  0.06250000  0.00000000  0.47646800 -0.21744290
   5   19  0.00000000  0.06250000  0.00000000  0.47646800 -0.21744231
   5   20  0.00000000  0.06250000  0.00000000  0.47646800 -0.14669237
   5   21  0.00000000  0.06250000  0.00000000  0.47646800 -0.14669232
   5   22  0.00000000  0.06250000  0.00000000  0.47646800 -0.12606954
   5   23  0.00000000  0.06250000  0.00000000  0.47646800 -0.12606944
   5   24  0.00000000  0.06250000  0.00000000  0.47646800 -0.03220697
   5   25  0.00000000  0.06250000  0.00000000  0.47646800 -0.03220561
   5   26  0.00000000  0.06250000  0.00000000  0.47646800  0.24433692
   5   27  0.00000000  0.06250000  0.00000000  0.47646800  0.24433695
   5   28  0.00000000  0.06250000  0.00000000  0.47646800  0.24808661
   5   29  0.00000000  0.06250000  0.00000000  0.47646800  0.24808938
   5   30  0.00000000  0.06250000  0.00000000  0.47646800  0.25656209
   5   31  0.00000000  0.06250000  0.00000000  0.47646800  0.25656772
   5   32  0.00000000  0.06250000  0.00000000  0.47646800  0.26233369
   5   33  0.00000000  0.06250000  0.00000000  0.47646800  0.26233444
   5   34  0.00000000  0.06250000  0.00000000  0.47646800  0.51233547
   5   35  0.00000000  0.06250000  0.00000000  0.47646800  0.51233566
   5   36  0.00000000  0.06250000  0.00000000  0.47646800  0.69360349
   5   37  0.00000000  0.06250000  0.00000000  0.47646800  0.69360365
   5   38  0.00000000  0.06250000  0.00000000  0.47646800  0.70457747
   5   39  0.00000000  0.06250000  0.00000000  0.47646800  0.70457753
   5   40  0.00000000  0.06250000  0.00000000  0.47646800  0.73571277
   5   41  0.00000000  0.06250000  0.00000000  0.47646800  0.73571279
   5   42  0.00000000  0.06250000  0.00000000  0.47646800  0.74980534
   5   43  0.00000000  0.06250000  0.00000000  0.47646800  0.74980637
   6    0  0.00000000  0.07500000  0.00000000  0.57176161 -5.36610913
   6    1  0.00000000  0.07500000  0.00000000  0.57176161 -5.36610913
   6    2  0.00000000  0.07500000  0.00000000  0.57176161 -3.18506750
   6    3  0.00000000  0.07500000  0.00000000  0.57176161 -3.18506723
   6    4  0.00000000  0.07500000  0.00000000  0.57176161 -2.98340055
   6    5  0.00000000  0.07500000  0.00000000  0.57176161 -2.98340041
   6    6  0.00000000  0.07500000  0.00000000  0.57176161 -2.96919411
   6    7  0.00000000  0.07500000  0.00000000  0.57176161 -2.96919397
   6    8  0.00000000  0.07500000  0.00000000  0.57176161 -1.24169934
   6    9  0.00000000  0.07500000  0.00000000  0.57176161 -1.24169932
   6   10  0.00000000  0.07500000  0.00000000  0.57176161 -1.11833923
   6   11  0.00000000  0.07500000  0.00000000  0.57176161 -1.11833923
   6   12  0.00000000  0.07500000  0.00000000  0.57176161 -0.46909980
   6   13  0.00000000  0.07500000  0.00000000  0.57176161 -0.46909973
   6   14  0.00000000  0.07500000  0.00000000  0.57176161 -0.23651285
   6   15  0.00000000  0.07500000  0.00000000  0.57176161 -0.23651257
   6   16  0.00000000  0.07500000  0.00000000  0.57176161 -0.22801129
   6   17  0.00000000  0.07500000  0.00000000  0.57176161 -0.22801125
   6   18  0.00000000  0.07500000  0.00000000  0.57176161 -0.21629007
   6   19  0.00000000  0.07500000  0.00000000  0.57176161 -0.21628930
   6   20  0.00000000  0.07500000  0.00000000  0.57176161 -0.14976016
   6   21  0.00000000  0.07500000  0.00000000  0.57176161 -0.14976007
   6   22  0.00000000  0.07500000  0.00000000  0.57176161 -0.12318197
   6   23  0.00000000  0.07500000  0.00000000  0.57176161 -0.12318188
   6   24  0.00000000  0.07500000  0.00000000  0.57176161 -0.03253680
   6   25  0.00000000  0.07500000  0.00000000  0.57176161 -0.03253539
   6   26  0.00000000  0.07500000  0.00000000  0.57176161  0.24130162
   6   27  0.00000000  0.07500000  0.00000000  0.57176161  0.24130292
   6   28  0.00000000  0.07500000  0.00000000  0.57176161  0.24418513
   6   29  0.00000000  0.07500000  0.00000000  0.57176161  0.24418738
   6   30  0.00000000  0.07500000  0.00000000  0.57176161  0.25537424
   6   31  0.00000000  0.07500000  0.00000000  0.57176161  0.25538106
   6   32  0.00000000  0.07500000  0.00000000  0.57176161  0.26581807
   6   33  0.00000000  0.07500000  0.00000000  0.57176161  0.26581907
   6   34  0.00000000  0.07500000  0.00000000  0.57176161  0.52120311
   6   35  0.00000000  0.07500000  0.00000000  0.57176161  0.52120334
   6   36  0.00000000  0.07500000  0.00000000  0.57176161  0.69455299
   6   37  0.00000000  0.07500000  0.00000000  0.57176161  0.69455320
   6   38  0.00000000  0.07500000  0.00000000  0.57176161  0.70501435
   6   39  0.00000000  0.07500000  0.00000000  0.57176161  0.70501441
   6   40  0.00000000  0.07500000  0.00000000  0.57176161  0.73634706
   6   41  0.00000000  0.07500000  0.00000000  0.57176161  0.73634708
   6   42  0.00000000  0.07500000  0.00000000  0.57176161  0.74383198
   6   43  0.00000000  0.07500000  0.00000000  0.57176161  0.74383298
   7    0  0.00000000  0.08750000  0.00000000  0.66705521 -5.36607701
   7    1  0.00000000  0.08750000  0.00000000  0.66705521 -5.36607701
   7    2  0.00000000  0.08750000  0.00000000  0.66705521 -3.18527998
   7    3  0.00000000  0.08750000  0.00000000  0.66705521 -3.18527968
   7    4  0.00000000  0.08750000  0.00000000  0.66705521 -2.98351195
   7    5  0.00000000  0.08750000  0.00000000  0.66705521 -2.98351179
   7    6  0.00000000  0.08750000  0.00000000  0.66705521 -2.96970114
   7    7  0.00000000  0.08750000  0.00000000  0.66705521 -2.96970098
   7    8  0.00000000  0.08750000  0.00000000  0.66705521 -1.23837617
   7    9  0.00000000  0.08750000  0.00000000  0.66705521 -1.23837614
   7   10  0.00000000  0.08750000  0.00000000  0.66705521 -1.11662956
   7   11  0.00000000  0.08750000  0.00000000  0.66705521 -1.11662955
   7   12  0.00000000  0.08750000  0.00000000  0.66705521 -0.46675399
   7   13  0.00000000  0.08750000  0.00000000  0.66705521 -0.46675390
   7   14  0.00000000  0.08750000  0.00000000  0.66705521 -0.24197236
   7   15  0.00000000  0.08750000  0.00000000  0.66705521 -0.24197202
   7   16  0.00000000  0.08750000  0.00000000  0.66705521 -0.23316452
   7   17  0.00000000  0.08750000  0.00000000  0.66705521 -0.23316450
   7   18  0.00000000  0.08750000  0.00000000  0.66705521 -0.21481779
   7   19  0.00000000  0.08750000  0.00000000  0.66705521 -0.21481685
   7   20  0.00000000  0.08750000  0.00000000  0.66705521 -0.15332492
   7   21  0.00000000  0.08750000  0.00000000  0.66705521 -0.15332480
   7   22  0.00000000  0.08750000  0.00000000  0.66705521 -0.12094299
   7   23  0.00000000  0.08750000  0.00000000  0.66705521 -0.12094294
   7   24  0.00000000  0.08750000  0.00000000  0.66705521 -0.03314386
   7   25  0.00000000  0.08750000  0.00000000  0.66705521 -0.03314249
   7   26  0.00000000  0.08750000  0.00000000  0.66705521  0.23732058
   7   27  0.00000000  0.08750000  0.00000000  0.66705521  0.23732449
   7   28  0.00000000  0.08750000  0.00000000  0.66705521  0.24093067
   7   29  0.00000000  0.08750000  0.00000000  0.66705521  0.24093115
   7   30  0.00000000  0.08750000  0.00000000  0.66705521  0.25393088
   7   31  0.00000000  0.08750000  0.00000000  0.66705521  0.25393884
   7   32  0.00000000  0.08750000  0.00000000  0.66705521  0.26986093
   7   33  0.00000000  0.08750000  0.00000000  0.66705521  0.26986211
   7   34  0.00000000  0.08750000  0.00000000  0.66705521  0.53114148
   7   35  0.00000000  0.08750000  0.00000000  0.66705521  0.53114175
   7   36  0.00000000  0.08750000  0.00000000  0.66705521  0.69543292
   7   37  0.00000000  0.08750000  0.00000000  0.66705521  0.69543320
   7   38  0.00000000  0.08750000  0.00000000  0.66705521  0.70586096
   7   39  0.00000000  0.08750000  0.00000000  0.66705521  0.70586103
   7   40  0.00000000  0.08750000  0.00000000  0.66705521  0.73681780
   7   41  0.00000000  0.08750000  0.00000000  0.66705521  0.73681782
   7   42  0.00000000  0.08750000  0.00000000  0.66705521  0.73931784
   7   43  0.00000000  0.08750000  0.00000000  0.66705521  0.73931876
   8    0  0.00000000  0.10000000  0.00000000  0.76234881 -5.36603835
   8    1  0.00000000  0.10000000  0.00000000  0.76234881 -5.36603835
   8    2  0.00000000  0.10000000  0.00000000  0.76234881 -3.18552068
   8    3  0.00000000  0.10000000  0.00000000  0.76234881 -3.18552034
   8    4  0.00000000  0.10000000  0.00000000  0.76234881 -2.98364198
   8    5  0.00000000  0.10000000  0.00000000  0.76234881 -2.98364181
   8    6  0.00000000  0.10000000  0.00000000  0.76234881 -2.97026467
   8    7  0.00000000  0.10000000  0.00000000  0.76234881 -2.97026449
   8    8  0.00000000  0.10000000  0.00000000  0.76234881 -1.23461361
   8    9  0.00000000  0.10000000  0.00000000  0.76234881 -1.23461358
   8   10  0.00000000  0.10000000  0.00000000  0.76234881 -1.11472277
   8   11  0.00000000  0.10000000  0.00000000  0.76234881 -1.11472276
   8   12  0.00000000  0.10000000  0.00000000  0.76234881 -0.46402838
   8   13  0.00000000  0.10000000  0.00000000  0.76234881 -0.46402828
   8   14  0.00000000  0.10000000  0.00000000  0.76234881 -0.24814033
   8   15  0.00000000  0.10000000  0.00000000  0.76234881 -0.24813993
   8   16  0.00000000  0.10000000  0.00000000  0.76234881 -0.23844259
   8   17  0.00000000  0.10000000  0.00000000  0.76234881 -0.23844257
   8   18  0.00000000  0.10000000  0.00000000  0.76234881 -0.21303926
   8   19  0.00000000  0.10000000  0.00000000  0.76234881 -0.21303814
   8   20  0.00000000  0.10000000  0.00000000  0.76234881 -0.15731540
   8   21  0.00000000  0.10000000  0.00000000  0.76234881 -0.15731525
   8   22  0.00000000  0.10000000  0.00000000  0.76234881 -0.11963294
   8   23  0.00000000  0.10000000  0.00000000  0.76234881 -0.11963293
   8   24  0.00000000  0.10000000  0.00000000  0.76234881 -0.03412058
   8   25  0.00000000  0.10000000  0.00000000  0.76234881 -0.03411938
   8   26  0.00000000  0.10000000  0.00000000  0.76234881  0.23256498
   8   27  0.00000000  0.10000000  0.00000000  0.76234881  0.23257086
   8   28  0.00000000  0.10000000  0.00000000  0.76234881  0.23859552
   8   29  0.00000000  0.10000000  0.00000000  0.76234881  0.23859605
   8   30  0.00000000  0.10000000  0.00000000  0.76234881  0.25226072
   8   31  0.00000000  0.10000000  0.00000000  0.76234881  0.25226982
   8   32  0.00000000  0.10000000  0.00000000  0.76234881  0.27433767
   8   33  0.00000000  0.10000000  0.00000000  0.76234881  0.27433903
   8   34  0.00000000  0.10000000  0.00000000  0.76234881  0.54192160
   8   35  0.00000000  0.10000000  0.00000000  0.76234881  0.54192192
   8   36  0.00000000  0.10000000  0.00000000  0.76234881  0.69613429
   8   37  0.00000000  0.10000000  0.00000000  0.76234881  0.69613465
   8   38  0.00000000  0.10000000  0.00000000  0.76234881  0.70721372
   8   39  0.00000000  0.10000000  0.00000000  0.76234881  0.70721379
