# Generated by LORRAX 0.1.0 at 2026-08-01 03:06:41 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=37  sigX=   -5.782301              sigC=   -4.805006+ -0.000003i  sigXC=  -10.587307+ -0.000003i  VH=  340.366039  Eo=    3.861179
n=38  sigX=   -3.846650              sigC=   -4.030915+ -0.000001i  sigXC=   -7.877565+ -0.000001i  VH=  141.716296  Eo=    3.994606
n=39  sigX=   -3.846650              sigC=   -4.030915+ -0.000001i  sigXC=   -7.877565+ -0.000001i  VH=  141.716296  Eo=    3.994606
n=40  sigX=   -2.441538              sigC=   -3.749963+ -0.000003i  sigXC=   -6.191501+ -0.000003i  VH=   25.375357  Eo=    4.811435
n=41  sigX=   -2.441538              sigC=   -3.749963+ -0.000003i  sigXC=   -6.191501+ -0.000003i  VH=   25.375357  Eo=    4.811435
n=42  sigX=   -5.847746              sigC=   -5.322864+  0.000051i  sigXC=  -11.170610+  0.000051i  VH=  363.984502  Eo=    5.757113
n=43  sigX=   -5.847746              sigC=   -5.322864+  0.000051i  sigXC=  -11.170610+  0.000051i  VH=  363.984502  Eo=    5.757113

k-point 1:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -40.544965              sigC=    4.335628+  0.000920i  sigXC=  -36.209337+  0.000920i  VH=  602.515716  Eo=  -66.141186
n=1   sigX=  -40.544965              sigC=    4.335628+  0.000920i  sigXC=  -36.209337+  0.000920i  VH=  602.515716  Eo=  -66.141186
n=2   sigX=  -33.290847              sigC=    3.848205+ -0.003750i  sigXC=  -29.442642+ -0.003750i  VH=  587.986539  Eo=  -41.938956
n=3   sigX=  -33.290847              sigC=    3.848205+ -0.003750i  sigXC=  -29.442642+ -0.003750i  VH=  587.986539  Eo=  -41.938956
n=4   sigX=  -32.695425              sigC=    3.952080+ -0.002476i  sigXC=  -28.743345+ -0.002476i  VH=  582.976778  Eo=  -39.503219
n=5   sigX=  -32.695425              sigC=    3.952080+ -0.002476i  sigXC=  -28.743345+ -0.002476i  VH=  582.976778  Eo=  -39.503219
n=6   sigX=  -32.684464              sigC=    3.855273+ -0.001102i  sigXC=  -28.829191+ -0.001102i  VH=  588.219173  Eo=  -39.394090
n=7   sigX=  -32.684464              sigC=    3.855273+ -0.001102i  sigXC=  -28.829191+ -0.001102i  VH=  588.219173  Eo=  -39.394090
n=8   sigX=  -21.893075              sigC=    5.644638+ -0.004528i  sigXC=  -16.248438+ -0.004528i  VH=  385.347943  Eo=  -18.591341
n=9   sigX=  -21.893075              sigC=    5.644638+ -0.004528i  sigXC=  -16.248438+ -0.004528i  VH=  385.347943  Eo=  -18.591341
n=10  sigX=  -21.779724              sigC=    5.699524+ -0.005821i  sigXC=  -16.080200+ -0.005821i  VH=  363.119321  Eo=  -17.824847
