# Generated by LORRAX 0.1.0 at 2026-08-01 03:06:41 UTC
  0.000000000  0.000000000  0.000000000      44
       1       1  -66.161155819  -78.130194613
       1       2  -66.161155819  -78.130194613
       1       3  -41.883442071  -48.446221520
       1       4  -41.883442071  -48.446221525
       1       5  -39.455488415  -45.706530611
       1       6  -39.455488415  -45.706530618
       1       7  -39.293255363  -45.497007069
       1       8  -39.293255363  -45.497007071
       1       9  -19.432616059  -22.143278721
       1      10  -19.432616059  -22.143278721
       1      11  -18.187517139  -20.403743307
       1      12  -18.187517139  -20.403743307
       1      13  -10.932789978  -11.588389096
       1      14  -10.932789978  -11.588389096
       1      15   -7.851525121   -8.141616762
       1      16   -7.851525121   -8.141616762
       1      17   -7.784730688   -8.096839090
       1      18   -7.784730688   -8.096839091
       1      19   -7.129180642   -7.947077127
       1      20   -7.129180642   -7.947077126
       1      21   -6.760709762   -7.049706824
       1      22   -6.760709762   -7.049706825
       1      23   -6.674676574   -6.963879219
       1      24   -6.674676574   -6.963879218
       1      25   -5.360241329   -5.556488102
       1      26   -5.360241329   -5.556488101
       1      27   -2.557311110   -1.716228115
       1      28   -2.557311110   -1.716228115
       1      29   -2.480057298   -1.648258736
       1      30   -2.480057298   -1.648258736
       1      31   -2.329487835   -1.588472718
       1      32   -2.329487835   -1.588472717
       1      33   -2.324752957   -1.585587322
       1      34   -2.324752957   -1.585587322
       1      35    1.034518820    1.553542837
       1      36    1.034518820    1.553542837
       1      37    3.861179002    4.469605787
       1      38    3.861179002    4.469605787
       1      39    3.994606274    4.279268077
       1      40    3.994606274    4.279268077
       1      41    4.811434558    4.863149848
       1      42    4.811434558    4.863149848
       1      43    5.757112619    6.571738078
       1      44    5.757112619    6.571738078
  0.000000000  0.250000000  0.000000000      44
       1       1  -66.141185924  -78.113170388
       1       2  -66.141185924  -78.113170367
       1       3  -41.938955593  -48.521463678
       1       4  -41.938955542  -48.521455551
       1       5  -39.503219220  -45.770493500
       1       6  -39.503219218  -45.770489356
       1       7  -39.394090168  -45.633595480
       1       8  -39.394090105  -45.633591297
       1       9  -18.591341438  -20.961270454
