JAX: 1 gpu devices
== kin_ion_io ==
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_A_figures/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'output_file' is no longer supported and will be ignored.  ``output_file`` (LORRAX-native eqp0) is now ``sigma_diag_file`` (defaults to ``sigma_diag.dat``); BGW-format ``eqp0.dat`` and ``eqp1.dat`` (with Z-linearization) are written automatically.  Remove 'output_file' from your input file.
  params = read_cohsex_input(args.input)
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_A_figures/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'self_consistent' is deprecated; it is honored via ``qp_solver = auto`` resolution.  Set 'qp_solver = self_consistent' instead.
  params = read_cohsex_input(args.input)
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_A_figures/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'sigma_at_dft_energies' is deprecated; it is honored via ``qp_solver = auto`` resolution.  Set 'qp_solver = one_shot_dft (the default)' instead.
  params = read_cohsex_input(args.input)
Loading WFN: WFN.h5
Bands: 200, FFT grid: (24, 24, 80), k-points: 36
sys_dim: 2
Devices: 1
Pseudopotentials: ['Mo', 'S']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 36 k-points...
  k=1/36...
  k=17/36...
  k=33/36...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/A_bse_figures_2026-07-20/00_lorrax_gw_gnppm/kin_ion.h5...
Wrote kin_ion.h5: shape (36, 200, 200), sys_dim=2
--- Timing (seconds) ---
Total recorded: 10.284 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       0.068       0.068    0.7
build_V_loc                                            1       1.033       1.033   10.0
k0                                                     1       1.552       1.552   15.1
k1                                                     1       1.290       1.290   12.5
k2                                                     1       1.199       1.199   11.7
k3                                                     1       1.176       1.176   11.4
k4                                                     1       0.034       0.034    0.3
k5                                                     1       0.035       0.035    0.3
k6                                                     1       0.090       0.090    0.9
k7                                                     1       1.209       1.209   11.8
k8                                                     1       0.052       0.052    0.5
k9                                                     1       0.051       0.051    0.5
k10                                                    1       0.059       0.059    0.6
k11                                                    1       0.105       0.105    1.0
k12                                                    1       0.063       0.063    0.6
k13                                                    1       0.051       0.051    0.5
k14                                                    1       1.169       1.169   11.4
k15                                                    1       0.123       0.123    1.2
k16                                                    1       0.060       0.060    0.6
k17                                                    1       0.038       0.038    0.4
k18                                                    1       0.057       0.057    0.6
k19                                                    1       0.047       0.047    0.5
k20                                                    1       0.051       0.051    0.5
k21                                                    1       0.050       0.050    0.5
k22                                                    1       0.032       0.032    0.3
k23                                                    1       0.040       0.040    0.4
k24                                                    1       0.078       0.078    0.8
k25                                                    1       0.058       0.058    0.6
k26                                                    1       0.031       0.031    0.3
k27                                                    1       0.030       0.030    0.3
k28                                                    1       0.030       0.030    0.3
k29                                                    1       0.035       0.035    0.3
k30                                                    1       0.034       0.034    0.3
k31                                                    1       0.035       0.035    0.3
k32                                                    1       0.035       0.035    0.3
k33                                                    1       0.036       0.036    0.3
k34                                                    1       0.035       0.035    0.3
k35                                                    1       0.077       0.077    0.8
write_h5                                               1       0.035       0.035    0.3
