
 frequency_dependence   3

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  =  1
 mtrx01 =  1  0  0  0  1  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -5.697005295   -5.697005295  -16.544138878   13.851831411   -7.096087809   -9.788395276    5.102678584   -4.685716692   -5.209595317   -7.096087809   -9.788395276   -4.685716692   -5.209595317    0.481969219
   2   -5.697005295   -5.697005295  -16.544138878   13.851831411   -7.096087809   -9.788395276    5.102678584   -4.685716692   -5.209595317   -7.096087809   -9.788395276   -4.685716692   -5.209595317    0.481969219
   3    6.246361473    6.246361473  -13.713695353   10.113967551   -8.512720358  -12.112448160   17.950204006    5.837755846    5.923510509   -8.512720358  -12.112448160    5.837755846    5.923510509    0.790128532
   4    6.246361473    6.246361473  -13.713695353   10.113967551   -8.512720358  -12.112448160   17.950204006    5.837755846    5.923510509   -8.512720358  -12.112448160    5.837755846    5.923510509    0.790128532
   5    6.294141835    6.294141835  -13.700813739    9.916018788   -8.325374288  -12.110169238   17.993106913    5.882937675    5.969197232   -8.325374288  -12.110169238    5.882937675    5.969197232    0.790226933
   6    6.294141835    6.294141835  -13.700813739    9.916018788   -8.325374288  -12.110169238   17.993106913    5.882937675    5.969197232   -8.325374288  -12.110169238    5.882937675    5.969197232    0.790226933
   7    6.294141835    6.294141835  -13.700813739    9.916018788   -8.325374288  -12.110169238   17.993106913    5.882937675    5.969197232   -8.325374288  -12.110169238    5.882937675    5.969197232    0.790226933
   8    6.294141835    6.294141835  -13.700813739    9.916018788   -8.325374288  -12.110169238   17.993106913    5.882937675    5.969197232   -8.325374288  -12.110169238    5.882937675    5.969197232    0.790226933
   9    8.792480496    8.792480496   -4.923681358    3.674204066   -8.401984055   -9.651461347   19.123349945    9.471888598    9.329925833   -8.401984055   -9.651461347    9.471888598    9.329925833    0.791049350
  10    8.792480496    8.792480496   -4.923681358    3.674204066   -8.401984055   -9.651461347   19.123349945    9.471888598    9.329925833   -8.401984055   -9.651461347    9.471888598    9.329925833    0.791049350
  11    8.827245701    8.827245701   -4.911833781    3.842034339   -8.577082673   -9.646882115   19.150476097    9.503593982    9.362612328   -8.577082673   -9.646882115    9.503593982    9.362612328    0.791554651
  12    8.827245701    8.827245701   -4.911833781    3.842034339   -8.577082673   -9.646882115   19.150476097    9.503593982    9.362612328   -8.577082673   -9.646882115    9.503593982    9.362612328    0.791554651
  13    8.827245701    8.827245701   -4.911833781    3.842034339   -8.577082673   -9.646882115   19.150476097    9.503593982    9.362612328   -8.577082673   -9.646882115    9.503593982    9.362612328    0.791554651
  14    8.827245701    8.827245701   -4.911833781    3.842034339   -8.577082673   -9.646882115   19.150476097    9.503593982    9.362612328   -8.577082673   -9.646882115    9.503593982    9.362612328    0.791554651
  15    9.625622065    9.625622065   -5.000732920    3.450719622   -9.013198852  -10.563212150   21.353472584   10.790260434   10.525683922   -9.013198852  -10.563212150   10.790260434   10.525683922    0.772825180
  16    9.625622065    9.625622065   -5.000732920    3.450719622   -9.013198852  -10.563212150   21.353472584   10.790260434   10.525683922   -9.013198852  -10.563212150   10.790260434   10.525683922    0.772825180
 
       k = -0.000000 -0.000000  0.500000 ik =   2 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.363046818   -3.363046818  -16.065747568   11.853289495   -7.448868581  -11.661326654    7.884640040   -3.776686614   -3.799590062   -7.448868581  -11.661326654   -3.776686614   -3.799590062    1.055370514
   2   -3.363046818   -3.363046818  -16.065747568   11.853289495   -7.448868581  -11.661326654    7.884640040   -3.776686614   -3.799590062   -7.448868581  -11.661326654   -3.776686614   -3.799590062    1.055370514
   3   -0.707274858   -0.707274858  -13.867984732   10.446142105   -7.330391574  -10.752234200    9.791021862   -0.961212338   -0.912488767   -7.330391574  -10.752234200   -0.961212338   -0.912488767    0.808127687
   4   -0.707274858   -0.707274858  -13.867984732   10.446142105   -7.330391574  -10.752234200    9.791021862   -0.961212338   -0.912488767   -7.330391574  -10.752234200   -0.961212338   -0.912488767    0.808127687
   5    5.056658076    5.056658076  -13.538588447   10.009595303   -8.261127079  -11.790120223   16.470572830    4.680452607    4.760423889   -8.261127079  -11.790120223    4.680452607    4.760423889    0.787426585
   6    5.056658076    5.056658076  -13.538588447   10.009595303   -8.261127079  -11.790120223   16.470572830    4.680452607    4.760423889   -8.261127079  -11.790120223    4.680452607    4.760423889    0.787426585
   7    5.088288518    5.088288518  -13.527872844    9.998896940   -8.259165157  -11.788141061   16.498851467    4.710710405    4.790943827   -8.259165157  -11.788141061    4.710710405    4.790943827    0.787505106
   8    5.088288518    5.088288518  -13.527872844    9.998896940   -8.259165157  -11.788141061   16.498851467    4.710710405    4.790943827   -8.259165157  -11.788141061    4.710710405    4.790943827    0.787505106
   9    7.800189171    7.800189171   -5.037736766    3.748839827   -8.462888214   -9.751785153   18.352337179    8.600552026    8.433295357   -8.462888214   -9.751785153    8.600552026    8.433295357    0.791023949
  10    7.800189171    7.800189171   -5.037736766    3.748839827   -8.462888214   -9.751785153   18.352337179    8.600552026    8.433295357   -8.462888214   -9.751785153    8.600552026    8.433295357    0.791023949
  11    9.587046911    9.587046911   -4.431172331    3.401239878   -8.210762595   -9.240695048   19.474283811   10.233588764   10.100619097   -8.210762595   -9.240695048   10.233588764   10.100619097    0.794337109
  12    9.587046911    9.587046911   -4.431172331    3.401239878   -8.210762595   -9.240695048   19.474283811   10.233588764   10.100619097   -8.210762595   -9.240695048   10.233588764   10.100619097    0.794337109
  13    9.601404866    9.601404866   -4.426382890    3.462326966   -8.272961381   -9.237017304   19.482741457   10.245724153   10.113269810   -8.272961381   -9.237017304   10.245724153   10.113269810    0.794427475
  14    9.601404866    9.601404866   -4.426382890    3.462326966   -8.272961381   -9.237017304   19.482741457   10.245724153   10.113269810   -8.272961381   -9.237017304   10.245724153   10.113269810    0.794427475
  15   13.996111838   13.996111838   -2.020345622    0.015602271   -5.903890914   -7.908634266   21.840256173   13.931621907   13.941586450   -5.903890914   -7.908634266   13.931621907   13.941586450    0.845486850
  16   13.996111838   13.996111838   -2.020345622    0.015602271   -5.903890914   -7.908634266   21.840256173   13.931621907   13.941586450   -5.903890914   -7.908634266   13.931621907   13.941586450    0.845486850
 
       k =  0.000000  0.500000 -0.000000 ik =   3 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.363046818   -3.363046818  -16.065747568   11.853271166   -7.448868700  -11.661345101    7.884640040   -3.776705061   -3.799619551   -7.448868700  -11.661345101   -3.776705061   -3.799619551    1.055394737
   2   -3.363046818   -3.363046818  -16.065747568   11.853271166   -7.448868700  -11.661345101    7.884640040   -3.776705061   -3.799619551   -7.448868700  -11.661345101   -3.776705061   -3.799619551    1.055394737
   3   -0.707274858   -0.707274858  -13.867984732   10.446141623   -7.330391335  -10.752234444    9.791021862   -0.961212582   -0.912488968   -7.330391335  -10.752234444   -0.961212582   -0.912488968    0.808127705
   4   -0.707274858   -0.707274858  -13.867984732   10.446141623   -7.330391335  -10.752234444    9.791021862   -0.961212582   -0.912488968   -7.330391335  -10.752234444   -0.961212582   -0.912488968    0.808127705
   5    5.056658076    5.056658076  -13.538588447   10.009588272   -8.261120194  -11.790120369   16.470572830    4.680452461    4.760423774   -8.261120194  -11.790120369    4.680452461    4.760423774    0.787426583
   6    5.056658076    5.056658076  -13.538588447   10.009588272   -8.261120194  -11.790120369   16.470572830    4.680452461    4.760423774   -8.261120194  -11.790120369    4.680452461    4.760423774    0.787426583
   7    5.088288518    5.088288518  -13.527872844    9.998890984   -8.259159349  -11.788141208   16.498851466    4.710710258    4.790943711   -8.259159349  -11.788141208    4.710710258    4.790943711    0.787505104
   8    5.088288518    5.088288518  -13.527872844    9.998890984   -8.259159349  -11.788141208   16.498851466    4.710710258    4.790943711   -8.259159349  -11.788141208    4.710710258    4.790943711    0.787505104
   9    7.800189171    7.800189171   -5.037736766    3.748845819   -8.462894176   -9.751785123   18.352337178    8.600552055    8.433295387   -8.462894176   -9.751785123    8.600552055    8.433295387    0.791023957
  10    7.800189171    7.800189171   -5.037736766    3.748845819   -8.462894176   -9.751785123   18.352337178    8.600552055    8.433295387   -8.462894176   -9.751785123    8.600552055    8.433295387    0.791023957
  11    9.587046911    9.587046911   -4.431172331    3.401241872   -8.210764438   -9.240694896   19.474283812   10.233588916   10.100619185   -8.210764438   -9.240694896   10.233588916   10.100619185    0.794337058
  12    9.587046911    9.587046911   -4.431172331    3.401241872   -8.210764438   -9.240694896   19.474283812   10.233588916   10.100619185   -8.210764438   -9.240694896   10.233588916   10.100619185    0.794337058
  13    9.601404866    9.601404866   -4.426382890    3.462326493   -8.272960757   -9.237017154   19.482741458   10.245724304   10.113269978   -8.272960757   -9.237017154   10.245724304   10.113269978    0.794427549
  14    9.601404866    9.601404866   -4.426382890    3.462326493   -8.272960757   -9.237017154   19.482741458   10.245724304   10.113269978   -8.272960757   -9.237017154   10.245724304   10.113269978    0.794427549
  15   13.996111838   13.996111838   -2.020345622    0.015638011   -5.903926823   -7.908634434   21.840256174   13.931621739   13.941585870   -5.903926823   -7.908634434   13.931621739   13.941585870    0.845493640
  16   13.996111838   13.996111838   -2.020345622    0.015638011   -5.903926823   -7.908634434   21.840256174   13.931621739   13.941585870   -5.903926823   -7.908634434   13.931621739   13.941585870    0.845493640
 
       k =  0.000000  0.500000  0.500000 ik =   4 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -1.549907257   -1.549907257  -15.235200030   11.314104041   -7.597577500  -11.518673489    9.700171771   -1.818501718   -1.768333343   -7.597577500  -11.518673489   -1.818501718   -1.768333343    0.813218874
   2   -1.549907257   -1.549907257  -15.235200030   11.314104041   -7.597577500  -11.518673489    9.700171771   -1.818501718   -1.768333343   -7.597577500  -11.518673489   -1.818501718   -1.768333343    0.813218874
   3   -1.549907257   -1.549907257  -15.235200030   11.314104041   -7.597577500  -11.518673489    9.700171771   -1.818501718   -1.768333343   -7.597577500  -11.518673489   -1.818501718   -1.768333343    0.813218874
   4   -1.549907257   -1.549907257  -15.235200030   11.314104041   -7.597577500  -11.518673489    9.700171771   -1.818501718   -1.768333343   -7.597577500  -11.518673489   -1.818501718   -1.768333343    0.813218874
   5    3.412332482    3.412332482  -13.262303122    9.631857937   -7.618007446  -11.248452631   14.297996443    3.049543813    3.128133066   -7.618007446  -11.248452631    3.049543813    3.128133066    0.783374566
   6    3.412332482    3.412332482  -13.262303122    9.631857937   -7.618007446  -11.248452631   14.297996443    3.049543813    3.128133066   -7.618007446  -11.248452631    3.049543813    3.128133066    0.783374566
   7    3.412332482    3.412332482  -13.262303122    9.631857937   -7.618007446  -11.248452631   14.297996443    3.049543813    3.128133066   -7.618007446  -11.248452631    3.049543813    3.128133066    0.783374566
   8    3.412332482    3.412332482  -13.262303122    9.631857937   -7.618007446  -11.248452631   14.297996443    3.049543813    3.128133066   -7.618007446  -11.248452631    3.049543813    3.128133066    0.783374566
   9    6.968806361    6.968806361   -4.201194557    2.950512945   -7.405559210   -8.656240822   16.146090671    7.489849849    7.386902371   -7.405559210   -8.656240822    7.489849849    7.386902371    0.802420566
  10    6.968806361    6.968806361   -4.201194557    2.950512945   -7.405559210   -8.656240822   16.146090671    7.489849849    7.386902371   -7.405559210   -8.656240822    7.489849849    7.386902371    0.802420566
  11    6.968806361    6.968806361   -4.201194557    2.950512945   -7.405559210   -8.656240822   16.146090671    7.489849849    7.386902371   -7.405559210   -8.656240822    7.489849849    7.386902371    0.802420566
  12    6.968806361    6.968806361   -4.201194557    2.950512945   -7.405559210   -8.656240822   16.146090671    7.489849849    7.386902371   -7.405559210   -8.656240822    7.489849849    7.386902371    0.802420566
  13   16.360897211   16.360897211   -3.769921622    0.011224484   -7.007933111  -10.766630250   27.465362153   16.698731904   16.648888153   -7.007933111  -10.766630250   16.698731904   16.648888153    0.852461125
  14   16.360897211   16.360897211   -3.769921622    0.011224484   -7.007933111  -10.766630250   27.465362153   16.698731904   16.648888153   -7.007933111  -10.766630250   16.698731904   16.648888153    0.852461125
  15   16.360897211   16.360897211   -3.769921622    0.011224484   -7.007933111  -10.766630250   27.465362153   16.698731904   16.648888153   -7.007933111  -10.766630250   16.698731904   16.648888153    0.852461125
  16   16.360897211   16.360897211   -3.769921622    0.011224484   -7.007933111  -10.766630250   27.465362153   16.698731904   16.648888153   -7.007933111  -10.766630250   16.698731904   16.648888153    0.852461125
 
       k =  0.500000  0.000000  0.000000 ik =   5 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.363046818   -3.363046818  -16.065747568   11.863379366   -7.448731136  -11.651099338    7.884640040   -3.766459298   -3.779689002   -7.448731136  -11.651099338   -3.766459298   -3.779689002    1.032794484
   2   -3.363046818   -3.363046818  -16.065747568   11.863379366   -7.448731136  -11.651099338    7.884640040   -3.766459298   -3.779689002   -7.448731136  -11.651099338   -3.766459298   -3.779689002    1.032794484
   3   -0.707274858   -0.707274858  -13.867984732   10.445959777   -7.330226431  -10.752251386    9.791021862   -0.961229524   -0.912495181   -7.330226431  -10.752251386   -0.961229524   -0.912495181    0.808098258
   4   -0.707274858   -0.707274858  -13.867984732   10.445959777   -7.330226431  -10.752251386    9.791021862   -0.961229524   -0.912495181   -7.330226431  -10.752251386   -0.961229524   -0.912495181    0.808098258
   5    5.056658076    5.056658076  -13.538588447   10.015999674   -8.267891964  -11.790480737   16.470572830    4.680092093    4.760143931   -8.267891964  -11.790480737    4.680092093    4.760143931    0.787416173
   6    5.056658076    5.056658076  -13.538588447   10.015999674   -8.267891964  -11.790480737   16.470572830    4.680092093    4.760143931   -8.267891964  -11.790480737    4.680092093    4.760143931    0.787416173
   7    5.088288518    5.088288518  -13.527872844   10.003754836   -8.264385010  -11.788503018   16.498851466    4.710348448    4.790662853   -8.264385010  -11.788503018    4.710348448    4.790662853    0.787494337
   8    5.088288518    5.088288518  -13.527872844   10.003754836   -8.264385010  -11.788503018   16.498851466    4.710348448    4.790662853   -8.264385010  -11.788503018    4.710348448    4.790662853    0.787494337
   9    7.800189171    7.800189171   -5.037736766    3.705618290   -8.418713163   -9.750831640   18.352337178    8.601505538    8.434055943   -8.418713163   -9.750831640    8.601505538    8.434055943    0.791031854
  10    7.800189171    7.800189171   -5.037736766    3.705618290   -8.418713163   -9.750831640   18.352337178    8.601505538    8.434055943   -8.418713163   -9.750831640    8.601505538    8.434055943    0.791031854
  11    9.587046911    9.587046911   -4.431172331    3.399702887   -8.208618536   -9.240087979   19.474283812   10.234195833   10.101130421   -8.208618536   -9.240087979   10.234195833   10.101130421    0.794382086
  12    9.587046911    9.587046911   -4.431172331    3.399702887   -8.208618536   -9.240087979   19.474283812   10.234195833   10.101130421   -8.208618536   -9.240087979   10.234195833   10.101130421    0.794382086
  13    9.601404866    9.601404866   -4.426382890    3.459105027   -8.269133224   -9.236411087   19.482741458   10.246330371   10.113774920   -8.269133224   -9.236411087   10.246330371   10.113774920    0.794463935
  14    9.601404866    9.601404866   -4.426382890    3.459105027   -8.269133224   -9.236411087   19.482741458   10.246330371   10.113774920   -8.269133224   -9.236411087   10.246330371   10.113774920    0.794463935
  15   13.996111838   13.996111838   -2.020345622    0.016412924   -5.903516908   -7.907449607   21.840256174   13.932806567   13.942667670   -5.903516908   -7.907449607   13.932806567   13.942667670    0.844229364
  16   13.996111838   13.996111838   -2.020345622    0.016412924   -5.903516908   -7.907449607   21.840256174   13.932806567   13.942667670   -5.903516908   -7.907449607   13.932806567   13.942667670    0.844229364
 
       k =  0.500000  0.000000  0.500000 ik =   6 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -1.549907257   -1.549907257  -15.235200030   11.314104337   -7.597577497  -11.518673190    9.700171771   -1.818501419   -1.768333054   -7.597577497  -11.518673190   -1.818501419   -1.768333054    0.813218706
   2   -1.549907257   -1.549907257  -15.235200030   11.314104337   -7.597577497  -11.518673190    9.700171771   -1.818501419   -1.768333054   -7.597577497  -11.518673190   -1.818501419   -1.768333054    0.813218706
   3   -1.549907257   -1.549907257  -15.235200030   11.314104337   -7.597577497  -11.518673190    9.700171771   -1.818501419   -1.768333054   -7.597577497  -11.518673190   -1.818501419   -1.768333054    0.813218706
   4   -1.549907257   -1.549907257  -15.235200030   11.314104337   -7.597577497  -11.518673190    9.700171771   -1.818501419   -1.768333054   -7.597577497  -11.518673190   -1.818501419   -1.768333054    0.813218706
   5    3.412332482    3.412332482  -13.262303122    9.631857968   -7.618007439  -11.248452593   14.297996444    3.049543850    3.128133095   -7.618007439  -11.248452593    3.049543850    3.128133095    0.783374566
