# idx_k idx_b kx ky kz s energy
   0    0  0.00000000  0.00000000  0.00000000  0.00000000 -5.70201973
   0    1  0.00000000  0.00000000  0.00000000  0.00000000 -5.70201973
   0    2  0.00000000  0.00000000  0.00000000  0.00000000 -3.46848104
   0    3  0.00000000  0.00000000  0.00000000  0.00000000 -3.46848103
   0    4  0.00000000  0.00000000  0.00000000  0.00000000 -3.26375419
   0    5  0.00000000  0.00000000  0.00000000  0.00000000 -3.26375419
   0    6  0.00000000  0.00000000  0.00000000  0.00000000 -3.25246342
   0    7  0.00000000  0.00000000  0.00000000  0.00000000 -3.25246340
   0    8  0.00000000  0.00000000  0.00000000  0.00000000 -1.43152693
   0    9  0.00000000  0.00000000  0.00000000  0.00000000 -1.43152693
   0   10  0.00000000  0.00000000  0.00000000  0.00000000 -1.28045131
   0   11  0.00000000  0.00000000  0.00000000  0.00000000 -1.28045131
   0   12  0.00000000  0.00000000  0.00000000  0.00000000 -0.55238832
   0   13  0.00000000  0.00000000  0.00000000  0.00000000 -0.55238832
   0   14  0.00000000  0.00000000  0.00000000  0.00000000 -0.33296964
   0   15  0.00000000  0.00000000  0.00000000  0.00000000 -0.33296964
   0   16  0.00000000  0.00000000  0.00000000  0.00000000 -0.32789870
   0   17  0.00000000  0.00000000  0.00000000  0.00000000 -0.32789869
   0   18  0.00000000  0.00000000  0.00000000  0.00000000 -0.25612610
   0   19  0.00000000  0.00000000  0.00000000  0.00000000 -0.25612610
   0   20  0.00000000  0.00000000  0.00000000  0.00000000 -0.22913262
   0   21  0.00000000  0.00000000  0.00000000  0.00000000 -0.22913262
   0   22  0.00000000  0.00000000  0.00000000  0.00000000 -0.22244743
   0   23  0.00000000  0.00000000  0.00000000  0.00000000 -0.22244743
   0   24  0.00000000  0.00000000  0.00000000  0.00000000 -0.10196262
   0   25  0.00000000  0.00000000  0.00000000  0.00000000 -0.10196262
   0   26  0.00000000  0.00000000  0.00000000  0.00000000  0.29231270
   0   27  0.00000000  0.00000000  0.00000000  0.00000000  0.29231279
   0   28  0.00000000  0.00000000  0.00000000  0.00000000  0.29728704
   0   29  0.00000000  0.00000000  0.00000000  0.00000000  0.29728704
   1    0  0.00000000  0.05000000  0.00000000  0.38117440 -5.70047339
   1    1  0.00000000  0.05000000  0.00000000  0.38117440 -5.70047339
   1    2  0.00000000  0.05000000  0.00000000  0.38117440 -3.46650531
   1    3  0.00000000  0.05000000  0.00000000  0.38117440 -3.46650529
   1    4  0.00000000  0.05000000  0.00000000  0.38117440 -3.26069248
   1    5  0.00000000  0.05000000  0.00000000  0.38117440 -3.26069248
   1    6  0.00000000  0.05000000  0.00000000  0.38117440 -3.25067996
   1    7  0.00000000  0.05000000  0.00000000  0.38117440 -3.25067995
   1    8  0.00000000  0.05000000  0.00000000  0.38117440 -1.41958118
   1    9  0.00000000  0.05000000  0.00000000  0.38117440 -1.41958118
   1   10  0.00000000  0.05000000  0.00000000  0.38117440 -1.27020802
   1   11  0.00000000  0.05000000  0.00000000  0.38117440 -1.27020802
