kCommandBuffer 	
kFft           	
kFft           	
kKernel        	, kernel = loop_multiply_fusion, launch dimensions = blocks: {7200, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft           	
kKernel        	, kernel = loop_complex_fusion, launch dimensions = blocks: {900, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel        	, kernel = input_transpose_fusion, launch dimensions = blocks: {12800, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kGemm          	
kAllReduceStart	
kGemm          	
kAllReduceStart	
