# neig  =       100
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  3.39438427E+00  9.00172007E-04  2.62687671E-02  1.44956505E-02
  3.39606842E+00  9.37400423E-04  2.04999218E-02  2.27410120E-02
  3.39642225E+00  1.76138778E-03  2.64819712E-02  -3.25590692E-02
  3.39762464E+00  1.08275718E-04  6.64386022E-03  -8.00842305E-03
  3.39780023E+00  1.10671978E-02  -6.75480524E-02  8.06502227E-02
  3.39810868E+00  1.68115533E-05  -3.87370929E-03  -1.34384881E-03
  3.41715699E+00  4.61965800E-03  3.89324466E-02  5.57128585E-02
  3.41720004E+00  2.98818097E-01  -5.26144889E-01  1.48289085E-01
  3.41747912E+00  1.31953612E-02  9.47320875E-02  6.49707076E-02
  3.41754288E+00  4.97340480E-02  -1.59373658E-01  -1.55993863E-01
  3.41778383E+00  1.03384184E+00  9.85591371E-01  -2.49902950E-01
  3.41832041E+00  1.41199629E-03  -3.44817733E-02  -1.49333051E-02
  3.41857281E+00  2.18125622E-03  2.59037137E-02  3.88619844E-02
  3.41860445E+00  7.01332277E-03  -1.52911162E-02  -8.23377467E-02
  3.41871704E+00  2.27502529E-03  4.13609997E-02  -2.37548522E-02
  3.41913032E+00  7.56000225E-02  -1.50790602E-01  2.29917848E-01
  3.41963119E+00  6.76685860E-02  1.70750584E-01  1.96246845E-01
  3.41969455E+00  4.70124647E-02  -1.29289455E-01  -1.74059477E-01
