✓ JAX initialized: 1 device(s) (local: 1, proc 0/1)
Over-sampling: k-means M = 4800, prune to N_c = 3200 (ratio 1.5)
[charge_density] source='auto' → reading /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si_pseudobands/00_si_2x2x2_60Ry/qe/scf/silicon.save/charge-density.hdf5
Charge density shape: (36, 36, 36)
Lattice lengths: [3.83958982 3.83958982 3.83958982] Å
PBC min-image offsets: 7 (1 ⇒ orthorhombic); orbit mode: off
Grid: 36×36×36 = 46656 points; N_c = 4800
Lloyd: 21 steps, max movement = 0.000000

Snapping 4800 centroids to FFT grid (36, 36, 36)...
snap_centroids_to_grid: 9 duplicates (4800 → 4791 unique)
⚠ 9 duplicates; redistributing to nearby grid points...

Pivoted-Cholesky prune: 4800 → 3200
[pivoted_cholesky] M=4800, n_keep=3200, n_val=8, n_cond=8 (load_wfns 2-D, mesh axes ('x', 'y'))
[pivoted_cholesky] 2-D Gram build via load_wfns: nk_tot=8, left=(0, 8) (nb=8), right=(8, 16) (nb=8), M=4800, norms=off, backend=WFNReader, budget=28.624 GB/device, band_chunk_size=64
[pivoted_cholesky] G built, shape=(4800, 4800), diag range [5.609e-10, 1.183e-07]
[pivoted_cholesky] picked-pivot residuals: first=1.183e-07, mid=0.000e+00, last=0.000e+00
[pivoted_cholesky] tr(R_k)/tr(G): first=9.232e-01, mid=5.541e-11, last=1.321e-11
After pruning: 3200 centroids (rank=180)
Saved centroids to centroids_frac_3200.txt
--- kmeans_cli timing (s) ---
Total recorded: 9.618 s
Section                                            Count    Total[s]     Self[s]      %
setup.wfn_io                                           1       0.031       0.031    0.3
setup.charge_density                                   1       0.016       0.016    0.2
kmeans                                                 1       6.369       2.201   66.2
  init                                                 1       1.523       1.523   15.8
  lloyd                                                1       2.281       2.281   23.7
  assign_labels                                        1       0.365       0.365    3.8
snap_unfold                                            1       0.022       0.022    0.2
prune                                                  1       3.180       0.386   33.1
  prune.gram                                           1       1.537       0.138   16.0
    left.load                                          1       1.007       0.970   10.5
      load_wfns.precompute_owned                       1       0.000       0.000    0.0
      load_wfns.k_loop                                 1       0.010       0.010    0.1
      load_wfns.scatter                                1       0.008       0.008    0.1
      load_wfns.make_global_array                      1       0.019       0.019    0.2
    left.pair                                          1       0.092       0.092    1.0
    right.load                                         1       0.028       0.010    0.3
      load_wfns.precompute_owned                       1       0.000       0.000    0.0
      load_wfns.k_loop                                 1       0.006       0.006    0.1
      load_wfns.scatter                                1       0.012       0.012    0.1
      load_wfns.make_global_array                      1       0.001       0.001    0.0
    right.pair                                         1       0.004       0.004    0.0
    q0_sum                                             1       0.268       0.268    2.8
  prune.select                                         1       1.257       1.257   13.1
