✓ JAX initialized: 1 device(s) (local: 1, proc 0/1)
Over-sampling: k-means M = 7200, prune to N_c = 4800 (ratio 1.5)
N_c = 4800 > 4665 = n_rtot · 0.1; using density-weighted random init.
[charge_density] source='auto' → reading /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si_pseudobands/00_si_2x2x2_60Ry/qe/scf/silicon.save/charge-density.hdf5
Charge density shape: (36, 36, 36)
Lattice lengths: [3.83958982 3.83958982 3.83958982] Å
PBC min-image offsets: 7 (1 ⇒ orthorhombic); orbit mode: off
Grid: 36×36×36 = 46656 points; N_c = 7200
Lloyd: 27 steps, max movement = 0.000000

Snapping 7200 centroids to FFT grid (36, 36, 36)...
snap_centroids_to_grid: 62 duplicates (7200 → 7138 unique)
⚠ 62 duplicates; redistributing to nearby grid points...

Pivoted-Cholesky prune: 7200 → 4800
[pivoted_cholesky] M=7200, n_keep=4800, n_val=8, n_cond=8 (load_wfns 2-D, mesh axes ('x', 'y'))
  [gpu_utils] WARNING: bytes_limit=None, falling back to nvidia-smi (pid=584343)
[pivoted_cholesky] 2-D Gram build via load_wfns: nk_tot=8, left=(0, 8) (nb=8), right=(8, 16) (nb=8), M=7200, norms=off, backend=WFNReader, budget=35.1527 GB/device, band_chunk_size=64
[pivoted_cholesky] G built, shape=(7200, 7200), diag range [5.609e-10, 1.183e-07]
[pivoted_cholesky] picked-pivot residuals: first=1.183e-07, mid=0.000e+00, last=0.000e+00
[pivoted_cholesky] tr(R_k)/tr(G): first=9.219e-01, mid=3.980e-11, last=9.441e-12
After pruning: 4800 centroids (rank=179)
Saved centroids to centroids_frac_4800.txt
--- kmeans_cli timing (s) ---
Total recorded: 11.214 s
Section                                            Count    Total[s]     Self[s]      %
setup.wfn_io                                           1       0.020       0.020    0.2
setup.charge_density                                   1       0.013       0.013    0.1
kmeans                                                 1       6.632       0.937   59.1
  init                                                 1       1.674       1.674   14.9
  lloyd                                                1       3.582       3.582   31.9
  assign_labels                                        1       0.439       0.439    3.9
snap_unfold                                            1       0.019       0.019    0.2
prune                                                  1       4.529       0.433   40.4
  prune.gram                                           1       1.465       0.064   13.1
    left.load                                          1       0.989       0.951    8.8
      load_wfns.precompute_owned                       1       0.000       0.000    0.0
      load_wfns.k_loop                                 1       0.009       0.009    0.1
      load_wfns.scatter                                1       0.009       0.009    0.1
      load_wfns.make_global_array                      1       0.020       0.020    0.2
    left.pair                                          1       0.110       0.110    1.0
    right.load                                         1       0.029       0.014    0.3
      load_wfns.precompute_owned                       1       0.000       0.000    0.0
      load_wfns.k_loop                                 1       0.006       0.006    0.1
      load_wfns.scatter                                1       0.008       0.008    0.1
      load_wfns.make_global_array                      1       0.001       0.001    0.0
    right.pair                                         1       0.008       0.008    0.1
    q0_sum                                             1       0.264       0.264    2.4
  prune.select                                         1       2.631       2.631   23.5
