# Generated by LORRAX 0.1.0 at 2026-05-14 22:45:11 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               0	              40	      +32.042974	      +32.042974	      +39.365443	       +2.325075	       -1.701185	       +0.000000	       -1.701185	       +0.000000	      +38.288147	      +38.288147
               0	              41	      +32.042974	      +32.042974	      +39.365443	       +2.325075	       -1.701185	       +0.000000	       -1.701185	       +0.000000	      +38.288147	      +38.288147
               0	              42	      +32.127743	      +32.127743	      +39.444209	       +2.351849	       -1.710020	       +0.000000	       -1.710020	       +0.000000	      +38.376017	      +38.376017
               0	              43	      +32.127743	      +32.127743	      +39.444209	       +2.351849	       -1.710020	       +0.000000	       -1.710020	       +0.000000	      +38.376017	      +38.376017
               0	              44	      +32.127743	      +32.127743	      +39.444209	       +2.351849	       -1.710020	       +0.000000	       -1.710020	       +0.000000	      +38.376017	      +38.376017
               0	              45	      +32.127743	      +32.127743	      +39.444209	       +2.351849	       -1.710020	       +0.000000	       -1.710020	       +0.000000	      +38.376017	      +38.376017
               0	              46	      +35.634539	      +35.634539	      +43.772073	       +1.333553	       -1.522630	       +0.000000	       -1.522630	       +0.000000	      +42.060366	      +42.060366
               0	              47	      +35.634539	      +35.634539	      +43.772073	       +1.333553	       -1.522630	       +0.000000	       -1.522630	       +0.000000	      +42.060366	      +42.060366
               0	              48	      +35.634539	      +35.634539	      +43.772073	       +1.333553	       -1.522630	       +0.000000	       -1.522630	       +0.000000	      +42.060366	      +42.060366
               0	              49	      +35.634539	      +35.634539	      +43.772073	       +1.333553	       -1.522630	       +0.000000	       -1.522630	       +0.000000	      +42.060366	      +42.060366
               0	              50	      +35.634539	      +35.634539	      +43.772073	       +1.333553	       -1.522630	       +0.000000	       -1.522630	       +0.000000	      +42.060366	      +42.060366
               0	              51	      +35.634539	      +35.634539	      +43.772073	       +1.333553	       -1.522630	       +0.000000	       -1.522630	       +0.000000	      +42.060366	      +42.060366
               0	              52	      +41.091725	      +41.091725	      +49.401277	       +2.129358	       -0.676634	       +0.000000	       -0.676634	       +0.000000	      +50.177367	      +50.177367
               0	              53	      +41.091725	      +41.091725	      +49.401277	       +2.129358	       -0.676634	       +0.000000	       -0.676634	       +0.000000	      +50.177367	      +50.177367
               0	              54	      +41.091725	      +41.091725	      +49.401277	       +2.129358	       -0.676634	       +0.000000	       -0.676634	       +0.000000	      +50.177367	      +50.177367
               0	              55	      +41.091725	      +41.091725	      +49.401277	       +2.129358	       -0.676634	       +0.000000	       -0.676634	       +0.000000	      +50.177367	      +50.177367

k-point 1:
               1	               0	       -4.897281	       -4.897281	       +2.488940	       +3.420869	      -16.784431	       -2.590893	      -16.784431	       +0.000000	      -27.659053	      -27.659053
               1	               1	       -4.897281	       -4.897281	       +2.488940	       +3.420869	      -16.784431	       -2.590893	      -16.784431	       +0.000000	      -27.659053	      -27.659053
               1	               2	       +2.340153	       +2.340153	       +9.569372	       +3.656530	      -13.172508	       -2.590893	      -13.172508	       +0.000000	      -13.119114	      -13.119114
               1	               3	       +2.340153	       +2.340153	       +9.569372	       +3.656530	      -13.172508	       -2.590893	      -13.172508	       +0.000000	      -13.119114	      -13.119114
               1	               4	       +5.498636	       +5.498636	      +12.205874	       +4.434815	      -12.493615	       -2.590893	      -12.493615	       +0.000000	       -8.346541	       -8.346541
               1	               5	       +5.498636	       +5.498636	      +12.205874	       +4.434815	      -12.493615	       -2.590893	      -12.493615	       +0.000000	       -8.346541	       -8.346541
               1	               6	       +5.529910	       +5.529910	      +12.240703	       +4.431115	      -12.478195	       -2.590893	      -12.478195	       +0.000000	       -8.284572	       -8.284572
               1	               7	       +5.529910	       +5.529910	      +12.240703	       +4.431115	      -12.478195	       -2.590893	      -12.478195	       +0.000000	       -8.284572	       -8.284572
               1	               8	       +8.294527	       +8.294527	      +16.190612	       +2.714325	       -5.321506	       +0.000000	       -5.321506	       +0.000000	       +8.261925	       +8.261925
               1	               9	       +8.294527	       +8.294527	      +16.190612	       +2.714325	       -5.321506	       +0.000000	       -5.321506	       +0.000000	       +8.261925	       +8.261925
               1	              10	       +9.757278	       +9.757278	      +17.800925	       +2.386950	       -5.083581	       +0.000000	       -5.083581	       +0.000000	      +10.020714	      +10.020714
