JAX: 1 gpu devices
== kin_ion_io ==
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_A_exciton_bands/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'output_file' is no longer supported and will be ignored.  ``output_file`` (LORRAX-native eqp0) is now ``sigma_diag_file`` (defaults to ``sigma_diag.dat``); BGW-format ``eqp0.dat`` and ``eqp1.dat`` (with Z-linearization) are written automatically.  Remove 'output_file' from your input file.
  params = read_cohsex_input(args.input)
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_A_exciton_bands/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'self_consistent' is deprecated; it is honored via ``qp_solver = auto`` resolution.  Set 'qp_solver = self_consistent' instead.
  params = read_cohsex_input(args.input)
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_A_exciton_bands/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'sigma_at_dft_energies' is deprecated; it is honored via ``qp_solver = auto`` resolution.  Set 'qp_solver = one_shot_dft (the default)' instead.
  params = read_cohsex_input(args.input)
Loading WFN: WFN.h5
Bands: 80, FFT grid: (24, 24, 80), k-points: 144
sys_dim: 2
Devices: 1
No pseudopotentials (*.upf) found in /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/04_mos2_12x12_bands_2026-07-18/00_lorrax_cohsex
No pseudopotentials (*.upf) found in /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/04_mos2_12x12_bands_2026-07-18/00_lorrax_cohsex/../qe/scf
Found pseudopotentials in /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/04_mos2_12x12_bands_2026-07-18/00_lorrax_cohsex/../qe/nscf
Pseudopotentials: ['Mo', 'S']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 144 k-points...
  k=1/144...
  k=17/144...
  k=33/144...
  k=49/144...
  k=65/144...
  k=81/144...
  k=97/144...
  k=113/144...
  k=129/144...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/04_mos2_12x12_bands_2026-07-18/00_lorrax_cohsex/kin_ion.h5...
Wrote kin_ion.h5: shape (144, 80, 80), sys_dim=2
--- Timing (seconds) ---
Total recorded: 27.959 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       1.131       1.131    4.0
build_V_loc                                            1       1.697       1.697    6.1
k0                                                     1       3.186       3.186   11.4
k1                                                     1       1.585       1.585    5.7
k2                                                     1       0.030       0.030    0.1
k3                                                     1       0.026       0.026    0.1
k4                                                     1       1.636       1.636    5.9
k5                                                     1       1.608       1.608    5.8
k6                                                     1       1.329       1.329    4.8
k7                                                     1       0.020       0.020    0.1
k8                                                     1       0.018       0.018    0.1
k9                                                     1       0.019       0.019    0.1
k10                                                    1       0.017       0.017    0.1
k11                                                    1       0.018       0.018    0.1
k12                                                    1       0.029       0.029    0.1
k13                                                    1       1.290       1.290    4.6
k14                                                    1       1.261       1.261    4.5
k15                                                    1       1.198       1.198    4.3
k16                                                    1       0.082       0.082    0.3
k17                                                    1       1.198       1.198    4.3
k18                                                    1       0.030       0.030    0.1
k19                                                    1       0.077       0.077    0.3
k20                                                    1       0.074       0.074    0.3
k21                                                    1       0.025       0.025    0.1
k22                                                    1       0.025       0.025    0.1
k23                                                    1       0.019       0.019    0.1
k24                                                    1       0.028       0.028    0.1
k25                                                    1       0.025       0.025    0.1
k26                                                    1       1.309       1.309    4.7
k27                                                    1       1.237       1.237    4.4
k28                                                    1       0.094       0.094    0.3
k29                                                    1       1.176       1.176    4.2
k30                                                    1       0.027       0.027    0.1
k31                                                    1       0.026       0.026    0.1
k32                                                    1       0.025       0.025    0.1
k33                                                    1       0.026       0.026    0.1
k34                                                    1       0.032       0.032    0.1
k35                                                    1       0.083       0.083    0.3
k36                                                    1       0.064       0.064    0.2
k37                                                    1       0.025       0.025    0.1
k38                                                    1       0.025       0.025    0.1
k39                                                    1       1.127       1.127    4.0
k40                                                    1       1.149       1.149    4.1
k41                                                    1       0.027       0.027    0.1
k42                                                    1       0.026       0.026    0.1
k43                                                    1       0.025       0.025    0.1
k44                                                    1       0.025       0.025    0.1
k45                                                    1       0.025       0.025    0.1
k46                                                    1       0.025       0.025    0.1
k47                                                    1       0.018       0.018    0.1
k48                                                    1       0.028       0.028    0.1
k49                                                    1       0.025       0.025    0.1
k50                                                    1       0.026       0.026    0.1
k51                                                    1       0.025       0.025    0.1
k52                                                    1       1.180       1.180    4.2
k53                                                    1       0.029       0.029    0.1
k54                                                    1       0.025       0.025    0.1
k55                                                    1       0.025       0.025    0.1
