# Generated by LORRAX unknown at 2026-07-21 06:23:04 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -39.366811              sigC=    3.445941+ -0.000000i  sigXC=  -35.920870+ -0.000000i  VH=  589.816856+ -0.000000i  Eo=  -65.484467
n=1   sigX=  -39.366811              sigC=    3.445941+ -0.000000i  sigXC=  -35.920870+ -0.000000i  VH=  589.816856+ -0.000000i  Eo=  -65.484467
n=2   sigX=  -33.227038              sigC=    2.654985+  0.016548i  sigXC=  -30.572053+  0.016548i  VH=  584.176138+  0.000000i  Eo=  -42.100571
n=3   sigX=  -33.227038              sigC=    2.654985+  0.016548i  sigXC=  -30.572053+  0.016548i  VH=  584.176138+  0.000000i  Eo=  -42.100571
n=4   sigX=  -32.581807              sigC=    2.255874+ -0.025484i  sigXC=  -30.325933+ -0.025484i  VH=  577.607790+  0.000000i  Eo=  -39.580049
n=5   sigX=  -32.581807              sigC=    2.255874+ -0.025484i  sigXC=  -30.325933+ -0.025484i  VH=  577.607790+  0.000000i  Eo=  -39.580049
n=6   sigX=  -32.562429              sigC=    3.589433+  0.010221i  sigXC=  -28.972996+  0.010221i  VH=  587.409211+  0.000000i  Eo=  -39.404857
n=7   sigX=  -32.562429              sigC=    3.589433+  0.010221i  sigXC=  -28.972996+  0.010221i  VH=  587.409211+  0.000000i  Eo=  -39.404857
n=8   sigX=  -21.654115              sigC=    5.884909+  0.000001i  sigXC=  -15.769206+  0.000001i  VH=  384.500650+  0.000000i  Eo=  -19.386943
n=9   sigX=  -21.654115              sigC=    5.884909+  0.000001i  sigXC=  -15.769206+  0.000001i  VH=  384.500650+  0.000000i  Eo=  -19.386943
n=10  sigX=  -21.502471              sigC=    5.755145+ -0.000078i  sigXC=  -15.747325+ -0.000078i  VH=  351.258832+ -0.000000i  Eo=  -18.188235
n=11  sigX=  -21.502471              sigC=    5.755145+ -0.000078i  sigXC=  -15.747325+ -0.000078i  VH=  351.258832+ -0.000000i  Eo=  -18.188235
n=12  sigX=  -17.485547              sigC=    3.911715+ -0.000020i  sigXC=  -13.573832+ -0.000020i  VH=  388.884117+  0.000000i  Eo=  -10.891408
n=13  sigX=  -17.485547              sigC=    3.911715+ -0.000020i  sigXC=  -13.573832+ -0.000020i  VH=  388.884117+  0.000000i  Eo=  -10.891408
