# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 119

── Peak live HBM  at t=27.12s  ──────────────────────────
bytes_in_use                = 33.94 MiB
device.peak_bytes_in_use    = 220.35 MiB  (cumulative)
sum of jax.live_arrays()    = 16.27 MiB
n live arrays at peak        = 39

Top JAX arrays at peak:
            size  dtype         shape
        3.11 MiB  complex128    (48, 2, 2120)
        3.11 MiB  complex128    (48, 2, 2120)
        2.20 MiB  complex128    (68, 2120)
        2.20 MiB  complex128    (68, 2120)
      795.00 KiB  complex128    (12, 2, 2120)
      795.00 KiB  complex128    (12, 2, 2120)
      795.00 KiB  complex128    (12, 2, 2120)
      795.00 KiB  complex128    (12, 2, 2120)
      795.00 KiB  complex128    (12, 2, 2120)
      364.50 KiB  float64       (36, 36, 36)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.15          0.00 B        0          0.00 B
    2.40          0.00 B        0          0.00 B
    2.65          0.00 B        0          0.00 B
    2.90          0.00 B        0          0.00 B
    3.15          0.00 B        0          0.00 B
    3.40          0.00 B        0          0.00 B
    3.65          0.00 B        0          0.00 B
    3.90          0.00 B        0          0.00 B
    4.15          0.00 B        0          0.00 B
    4.40          0.00 B        0          0.00 B
    4.65          0.00 B        0          0.00 B
    4.90          0.00 B        0          0.00 B
    5.15          0.00 B        0          0.00 B
    5.55        1.07 MiB        0          0.00 B
    5.80        1.42 MiB        4        1.42 MiB
    6.05        1.42 MiB        4        1.42 MiB
    6.31        2.17 MiB        5        2.17 MiB
    6.56        4.27 MiB        6        3.56 MiB
    6.81        4.27 MiB        6        3.56 MiB
    7.06        4.27 MiB        6        3.56 MiB
    7.31        4.27 MiB        6        3.56 MiB
    7.56        3.92 MiB        7        3.92 MiB
    7.81        6.05 MiB       12        6.05 MiB
    8.06        7.48 MiB       15        7.48 MiB
    8.31        7.48 MiB       16        7.48 MiB
    8.56        8.90 MiB       18        8.90 MiB
    8.83        3.61 MiB        7        2.85 MiB
    9.08        3.61 MiB        7        2.85 MiB
    9.33        3.61 MiB        7        2.85 MiB
    9.58        3.61 MiB        7        2.85 MiB
    9.83       15.00 MiB        7        2.85 MiB
   10.08        4.67 MiB        8        3.92 MiB
   10.33        4.67 MiB        8        3.92 MiB
   10.58        4.67 MiB        8        3.92 MiB
   10.83        4.67 MiB        8        3.92 MiB
   11.08        4.67 MiB        8        3.92 MiB
   11.33        4.67 MiB        8        3.92 MiB
   11.58        4.67 MiB        8        3.92 MiB
