[lxrun] JID 54588779 · 1 nodes · 1:55:29 left · 1/1 free · incoming: lx-C
  1  nid002748  free   —              —      —  ← starting lx-C  python3 -u -m centroid.k
✓ JAX initialized: 1 device(s) (local: 1, proc 0/1)
Over-sampling: k-means M = 450, prune to N_c = 300 (ratio 1.5)
[charge_density] source='auto' → reading /pscratch/sd/j/jackm/lorrax_sandbox/runs/CrI3/C_cri3_ibz_active_2026-06-16/qe/scf/CrI3.save/charge-density.hdf5
Charge density shape: (45, 45, 120)
Lattice lengths: [ 6.867       6.86699961 17.99999999] Å
Orbit-aware mode: n_sym = 6, running kmeans for M_rep = 75 representatives (unfolded ≈ 450 centroids)
PBC min-image offsets: 5 (1 ⇒ orthorhombic); orbit mode: on (n_sym=6)
Grid: 45×45×120 = 243000 points; N_c = 75
Lloyd: 68 steps, max movement = 0.004695

Unfolded 75 reps → 450 distinct centroids (n_sym=6)

Pivoted-Cholesky prune: 450 → 300 (target 50 orbits)
  prune window: v×(v+c)  left=(0,70) right=(0,86)  [covers |ψ_v|² + v×c]
[pivoted_cholesky] M=450, n_keep=50, left=(0, 70), right=(0, 86), norms=off (load_wfns 2-D, mesh axes ('x', 'y'))
  [gpu_utils] WARNING: bytes_limit=None, falling back to nvidia-smi (pid=2062156)
[pivoted_cholesky] 2-D Gram build via load_wfns: nk_tot=36, left=(0, 70) (nb=70), right=(0, 86) (nb=86), M=450, norms=off, backend=WFNReader, budget=35.1519 GB/device, band_chunk_size=64
[pivoted_cholesky] G built, shape=(450, 450), diag range [2.290e-10, 5.504e-04]
[pivoted_cholesky] picked-pivot residuals: first=5.504e-04, mid=1.765e-06, last=2.174e-07
[pivoted_cholesky] tr(R_k)/tr(G): first=9.472e-01, mid=6.312e-03, last=3.955e-04
[pivoted_cholesky] orbit-aware: 50 orbits picked → 300 unfolded centroids (orbit-closed)
After pruning: 300 centroids (rank=50)
Saved centroids to centroids_frac_300.txt
--- kmeans_cli timing (s) ---
Total recorded: 20.642 s
Section                                            Count    Total[s]     Self[s]      %
setup.wfn_io                                           1       1.497       1.497    7.3
setup.charge_density                                   1       0.081       0.081    0.4
kmeans                                                 1       8.618       2.396   41.7
  init                                                 1       1.660       1.660    8.0
  lloyd                                                1       3.887       3.887   18.8
  assign_labels                                        1       0.676       0.676    3.3
snap_unfold                                            1       0.004       0.004    0.0
prune                                                  1      10.442       0.727   50.6
  prune.gram                                           1       9.013       1.947   43.7
    left.load                                          1       4.047       0.244   19.6
      load_centroids.loader_load                       1       0.891       0.891    4.3
      load_centroids.gflat_to_rmu                      1       2.786       2.786   13.5
      load_centroids.reshard                           1       0.125       0.125    0.6
    left.pair                                          1       0.222       0.222    1.1
    right.load                                         1       2.151       0.030   10.4
      load_centroids.loader_load                       1       1.213       1.213    5.9
      load_centroids.gflat_to_rmu                      1       0.795       0.795    3.8
      load_centroids.reshard                           1       0.113       0.113    0.5
    right.pair                                         1       0.211       0.211    1.0
    q0_sum                                             1       0.435       0.435    2.1
  prune.select                                         1       0.702       0.702    3.4
