# Generated by LORRAX unknown at 2026-07-21 22:30:47 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=33  sigX=  -11.094646              sigC=   -3.203499+  0.000832i  sigXC=  -14.298146+  0.000832i  VH=  404.687607+  0.000098i  Eo=   -2.337084
n=34  sigX=   -6.207209              sigC=   -3.792230+  0.000009i  sigXC=   -9.999439+  0.000009i  VH=  436.784917+  0.001137i  Eo=    0.989770
n=35  sigX=   -6.207209              sigC=   -3.792230+  0.000009i  sigXC=   -9.999439+  0.000009i  VH=  436.784917+  0.001137i  Eo=    0.989770
n=36  sigX=   -5.683877              sigC=   -4.220160+ -0.000125i  sigXC=   -9.904037+ -0.000125i  VH=  340.859275+ -0.001518i  Eo=    3.710453
n=37  sigX=   -5.683877              sigC=   -4.220160+ -0.000125i  sigXC=   -9.904037+ -0.000125i  VH=  340.859275+ -0.001518i  Eo=    3.710453
n=38  sigX=   -3.877129              sigC=   -3.130389+  0.000033i  sigXC=   -7.007519+  0.000033i  VH=  147.406138+ -0.002561i  Eo=    3.913316
n=39  sigX=   -3.877129              sigC=   -3.130389+  0.000033i  sigXC=   -7.007519+  0.000033i  VH=  147.406138+ -0.002561i  Eo=    3.913316
n=40  sigX=   -2.397932              sigC=   -3.547446+  0.000021i  sigXC=   -5.945378+  0.000021i  VH=   26.711363+ -0.002141i  Eo=    4.779471
n=41  sigX=   -2.397932              sigC=   -3.547446+  0.000021i  sigXC=   -5.945378+  0.000021i  VH=   26.711363+ -0.002141i  Eo=    4.779471
n=42  sigX=   -5.735731              sigC=   -4.911469+  0.002455i  sigXC=  -10.647200+  0.002455i  VH=  363.476499+  0.000720i  Eo=    5.437089
n=43  sigX=   -5.735731              sigC=   -4.911469+  0.002455i  sigXC=  -10.647200+  0.002455i  VH=  363.476499+  0.000720i  Eo=    5.437089
n=44  sigX=   -5.734319              sigC=   -4.943381+ -0.002603i  sigXC=  -10.677700+ -0.002603i  VH=  362.105338+  0.001037i  Eo=    5.509263
n=45  sigX=   -5.734319              sigC=   -4.943381+ -0.002603i  sigXC=  -10.677700+ -0.002603i  VH=  362.105338+  0.001037i  Eo=    5.509263
n=46  sigX=   -5.601552              sigC=   -3.685260+  0.005331i  sigXC=   -9.286812+  0.005331i  VH=  339.520086+  0.000185i  Eo=    7.396745
n=47  sigX=   -5.601552              sigC=   -3.685260+  0.005331i  sigXC=   -9.286812+  0.005331i  VH=  339.520086+  0.000185i  Eo=    7.396745
n=48  sigX=   -5.610391              sigC=   -3.657407+ -0.003026i  sigXC=   -9.267799+ -0.003026i  VH=  341.770133+  0.000441i  Eo=    7.416451
n=49  sigX=   -5.610391              sigC=   -3.657407+ -0.003026i  sigXC=   -9.267799+ -0.003026i  VH=  341.770133+  0.000441i  Eo=    7.416451
n=50  sigX=   -5.599093              sigC=   -4.273713+ -0.002323i  sigXC=   -9.872806+ -0.002323i  VH=  274.227762+ -0.007290i  Eo=    7.551474
n=51  sigX=   -5.599093              sigC=   -4.273713+ -0.002323i  sigXC=   -9.872806+ -0.002323i  VH=  274.227762+ -0.007290i  Eo=    7.551474
n=52  sigX=   -5.206846              sigC=   -4.460075+  0.001087i  sigXC=   -9.666921+  0.001087i  VH=  327.566480+  0.007601i  Eo=   10.661283
n=53  sigX=   -5.206846              sigC=   -4.460075+  0.001087i  sigXC=   -9.666921+  0.001087i  VH=  327.566480+  0.007601i  Eo=   10.661283
n=54  sigX=   -5.210942              sigC=   -4.460384+ -0.001659i  sigXC=   -9.671326+ -0.001659i  VH=  327.689147+  0.007560i  Eo=   10.677064
n=55  sigX=   -5.210942              sigC=   -4.460384+ -0.001659i  sigXC=   -9.671326+ -0.001659i  VH=  327.689147+  0.007560i  Eo=   10.677064
n=56  sigX=   -3.189187              sigC=   -3.706633+  0.000032i  sigXC=   -6.895820+  0.000032i  VH=  365.591690+  0.001361i  Eo=   10.862504
n=57  sigX=   -3.189187              sigC=   -3.706633+  0.000032i  sigXC=   -6.895820+  0.000032i  VH=  365.591690+  0.001361i  Eo=   10.862504
n=58  sigX=   -5.766228              sigC=   -4.804379+  0.003132i  sigXC=  -10.570606+  0.003132i  VH=  340.895535+  0.004870i  Eo=   10.962384
n=59  sigX=   -5.766228              sigC=   -4.804379+  0.003132i  sigXC=  -10.570606+  0.003132i  VH=  340.895535+  0.004870i  Eo=   10.962384

k-point 1:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -40.257197              sigC=   -2.257813+  0.001089i  sigXC=  -42.515010+  0.001089i  VH=  597.433822+  0.002159i  Eo=  -66.153842
n=1   sigX=  -40.257197              sigC=   -2.257813+  0.001089i  sigXC=  -42.515010+  0.001089i  VH=  597.433822+  0.002159i  Eo=  -66.153842
n=2   sigX=  -33.461723              sigC=   -1.290580+ -0.000352i  sigXC=  -34.752303+ -0.000352i  VH=  586.135494+ -0.000262i  Eo=  -41.912970
n=3   sigX=  -33.461723              sigC=   -1.290580+ -0.000352i  sigXC=  -34.752303+ -0.000352i  VH=  586.135494+ -0.000262i  Eo=  -41.912970
n=4   sigX=  -32.594962              sigC=   -0.722224+ -0.000551i  sigXC=  -33.317185+ -0.000551i  VH=  581.002392+  0.002100i  Eo=  -39.476596
n=5   sigX=  -32.594962              sigC=   -0.722224+ -0.000551i  sigXC=  -33.317185+ -0.000551i  VH=  581.002392+  0.002100i  Eo=  -39.476596
n=6   sigX=  -32.576695              sigC=   -1.089652+  0.034471i  sigXC=  -33.666347+  0.034471i  VH=  589.015336+ -0.002155i  Eo=  -39.353879
n=7   sigX=  -32.576695              sigC=   -1.089652+  0.034471i  sigXC=  -33.666347+  0.034471i  VH=  589.015336+ -0.002155i  Eo=  -39.353879
n=8   sigX=  -21.808052              sigC=    6.076593+  0.015023i  sigXC=  -15.731460+  0.015023i  VH=  385.843320+  0.001539i  Eo=  -19.023746
n=9   sigX=  -21.808052              sigC=    6.076593+  0.015023i  sigXC=  -15.731460+  0.015023i  VH=  385.843320+  0.001539i  Eo=  -19.023746
n=10  sigX=  -21.731701              sigC=    5.876004+ -0.018594i  sigXC=  -15.855697+ -0.018594i  VH=  358.185225+  0.001686i  Eo=  -18.007817
n=11  sigX=  -21.731701              sigC=    5.876004+ -0.018594i  sigXC=  -15.855697+ -0.018594i  VH=  358.185225+  0.001686i  Eo=  -18.007817
n=12  sigX=  -17.307944              sigC=    4.478089+  0.013605i  sigXC=  -12.829855+  0.013605i  VH=  395.801084+ -0.000154i  Eo=  -10.505989
