bash: cannot set terminal process group (-1): Inappropriate ioctl for device
bash: no job control in this shell
[lxrun] JID 52658224 · 1 nodes · 29:12 left · 1/1 free · incoming: lx-B
  1  nid008244  free   —              —      —  ← starting lx-B  python3 -u -m gw.kin_ion
JAX: 1 gpu devices
== kin_ion_io ==
Loading WFN: WFN.h5
Bands: 150, FFT grid: (75, 75, 200), k-points: 36
sys_dim: 2
Devices: 1
No pseudopotentials (*.upf) found in /pscratch/sd/j/jackm/lorrax_sandbox/runs/CrI3/M_6x6_80Ry_2026-05-07/lorrax_B
Found pseudopotentials in /pscratch/sd/j/jackm/lorrax_sandbox/runs/CrI3/M_6x6_80Ry_2026-05-07/lorrax_B/../qe/scf
Pseudopotentials: ['Cr', 'I']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 36 k-points...
  k=1/36...
  k=17/36...
  k=33/36...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/CrI3/M_6x6_80Ry_2026-05-07/lorrax_B/kin_ion.h5...
Wrote kin_ion.h5: shape (36, 150, 150), sys_dim=2
--- Timing (seconds) ---
Total recorded: 52.342 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       2.063       2.063    3.9
build_V_loc                                            1       1.981       1.981    3.8
k0                                                     1       2.466       2.466    4.7
k1                                                     1       2.167       2.167    4.1
k2                                                     1       2.187       2.187    4.2
k3                                                     1       2.168       2.168    4.1
k4                                                     1       1.090       1.090    2.1
k5                                                     1       1.118       1.118    2.1
k6                                                     1       1.147       1.147    2.2
k7                                                     1       2.253       2.253    4.3
k8                                                     1       2.153       2.153    4.1
k9                                                     1       1.061       1.061    2.0
k10                                                    1       1.154       1.154    2.2
k11                                                    1       1.143       1.143    2.2
k12                                                    1       1.102       1.102    2.1
k13                                                    1       1.173       1.173    2.2
k14                                                    1       2.181       2.181    4.2
k15                                                    1       1.057       1.057    2.0
k16                                                    1       1.160       1.160    2.2
k17                                                    1       1.102       1.102    2.1
k18                                                    1       1.193       1.193    2.3
k19                                                    1       1.099       1.099    2.1
k20                                                    1       1.116       1.116    2.1
k21                                                    1       1.161       1.161    2.2
k22                                                    1       1.090       1.090    2.1
k23                                                    1       1.167       1.167    2.2
k24                                                    1       1.087       1.087    2.1
k25                                                    1       1.153       1.153    2.2
k26                                                    1       1.112       1.112    2.1
k27                                                    1       1.138       1.138    2.2
k28                                                    1       1.125       1.125    2.2
k29                                                    1       1.129       1.129    2.2
k30                                                    1       1.159       1.159    2.2
k31                                                    1       1.091       1.091    2.1
k32                                                    1       1.143       1.143    2.2
k33                                                    1       1.118       1.118    2.1
k34                                                    1       1.148       1.148    2.2
k35                                                    1       1.169       1.169    2.2
write_h5                                               1       0.019       0.019    0.0
