# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 141

── Peak live HBM  at t=20.57s  ──────────────────────────
bytes_in_use                = 2.24 GiB
device.peak_bytes_in_use    = 5.75 GiB  (cumulative)
sum of jax.live_arrays()    = 1.80 GiB
n live arrays at peak        = 54

Top JAX arrays at peak:
            size  dtype         shape
        1.76 GiB  complex128    (4, 640, 46080)
       25.00 MiB  complex128    (4, 640, 640)
       14.06 MiB  complex128    (9, 80, 2, 640)
        1.05 MiB  float64       (24, 24, 80, 3)
        1.05 MiB  float64       (24, 24, 80, 3)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (1, 24, 24, 80)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
   32.61      377.10 MiB       91      600.79 MiB
   32.87      380.39 MiB       81      613.97 MiB
   33.12      389.87 MiB       92      650.89 MiB
   33.37      380.07 MiB       78      612.99 MiB
   33.62      559.47 MiB       93      653.52 MiB
   33.87      394.50 MiB       93      653.52 MiB
   34.12      384.47 MiB       79      630.57 MiB
   34.37      436.97 MiB       67      562.01 MiB
   34.62      473.00 MiB       72      670.11 MiB
   34.87      473.00 MiB       71      634.08 MiB
   35.12      402.69 MiB       68      527.73 MiB
   35.37      401.81 MiB       67      526.85 MiB
   35.92        1.07 MiB       40        2.13 MiB
   36.72        1.07 MiB       40        2.13 MiB
   37.12        1.07 MiB       40        2.13 MiB
   37.41        1.07 MiB       40        2.13 MiB
   37.66        1.07 MiB       40        2.13 MiB
   37.91        1.07 MiB       40        2.13 MiB
   38.16        1.07 MiB       40        2.13 MiB
   38.41        1.07 MiB       40        2.13 MiB
   38.61        1.07 MiB       40        2.13 MiB
