# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.00216810E+01  -9.59085502E+00   4.30826025E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.07074777E+00   1.30840210E+00   2.37654336E-01
#    Nb          CH(vbm)          CH(cbm)             diff
     17  -6.07426352E+00  -5.58072016E+00   4.93543360E-01
     18  -6.22785053E+00  -5.67480969E+00   5.53040839E-01
     19  -6.39350739E+00  -5.74606985E+00   6.47437549E-01
     20  -6.57638378E+00  -5.80908595E+00   7.67297831E-01
     21  -6.67185690E+00  -5.91982945E+00   7.52027448E-01
     22  -6.74389915E+00  -6.01933621E+00   7.24562937E-01
     23  -6.86694629E+00  -6.10183278E+00   7.65113508E-01
     24  -6.99196259E+00  -6.18527863E+00   8.06683964E-01
     25  -7.12231229E+00  -6.34433856E+00   7.77973728E-01
     26  -7.25446153E+00  -6.50576334E+00   7.48698187E-01
     27  -7.35884420E+00  -6.72057978E+00   6.38264427E-01
     28  -7.45925646E+00  -6.91264971E+00   5.46606748E-01
     29  -7.51599411E+00  -6.97707171E+00   5.38922398E-01
     30  -7.57314263E+00  -7.04024303E+00   5.32899599E-01
     31  -7.63414608E+00  -7.08761089E+00   5.46535183E-01
     32  -7.69473824E+00  -7.13623025E+00   5.58507992E-01
     33  -7.73346564E+00  -7.17875906E+00   5.54706587E-01
     34  -7.77272230E+00  -7.22293190E+00   5.49790394E-01
     35  -7.81230704E+00  -7.26644944E+00   5.45857598E-01
     36  -7.85171685E+00  -7.30823930E+00   5.43477556E-01
     37  -7.91190130E+00  -7.36111685E+00   5.50784452E-01
     38  -7.96455784E+00  -7.41976485E+00   5.44792998E-01
     39  -8.00801703E+00  -7.47915294E+00   5.28864087E-01
     40  -8.05892272E+00  -7.53283418E+00   5.26088533E-01
     41  -8.08449839E+00  -7.58495032E+00   4.99548078E-01
     42  -8.10347000E+00  -7.62843008E+00   4.75039912E-01
     43  -8.14797555E+00  -7.68104370E+00   4.66931846E-01
     44  -8.18607692E+00  -7.72500638E+00   4.61070541E-01
     45  -8.24583143E+00  -7.77174593E+00   4.74085498E-01
     46  -8.30010137E+00  -7.81069253E+00   4.89408842E-01
     47  -8.35144961E+00  -7.84911555E+00   5.02334060E-01
     48  -8.40776386E+00  -7.90404207E+00   5.03721790E-01
     49  -8.46360612E+00  -7.94189403E+00   5.21712094E-01
     50  -8.53426567E+00  -7.98465461E+00   5.49611053E-01
     51  -8.58174025E+00  -8.01296086E+00   5.68779381E-01
     52  -8.61193902E+00  -8.03894246E+00   5.72996567E-01
     53  -8.65052177E+00  -8.06668050E+00   5.83841267E-01
     54  -8.68857890E+00  -8.09393452E+00   5.94644374E-01
     55  -8.70260925E+00  -8.11460486E+00   5.88004392E-01
     56  -8.71721290E+00  -8.13632708E+00   5.80885822E-01
     57  -8.73686073E+00  -8.15858018E+00   5.78280551E-01
     58  -8.75907851E+00  -8.18136011E+00   5.77718406E-01
     59  -8.77968397E+00  -8.20134835E+00   5.78335620E-01
     60  -8.80257307E+00  -8.22181371E+00   5.80759361E-01
     61  -8.81629717E+00  -8.23692481E+00   5.79372363E-01
     62  -8.83275216E+00  -8.26127615E+00   5.71476009E-01
     63  -8.85161638E+00  -8.29207703E+00   5.59539351E-01
     64  -8.86993928E+00  -8.32107341E+00   5.48865865E-01
     65  -8.88557459E+00  -8.33884060E+00   5.46733994E-01
     66  -8.90155710E+00  -8.35523553E+00   5.46321571E-01
     67  -8.91942961E+00  -8.37319675E+00   5.46232858E-01
     68  -8.93538877E+00  -8.39920564E+00   5.36183129E-01
# k =   0.000000   0.500000   0.500000 spin = 1
