# Generated by LORRAX 0.1.0 at 2026-05-06 12:05:48 UTC
  0.000000000  0.000000000  0.000000000     150
       1       1  -76.713494963-6227.650218073
       1       2  -76.713494963-6227.650218073
       1       3  -76.713258500-6332.374907679
       1       4  -76.713258500-6332.374907679
       1       5  -48.767227590-15760.576374301
       1       6  -48.767227590-15760.576374300
       1       7  -48.765685424-15809.037443756
       1       8  -48.765685424-15809.037443755
       1       9  -47.746201779-2916.821203499
       1      10  -47.746201779-2916.821203500
       1      11  -47.742995570-2921.361782927
       1      12  -47.742995570-2921.361782928
       1      13  -47.732633440-8074.564235731
       1      14  -47.732633440-8074.564235728
       1      15  -47.732323940-8176.797792152
       1      16  -47.732323940-8176.797792164
       1      17  -18.441032992  613.181401093
       1      18  -18.441032992  613.181401093
       1      19  -17.723185802  824.431431025
       1      20  -17.723185802  824.431431025
       1      21  -17.416388334  819.593934162
       1      22  -17.416388334  819.593934160
       1      23  -17.414301695  856.507140763
       1      24  -17.414301695  856.507140762
       1      25  -17.324826849  845.989904680
       1      26  -17.324826849  845.989904681
       1      27  -17.324148498  869.962564512
       1      28  -17.324148498  869.962564512
       1      29   -9.959461362 -602.963615841
       1      30   -9.959461362 -602.963615836
       1      31   -9.543839454 1123.087876591
       1      32   -9.543839454 1123.087876583
       1      33   -9.213821404  612.687950772
       1      34   -9.213821404  612.687950777
       1      35   -9.153301741   39.210043208
       1      36   -9.153301741   39.210043211
       1      37   -8.995140028  419.336498743
       1      38   -8.995140028  419.336498735
       1      39   -8.630804531 -693.329660590
       1      40   -8.630804531 -693.329660593
       1      41   -8.597008564 -376.610050145
       1      42   -8.597008564 -376.610050142
       1      43   -8.099844844 -132.272023614
       1      44   -8.099844844 -132.272023614
       1      45   -7.813525603-1776.828053827
       1      46   -7.813525603-1776.828053824
       1      47   -7.750285375 -673.304572590
       1      48   -7.750285375 -673.304572590
       1      49   -7.703121646  393.875598231
       1      50   -7.703121646  393.875598229
       1      51   -7.488484379  533.490064716
       1      52   -7.488484379  533.490064706
       1      53   -7.245902686 1162.509603077
       1      54   -7.245902686 1162.509603076
       1      55   -7.031358492  530.006524130
       1      56   -7.031358492  530.006524133
       1      57   -6.543162825  697.180393370
       1      58   -6.543162825  697.180393373
       1      59   -6.360176390  -65.434675413
       1      60   -6.360176390  -65.434675415
       1      61   -5.931335490  525.878459028
       1      62   -5.931335490  525.878459030
       1      63   -5.463141670 -294.610727538
       1      64   -5.463141670 -294.610727520
       1      65   -5.105371168-9575.123405717
       1      66   -5.105371168-9575.123405720
       1      67   -5.026027199-3297.751139444
       1      68   -5.026027199-3297.751139441
       1      69   -5.021121782-10149.505171253
       1      70   -5.021121782-10149.505171260
       1      71   -4.914710754-3477.793228503
       1      72   -4.914710754-3477.793228506
       1      73   -4.762397666-3609.039383343
       1      74   -4.762397666-3609.039383349
       1      75   -4.734145417-2804.719395845
       1      76   -4.734145417-2804.719395827
       1      77   -3.703046752-3286.987908144
       1      78   -3.703046752-3286.987908111
       1      79   -3.657549999-7142.274679654
       1      80   -3.657549999-7142.274679646
       1      81   -3.484237769-4548.954931666
       1      82   -3.484237769-4548.954931656
       1      83   -3.222756107-3546.824650623
       1      84   -3.222756107-3546.824650582
       1      85   -0.840903355  -79.206235177
       1      86   -0.840903355  -79.206235175
       1      87   -0.368042071-1015.683410207
       1      88   -0.368042071-1015.683410224
       1      89   -0.004034916  437.701715022
       1      90   -0.004034916  437.701715002
       1      91    0.086290476  -41.151891783
       1      92    0.086290476  -41.151891775
       1      93    0.833253936  139.768278438
       1      94    0.833253936  139.768278431
       1      95    1.203118698 -605.814660945
       1      96    1.203118698 -605.814660938
       1      97    1.267278416 -884.115291517
       1      98    1.267278416 -884.115291533
       1      99    1.271940071 -313.498325787
       1     100    1.271940071 -313.498325789
       1     101    1.310110918  287.980136628
       1     102    1.310110918  287.980136627
       1     103    1.311603052  -35.461936320
       1     104    1.311603052  -35.461936312
       1     105    2.204161363 -294.771079221
       1     106    2.204161363 -294.771079220
       1     107    2.621505650  444.160649341
       1     108    2.621505650  444.160649321
       1     109    2.644913747 -460.174148869
       1     110    2.644913747 -460.174148842
       1     111    2.664137568 -773.408092763
       1     112    2.664137568 -773.408092760
       1     113    2.786165385  527.176061486
       1     114    2.786165385  527.176061486
       1     115    2.945623161  -73.329214340
       1     116    2.945623161  -73.329214327
       1     117    3.100268008 -111.055636757
       1     118    3.100268008 -111.055636764
       1     119    3.256999538 -350.115836203
       1     120    3.256999538 -350.115836205
       1     121    3.376453901 -558.879140046
       1     122    3.376453901 -558.879140047
       1     123    3.429674707 -328.899462304
       1     124    3.429674707 -328.899462339
       1     125    3.936352755 -365.790664286
       1     126    3.936352755 -365.790664255
       1     127    4.007511047 -661.541211575
       1     128    4.007511047 -661.541211642
       1     129    4.011304615  304.551180106
       1     130    4.011304615  304.551180208
       1     131    4.054305678 -876.897888226
       1     132    4.054305678 -876.897888223
       1     133    4.253746735  140.584870116
       1     134    4.253746735  140.584870117
       1     135    4.298562148-1312.346706514
       1     136    4.298562148-1312.346706483
       1     137    4.393543720 -184.794975889
       1     138    4.393543720 -184.794975773
       1     139    4.488426579  219.169387271
       1     140    4.488426579  219.169387248
       1     141    4.499005608 -115.974571892
       1     142    4.499005608 -115.974571834
       1     143    4.578248916   38.488415375
       1     144    4.578248916   38.488415242
       1     145    5.122772977  179.395018275
       1     146    5.122772977  179.395018750
       1     147    5.213966653 -972.268265668
       1     148    5.213966653 -972.268266056
       1     149    5.244750400  -94.245841481
       1     150    5.244750400  -94.245841317
  0.000000000  0.166666667  0.000000000     150
       1       1  -76.713480281-6221.047444406
       1       2  -76.713480281-6221.047444406
       1       3  -76.713272458-6340.503973112
       1       4  -76.713272458-6340.503973111
       1       5  -48.767136659-15757.750852800
       1       6  -48.767136658-15757.750852809
       1       7  -48.765775974-15811.187387185
       1       8  -48.765775974-15811.187387194
