# Generated by LORRAX 0.1.0 at 2026-05-16 22:05:08 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -17.384919              sigC=    3.977335+  0.000000i  sigXC=  -13.407584+  0.000000i  VH=    3.308178
n=1   sigX=  -17.384919              sigC=    3.977335+  0.000000i  sigXC=  -13.407584+  0.000000i  VH=    3.308178
n=2   sigX=  -12.786164              sigC=    1.519373+  0.027444i  sigXC=  -11.266792+  0.027444i  VH=    5.067772
n=3   sigX=  -12.786164              sigC=    1.519373+  0.027444i  sigXC=  -11.266792+  0.027444i  VH=    5.067772
n=4   sigX=  -12.762837              sigC=    1.497637+ -0.013629i  sigXC=  -11.265200+ -0.013629i  VH=    5.064445
n=5   sigX=  -12.762837              sigC=    1.497637+ -0.013629i  sigXC=  -11.265200+ -0.013629i  VH=    5.064445
n=6   sigX=  -12.762837              sigC=    1.497637+ -0.013629i  sigXC=  -11.265200+ -0.013629i  VH=    5.064445
n=7   sigX=  -12.762837              sigC=    1.497637+ -0.013629i  sigXC=  -11.265200+ -0.013629i  VH=    5.064445
n=8   sigX=   -5.663635              sigC=   -3.469557+  0.036324i  sigXC=   -9.133192+  0.036324i  VH=    2.279639
n=9   sigX=   -5.663635              sigC=   -3.469557+  0.036324i  sigXC=   -9.133192+  0.036324i  VH=    2.279639
n=10  sigX=   -5.644372              sigC=   -3.486613+ -0.018215i  sigXC=   -9.130985+ -0.018215i  VH=    2.269867
n=11  sigX=   -5.644372              sigC=   -3.486613+ -0.018215i  sigXC=   -9.130985+ -0.018215i  VH=    2.269867
n=12  sigX=   -5.644372              sigC=   -3.486613+ -0.018215i  sigXC=   -9.130985+ -0.018215i  VH=    2.269867
n=13  sigX=   -5.644372              sigC=   -3.486613+ -0.018215i  sigXC=   -9.130985+ -0.018215i  VH=    2.269867
n=14  sigX=   -5.682851              sigC=   -4.342958+ -0.000001i  sigXC=  -10.025809+ -0.000001i  VH=    4.319127
