# Generated by LORRAX 0.1.0 at 2026-05-06 09:56:57 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=0    E_DFT=   -5.697008  Re=  316.857312  Im=  -19.826742
n=1    E_DFT=   -5.697008  Re=  315.635413  Im=   19.826490
n=2    E_DFT=    6.246364  Re=   -4.576870  Im=-177297.616578
n=3    E_DFT=    6.246364  Re=   -3.510600  Im=-273512.869307
n=4    E_DFT=    6.294144  Re=   97.053857  Im=152123.530352
n=5    E_DFT=    6.294144  Re= -163.573308  Im=154337.357538
n=6    E_DFT=    6.294144  Re=   64.856985  Im=46224.496852
n=7    E_DFT=    6.294144  Re=  -73.091010  Im=52509.460696
n=8    E_DFT=    8.792484  Re= -211.860593  Im=349622.777151
n=9    E_DFT=    8.792484  Re= -211.946249  Im=226551.196068
n=10   E_DFT=    8.827249  Re= -215.470569  Im=-355927.677646
n=11   E_DFT=    8.827249  Re= -348.052443  Im=-90003.194060
n=12   E_DFT=    8.827249  Re=  -88.274534  Im=-88820.189854
n=13   E_DFT=    8.827249  Re= -190.659474  Im=-39449.349074
n=14   E_DFT=    9.625626  Re= -833.136411  Im=    8.726688
n=15   E_DFT=    9.625626  Re= -827.955740  Im=   -8.726491

k-point 1:
--------------------------------------------------------------------------------
n=0    E_DFT=   -3.363048  Re=  227.800491  Im=  849.869359
n=1    E_DFT=   -3.363048  Re=  226.833004  Im= -912.446771
n=2    E_DFT=   -0.707275  Re=  -18.319812  Im= 5477.213253
n=3    E_DFT=   -0.707275  Re=  -18.452444  Im=-6050.363806
n=4    E_DFT=    5.056660  Re=   49.193932  Im=-265357.885967
n=5    E_DFT=    5.056660  Re=   46.606279  Im=-45364.675233
n=6    E_DFT=    5.088291  Re=   50.038247  Im=4256941.964610
n=7    E_DFT=    5.088291  Re=   46.644428  Im=-3947350.276313
n=8    E_DFT=    7.800192  Re=  239.292172  Im=-25279.604480
n=9    E_DFT=    7.800192  Re=  245.778100  Im=26886.544334
n=10   E_DFT=    9.587051  Re=  -80.609337  Im=1489567.065685
n=11   E_DFT=    9.587051  Re=  -52.684854  Im=-1459659.928714
n=12   E_DFT=    9.601409  Re=  -59.790162  Im=5757870.052800
n=13   E_DFT=    9.601409  Re=  -77.801267  Im=-5788759.076030
n=14   E_DFT=   13.996118  Re= -111.044404  Im=-4933.542791
n=15   E_DFT=   13.996118  Re= -114.134023  Im= 4509.147376

k-point 2:
--------------------------------------------------------------------------------
n=0    E_DFT=   -3.363048  Re=   17.341723  Im= 1043.405999
n=1    E_DFT=   -3.363048  Re=   17.172856  Im=-1104.151680
n=2    E_DFT=   -0.707275  Re=  380.675580  Im= 3990.904753
n=3    E_DFT=   -0.707275  Re=  380.673613  Im=-4488.020769
n=4    E_DFT=    5.056660  Re= -136.908793  Im=-307613.883236
n=5    E_DFT=    5.056660  Re= -134.732969  Im=-74418.356505
n=6    E_DFT=    5.088291  Re= -137.957523  Im=4492042.839082
n=7    E_DFT=    5.088291  Re= -133.089324  Im=-4111139.339038
n=8    E_DFT=    7.800192  Re= -328.096411  Im=-9180.838294
n=9    E_DFT=    7.800192  Re= -326.908756  Im=10641.748156
n=10   E_DFT=    9.587051  Re= -112.441689  Im=1459538.510390
n=11   E_DFT=    9.587051  Re= -113.706062  Im=-1392665.374333
n=12   E_DFT=    9.601409  Re= -111.442053  Im=5551406.329767
n=13   E_DFT=    9.601409  Re= -113.069688  Im=-5618987.890247
n=14   E_DFT=   13.996118  Re=    6.655134  Im=-4381.603822
n=15   E_DFT=   13.996118  Re=    6.475663  Im= 3978.269482

k-point 3:
--------------------------------------------------------------------------------
n=0    E_DFT=   -1.549908  Re=   -0.086081  Im=-136971.318844
n=1    E_DFT=   -1.549908  Re=   68.598639  Im=-144279.314588
n=2    E_DFT=   -1.549908  Re=   87.244302  Im=127830.446864
n=3    E_DFT=   -1.549908  Re=   29.489115  Im=152497.927327
n=4    E_DFT=    3.412334  Re=  -25.427934  Im=42707.643422
n=5    E_DFT=    3.412334  Re=   19.233295  Im=30950.654599
n=6    E_DFT=    3.412334  Re=   27.730404  Im=-52646.208358
n=7    E_DFT=    3.412334  Re=  140.616590  Im=-22421.366766
n=8    E_DFT=    6.968809  Re= -598.427738  Im=-25708.895745
n=9    E_DFT=    6.968809  Re= -559.588443  Im=33714.199419
n=10   E_DFT=    6.968809  Re=  -65.977175  Im=-10770.806360
n=11   E_DFT=    6.968809  Re=  -66.238715  Im= 2698.075467
n=12   E_DFT=   16.360904  Re=  573.673698  Im=-35226.992567
n=13   E_DFT=   16.360904  Re=  415.277950  Im=54582.918556
n=14   E_DFT=   16.360904  Re=  700.648226  Im= 3972.608852
n=15   E_DFT=   16.360904  Re=   97.128849  Im=-22652.990059

k-point 4:
--------------------------------------------------------------------------------
n=0    E_DFT=   -3.363048  Re=  585.317735  Im=  330.328068
n=1    E_DFT=   -3.363048  Re=  590.644694  Im= -413.875255
n=2    E_DFT=   -0.707275  Re=  -66.057201  Im= 2927.792178
n=3    E_DFT=   -0.707275  Re=  -64.998137  Im=-3422.119909
n=4    E_DFT=    5.056660  Re=   67.254786  Im=-283641.213612
n=5    E_DFT=    5.056660  Re=   66.475367  Im=-65506.372198
n=6    E_DFT=    5.088291  Re=   64.589362  Im=4058794.773801
n=7    E_DFT=    5.088291  Re=   69.624445  Im=-3710802.459339
n=8    E_DFT=    7.800192  Re= -224.264504  Im= 2292.632725
n=9    E_DFT=    7.800192  Re= -244.372277  Im= -640.354606
n=10   E_DFT=    9.587051  Re= -265.747896  Im=1515635.863502
n=11   E_DFT=    9.587051  Re= -261.476491  Im=-1423056.083083
n=12   E_DFT=    9.601409  Re= -259.067263  Im=5722449.833841
n=13   E_DFT=    9.601409  Re= -265.527533  Im=-5815666.541641
n=14   E_DFT=   13.996118  Re=  -38.975179  Im=-7153.564289
n=15   E_DFT=   13.996118  Re=  -36.299274  Im= 6756.691199

k-point 5:
--------------------------------------------------------------------------------
n=0    E_DFT=   -1.549908  Re=   91.120841  Im=-6153.272334
n=1    E_DFT=   -1.549908  Re=  209.181971  Im=-5786.722921
