# Generated by LORRAX 0.1.0 at 2026-05-06 09:56:57 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -16.523684              sigC=  327.373861+ -0.000126i  sigXC=  310.850177+ -0.000126i  VH=    3.611785
n=1   sigX=  -16.523684              sigC=  327.373861+ -0.000126i  sigXC=  310.850177+ -0.000126i  VH=    3.611785
n=2   sigX=  -13.713340              sigC=   -8.718023+-225405.242942i  sigXC=  -22.431363+-225405.242942i  VH=    5.757738
n=3   sigX=  -13.713340              sigC=   -8.718023+-225405.242942i  sigXC=  -22.431363+-225405.242942i  VH=    5.757738
n=4   sigX=  -13.700511              sigC=  -23.417428+101298.711359i  sigXC=  -37.117939+101298.711359i  VH=    5.747990
n=5   sigX=  -13.700511              sigC=  -23.417428+101298.711359i  sigXC=  -37.117939+101298.711359i  VH=    5.747990
n=6   sigX=  -13.700511              sigC=  -23.417428+101298.711359i  sigXC=  -37.117939+101298.711359i  VH=    5.747990
n=7   sigX=  -13.700511              sigC=  -23.417428+101298.711359i  sigXC=  -37.117939+101298.711359i  VH=    5.747990
n=8   sigX=   -4.921488              sigC= -226.253280+288086.986610i  sigXC= -231.174768+288086.986610i  VH=    2.366110
n=9   sigX=   -4.921488              sigC= -226.253280+288086.986610i  sigXC= -231.174768+288086.986610i  VH=    2.366110
n=10  sigX=   -4.909695              sigC= -225.001958+-143550.102658i  sigXC= -229.911653+-143550.102658i  VH=    2.349925
n=11  sigX=   -4.909695              sigC= -225.001958+-143550.102658i  sigXC= -229.911653+-143550.102658i  VH=    2.349925
n=12  sigX=   -4.909695              sigC= -225.001958+-143550.102658i  sigXC= -229.911653+-143550.102658i  VH=    2.349925
n=13  sigX=   -4.909695              sigC= -225.001958+-143550.102658i  sigXC= -229.911653+-143550.102658i  VH=    2.349925
n=14  sigX=   -4.991687              sigC= -847.319313+  0.000098i  sigXC= -852.311001+  0.000098i  VH=    5.347534
n=15  sigX=   -4.991687              sigC= -847.319313+  0.000098i  sigXC= -852.311001+  0.000098i  VH=    5.347534

k-point 1:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -16.062387              sigC=  235.159454+-31.288706i  sigXC=  219.097068+-31.288706i  VH=    4.586573
