[lxrun] JID 54548516 · 1 nodes · 58:13 left · 1/1 free · incoming: lx-C
  1  nid001104  free   —              —      —  ← starting lx-C  python3 -u -m centroid.k
✓ JAX initialized: 1 device(s) (local: 1, proc 0/1)
Over-sampling: k-means M = 960, prune to N_c = 640 (ratio 1.5)
[charge_density] source='auto' → reading /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/C_60Ry_bispinor_fullibz_2026-06-16/qe/scf/MoS2.save/charge-density.hdf5
Charge density shape: (30, 30, 120)
Lattice lengths: [ 3.164292    3.16428978 11.99999999] Å
Orbit-aware mode: n_sym = 2, running kmeans for M_rep = 480 representatives (unfolded ≈ 960 centroids)
PBC min-image offsets: 5 (1 ⇒ orthorhombic); orbit mode: on (n_sym=2)
Grid: 30×30×120 = 108000 points; N_c = 480
Lloyd: 55 steps, max movement = 0.003703

Unfolded 480 reps → 948 distinct centroids (n_sym=2)

Pivoted-Cholesky prune: 948 → 640 (target 325 orbits)
  prune window: v×(v+c)  left=(0,26) right=(0,52)  [covers |ψ_v|² + v×c]
[pivoted_cholesky] M=948, n_keep=325, left=(0, 26), right=(0, 52), norms=off (load_wfns 2-D, mesh axes ('x', 'y'))
  [gpu_utils] WARNING: bytes_limit=None, falling back to nvidia-smi (pid=1470856)
[pivoted_cholesky] 2-D Gram build via load_wfns: nk_tot=9, left=(0, 26) (nb=26), right=(0, 52) (nb=52), M=948, norms=off, backend=WFNReader, budget=28.8378 GB/device, band_chunk_size=64
[pivoted_cholesky] G built, shape=(948, 948), diag range [2.279e-10, 2.463e-05]
[pivoted_cholesky] picked-pivot residuals: first=2.463e-05, mid=1.260e-09, last=1.352e-11
[pivoted_cholesky] tr(R_k)/tr(G): first=9.233e-01, mid=1.358e-04, last=9.159e-07
[pivoted_cholesky] orbit-aware: 325 orbits picked → 641 unfolded centroids (orbit-closed)
After pruning: 641 centroids (rank=325)
Saved centroids to centroids_frac_641.txt
--- kmeans_cli timing (s) ---
Total recorded: 14.213 s
Section                                            Count    Total[s]     Self[s]      %
setup.wfn_io                                           1       0.114       0.114    0.8
setup.charge_density                                   1       0.019       0.019    0.1
kmeans                                                 1       5.790       0.777   40.7
  init                                                 1       1.371       1.371    9.6
  lloyd                                                1       3.048       3.048   21.4
  assign_labels                                        1       0.595       0.595    4.2
snap_unfold                                            1       0.005       0.005    0.0
prune                                                  1       8.285       0.538   58.3
  prune.gram                                           1       7.040       3.124   49.5
    left.load                                          1       2.168       0.090   15.3
      load_centroids.loader_load                       1       0.056       0.056    0.4
      load_centroids.gflat_to_rmu                      1       1.927       1.927   13.6
      load_centroids.reshard                           1       0.095       0.095    0.7
    left.pair                                          1       0.166       0.166    1.2
    right.load                                         1       0.517       0.030    3.6
      load_centroids.loader_load                       1       0.100       0.100    0.7
      load_centroids.gflat_to_rmu                      1       0.296       0.296    2.1
      load_centroids.reshard                           1       0.091       0.091    0.6
    right.pair                                         1       0.431       0.431    3.0
    q0_sum                                             1       0.636       0.636    4.5
  prune.select                                         1       0.707       0.707    5.0
