[lxrun] JID 54617004 · 4 nodes · 1:56:07 left · 4/4 free · incoming: lx-C
  1  nid008272  free   —              —      —  ← starting lx-C  python3 -u -m gw.kin_ion
  2  nid008361  free   —              —      —
  3  nid008377  free   —              —      —
  4  nid008380  free   —              —      —
JAX: 1 gpu devices
== kin_ion_io ==
Loading WFN: WFN.h5
Bands: 180, FFT grid: (45, 45, 120), k-points: 36
sys_dim: 2
Devices: 1
Pseudopotentials: ['Cr', 'I']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 36 k-points...
  k=1/36...
  k=17/36...
  k=33/36...

Writing to kin_ion.h5...
Wrote kin_ion.h5: shape (36, 180, 180), sys_dim=2
--- Timing (seconds) ---
Total recorded: 18.867 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       0.443       0.443    2.3
build_V_loc                                            1       1.056       1.056    5.6
k0                                                     1       1.667       1.667    8.8
k1                                                     1       1.326       1.326    7.0
k2                                                     1       1.277       1.277    6.8
k3                                                     1       1.318       1.318    7.0
k4                                                     1       0.176       0.176    0.9
k5                                                     1       0.163       0.163    0.9
k6                                                     1       0.170       0.170    0.9
k7                                                     1       1.339       1.339    7.1
k8                                                     1       1.332       1.332    7.1
k9                                                     1       0.153       0.153    0.8
k10                                                    1       0.160       0.160    0.8
k11                                                    1       0.162       0.162    0.9
k12                                                    1       0.163       0.163    0.9
k13                                                    1       0.155       0.155    0.8
k14                                                    1       1.365       1.365    7.2
k15                                                    1       0.159       0.159    0.8
k16                                                    1       0.156       0.156    0.8
k17                                                    1       0.162       0.162    0.9
k18                                                    1       0.171       0.171    0.9
k19                                                    1       0.155       0.155    0.8
k20                                                    1       0.166       0.166    0.9
k21                                                    1       0.161       0.161    0.9
k22                                                    1       0.155       0.155    0.8
k23                                                    1       0.355       0.355    1.9
k24                                                    1       0.553       0.553    2.9
k25                                                    1       0.378       0.378    2.0
k26                                                    1       0.384       0.384    2.0
k27                                                    1       0.380       0.380    2.0
k28                                                    1       0.390       0.390    2.1
k29                                                    1       0.544       0.544    2.9
k30                                                    1       0.224       0.224    1.2
k31                                                    1       0.383       0.383    2.0
k32                                                    1       0.386       0.386    2.0
k33                                                    1       0.389       0.389    2.1
k34                                                    1       0.493       0.493    2.6
k35                                                    1       0.274       0.274    1.5
write_h5                                               1       0.023       0.023    0.1
