kPartitionId           	
kKernel                	, kernel = loop_convert_fusion_1, launch dimensions = blocks: {1, 1, 1}, threads/block: {1, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_slice_fusion, launch dimensions = blocks: {42, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kCustomCall            	
kKernel                	, kernel = loop_select_fusion_1, launch dimensions = blocks: {810, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = loop_transpose_fusion_4, launch dimensions = blocks: {16200, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllToAllStart         	
kAllToAllDone          	
kKernel                	, kernel = loop_transpose_fusion_3, launch dimensions = blocks: {16200, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherStart        	
kKernel                	, kernel = wrapped_transpose_1, launch dimensions = blocks: {945, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = loop_convert_fusion, launch dimensions = blocks: {1, 1, 1}, threads/block: {80, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_transpose_fusion_5, launch dimensions = blocks: {288, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherDone         	
kAllGatherStart        	
kCommandBuffer         	
kFft                   	
kFft                   	
kKernel                	, kernel = loop_reduce_fusion, launch dimensions = blocks: {34020, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = input_transpose_fusion_2, launch dimensions = blocks: {60480, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherDone         	
kAllToAllStart         	
kKernel                	, kernel = input_transpose_fusion_4, launch dimensions = blocks: {1134, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllToAllDone          	
kAllGatherStart        	
kKernel                	, kernel = loop_transpose_fusion, launch dimensions = blocks: {45360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherDone         	
kAllToAllStart         	
kKernel                	, kernel = input_reduce_fusion, launch dimensions = blocks: {1512, 1, 1}, threads/block: {256, 1, 1}, cluster_dim = nullopt
kAllToAllDone          	
kKernel                	, kernel = loop_slice_fusion, launch dimensions = blocks: {34020, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_reduce_fusion_1, launch dimensions = blocks: {1, 1, 1}, threads/block: {1024, 1, 1}, cluster_dim = nullopt
kCollectivePermuteStart	
kKernel                	, kernel = loop_multiply_fusion, launch dimensions = blocks: {1, 1, 1}, threads/block: {9, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_transpose_fusion_3, launch dimensions = blocks: {3969, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kCustomCall            	
kKernel                	, kernel = loop_add_fusion, launch dimensions = blocks: {48, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kCustomCall            	
kKernel                	, kernel = loop_select_fusion, launch dimensions = blocks: {7938, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kCollectivePermuteDone 	
kKernel                	, kernel = input_transpose_fusion_1, launch dimensions = blocks: {17010, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = input_transpose_fusion, launch dimensions = blocks: {17010, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
