# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=68  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=69  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=70  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=71  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=72  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=73  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=74  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=75  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=76  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=77  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=78  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=79  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=80  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=81  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=82  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=83  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=84  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=85  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=86  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=87  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=88  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=89  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=90  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=91  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=92  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=93  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=94  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
n=95  sigSX=         nan              sigCOH=         nan              sigTOT=         nan              VH=         nan
