
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  =  1
 mtrx01 =  1  0  0  0  1  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -5.697470513   -5.697470513  -17.131571087   12.667323177   -9.189493351  -13.653741261    5.102406781   -8.551334480   -8.551334480   -8.822046667  -13.286294577   -8.183887796   -8.183887796    1.000000000
   2   -5.697470513   -5.697470513  -17.131571087   12.667323177   -9.189493351  -13.653741261    5.102406781   -8.551334480   -8.551334480   -8.822046667  -13.286294577   -8.183887796   -8.183887796    1.000000000
   3    6.249015516    6.249015516  -12.727734759    8.790475564   -9.710185098  -13.647444293   17.951318613    4.303874320    4.303874320   -8.504957310  -12.442216505    5.509102108    5.509102108    1.000000000
   4    6.249015516    6.249015516  -12.727734759    8.790475564   -9.710185098  -13.647444293   17.951318613    4.303874320    4.303874320   -8.504957310  -12.442216505    5.509102108    5.509102108    1.000000000
   5    6.296976418    6.296976418  -12.702752584    8.769491000   -9.707310131  -13.640571715   17.994295562    4.353723847    4.353723847   -8.499739737  -12.433001320    5.561294242    5.561294242    1.000000000
   6    6.296976418    6.296976418  -12.702752584    8.769491000   -9.707310131  -13.640571715   17.994295562    4.353723847    4.353723847   -8.499739737  -12.433001320    5.561294242    5.561294242    1.000000000
   7    6.296976458    6.296976458  -12.702752584    8.769491000   -9.707310131  -13.640571715   17.994295562    4.353723847    4.353723847   -8.499739737  -12.433001320    5.561294242    5.561294242    1.000000000
   8    6.296976458    6.296976458  -12.702752584    8.769491000   -9.707310131  -13.640571715   17.994295562    4.353723847    4.353723847   -8.499739737  -12.433001320    5.561294242    5.561294242    1.000000000
   9    8.798073136    8.798073136   -5.666242059    3.378865038   -8.930921833  -11.218298854   19.126690841    7.908391987    7.908391987   -7.831934095  -10.119311116    9.007379725    9.007379725    1.000000000
  10    8.798073136    8.798073136   -5.666242059    3.378865038   -8.930921833  -11.218298854   19.126690841    7.908391987    7.908391987   -7.831934095  -10.119311116    9.007379725    9.007379725    1.000000000
  11    8.833000407    8.833000407   -5.646132450    3.362590629   -8.926385297  -11.209927118   19.153851187    7.943924069    7.943924069   -7.833292820  -10.116834641    9.037016546    9.037016546    1.000000000
  12    8.833000407    8.833000407   -5.646132450    3.362590629   -8.926385297  -11.209927118   19.153851187    7.943924069    7.943924069   -7.833292820  -10.116834641    9.037016546    9.037016546    1.000000000
  13    8.833000429    8.833000429   -5.646132450    3.362590629   -8.926385297  -11.209927118   19.153851187    7.943924069    7.943924069   -7.833292820  -10.116834641    9.037016546    9.037016546    1.000000000
  14    8.833000429    8.833000429   -5.646132450    3.362590629   -8.926385297  -11.209927118   19.153851187    7.943924069    7.943924069   -7.833292820  -10.116834641    9.037016546    9.037016546    1.000000000
  15    9.629139607    9.629139607   -5.804452696    3.369711074   -9.757315360  -12.192056982   21.355372885    9.163315903    9.163315903   -8.487187760  -10.921929382   10.433443503   10.433443503    1.000000000
  16    9.629139607    9.629139607   -5.804452696    3.369711074   -9.757315360  -12.192056982   21.355372885    9.163315903    9.163315903   -8.487187760  -10.921929382   10.433443503   10.433443503    1.000000000
 
       k = -0.000000 -0.000000  0.250000 ik =   2 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -4.897279395   -4.897279395  -16.871812338   12.447815762   -9.243169747  -13.667166324    5.991208858   -7.675957466   -7.675957466   -8.827974053  -13.251970629   -7.260761772   -7.260761772    1.000000000
   2   -4.897279395   -4.897279395  -16.871812338   12.447815762   -9.243169747  -13.667166324    5.991208858   -7.675957466   -7.675957466   -8.827974053  -13.251970629   -7.260761772   -7.260761772    1.000000000
   3    2.340152067    2.340152067  -13.439067339    9.622504255   -9.318246721  -13.134809805   13.365616403    0.230806598    0.230806598   -8.494606048  -12.311169133    1.054447270    1.054447270    1.000000000
   4    2.340152068    2.340152068  -13.439067339    9.622504255   -9.318246721  -13.134809805   13.365616403    0.230806598    0.230806598   -8.494606048  -12.311169133    1.054447270    1.054447270    1.000000000
   5    5.498633740    5.498633740  -12.674370564    8.843222250   -9.562683331  -13.393831646   16.941405639    3.547573993    3.547573993   -8.465460872  -12.296609187    4.644796452    4.644796452    1.000000000
   6    5.498633741    5.498633741  -12.674370564    8.843222250   -9.562683331  -13.393831646   16.941405639    3.547573993    3.547573993   -8.465460872  -12.296609187    4.644796452    4.644796452    1.000000000
   7    5.529907957    5.529907957  -12.656184524    8.828359862   -9.560391459  -13.388216121   16.968705285    3.580489163    3.580489163   -8.463408220  -12.291232883    4.677472402    4.677472402    1.000000000
   8    5.529907958    5.529907958  -12.656184524    8.828359862   -9.560391459  -13.388216121   16.968705285    3.580489163    3.580489163   -8.463408220  -12.291232883    4.677472402    4.677472402    1.000000000
   9    8.294523500    8.294523500   -5.729844075    3.368609724   -9.041124899  -11.402359249   18.841512431    7.439153181    7.439153181   -7.960691798  -10.321926149    8.519586282    8.519586282    1.000000000
  10    8.294523500    8.294523500   -5.729844075    3.368609724   -9.041124899  -11.402359249   18.841512431    7.439153181    7.439153181   -7.960691798  -10.321926149    8.519586282    8.519586282    1.000000000
  11    9.757274295    9.757274295   -5.420945664    3.132133947   -8.946370198  -11.235181915   20.126362148    8.891180234    8.891180234   -7.768730335  -10.057542051   10.068820097   10.068820097    1.000000000
  12    9.757274295    9.757274295   -5.420945664    3.132133947   -8.946370198  -11.235181915   20.126362148    8.891180234    8.891180234   -7.768730335  -10.057542051   10.068820097   10.068820097    1.000000000
  13    9.778780059    9.778780059   -5.411050961    3.123934716   -8.943125260  -11.230241505   20.142463452    8.912221947    8.912221947   -7.765335198  -10.052451443   10.090012010   10.090012010    1.000000000
  14    9.778780060    9.778780060   -5.411050961    3.123934716   -8.943125260  -11.230241505   20.142463452    8.912221947    8.912221947   -7.765335198  -10.052451443   10.090012010   10.090012010    1.000000000
